"Landmark","Arm","Taxon","MeanRecoveryContribution","SE","n"
"Early post-index","Control","01D2Z36 (family)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","0319-7L14 (order)",1.82678954970948e-07,3.96584040560369e-07,11
"Early post-index","Control","258ds10 (order)",1.82678954970948e-07,3.96584040560369e-07,11
"Early post-index","Control","32-20 (order)",1.82678954970948e-07,3.96584040560369e-07,11
"Early post-index","Control","A17 (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","A4b (family)",4.56697387427371e-07,9.91460101400923e-07,11
"Early post-index","Control","Abiotrophia (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Acetobacter (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Acetobacteraceae (family)",2.74018432456422e-07,5.94876060840554e-07,11
"Early post-index","Control","Acholeplasma (genus)",1.82678954970948e-07,3.96584040560369e-07,11
"Early post-index","Control","Achromobacter (genus)",3.65425011665678e-05,3.24671017742959e-05,11
"Early post-index","Control","Acidaminococcus (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Acidimicrobiales (order)",1.82678954970948e-07,3.96584040560369e-07,11
"Early post-index","Control","Acidobacteriaceae (family)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Acinetobacter (genus)",9.13394774854742e-07,1.98292020280185e-06,11
"Early post-index","Control","Actinobacillus (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Actinobaculum (genus)",1.82678954970948e-07,3.96584040560369e-07,11
"Early post-index","Control","Actinomyces (genus)",0.0140375476265105,0.00911659199338135,11
"Early post-index","Control","Actinomycetaceae (family)",0.000101128518764344,0.000122216297723939,11
"Early post-index","Control","Actinomycetales (order)",8.22055297369268e-07,1.78462818252166e-06,11
"Early post-index","Control","Actinopolysporaceae (family)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Adlercreutzia (genus)",-0.000604067313668041,0.000610954566705728,11
"Early post-index","Control","Aerococcaceae (family)",3.38341247804791e-05,3.28506976688223e-05,11
"Early post-index","Control","Aerococcus (genus)",4.56697387427371e-07,9.91460101400923e-07,11
"Early post-index","Control","Aeromicrobium (genus)",1.25384782371124e-06,1.00287370630585e-06,11
"Early post-index","Control","Aeromonadaceae (family)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Afifella (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Aggregatibacter (genus)",3.65357909941897e-07,7.93168081120738e-07,11
"Early post-index","Control","Agrobacterium (genus)",8.5335300942164e-07,9.40194129385629e-07,11
"Early post-index","Control","Agromyces (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Akkermansia (genus)",-0.0396821550701595,0.0292461997662252,11
"Early post-index","Control","Alcaligenaceae (family)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Alicyclobacillus (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Allobaculum (genus)",0.00478946279876938,0.00446985981893904,11
"Early post-index","Control","Alloiococcus (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Alphaproteobacteria (class)",8.96429729791102e-05,8.95097362833395e-05,11
"Early post-index","Control","Anaerobacillus (genus)",-6.95879402346043e-06,8.3857173013624e-06,11
"Early post-index","Control","Anaerobrancaceae (family)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Anaerococcus (genus)",6.38541984302147e-06,8.19149997918903e-06,11
"Early post-index","Control","Anaerofilum (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Anaeroplasma (genus)",4.9905593769593e-05,4.99828147349556e-05,11
"Early post-index","Control","Anaerostipes (genus)",0.00126129779920856,0.00143273526475716,11
"Early post-index","Control","Anaerotruncus (genus)",-0.000100220631536263,0.000147650488530962,11
"Early post-index","Control","Anoxybacillus (genus)",2.74018432456422e-07,5.94876060840554e-07,11
"Early post-index","Control","Aquicella (genus)",1.82678954970948e-07,3.96584040560369e-07,11
"Early post-index","Control","Arcanobacterium (genus)",3.06117735666226e-05,2.93562328575246e-05,11
"Early post-index","Control","Arctic97B-4 (order)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Arthrobacter (genus)",3.24599857731875e-05,3.26148798599503e-05,11
"Early post-index","Control","Atopobium (genus)",0.00378963142249858,0.00372147871820822,11
"Early post-index","Control","Azorhizobium (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Azospira (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","BD7-3 (order)",1.82678954970948e-07,3.96584040560369e-07,11
"Early post-index","Control","BF311 (genus)",9.13394774854741e-08,1.98292020280185e-07,11
"Early post-index","Control","Bacillaceae (family)",3.65357909941897e-07,7.93168081120738e-07,11
"Early post-index","Control","Bacillales (order)",0.000431413871578239,0.000289925874714546,11
"Early post-index","Control","Bacilli (class)",5.48036864912845e-07,1.18975212168111e-06,11
"Early post-index","Control","Bacillus (genus)",-0.00417419646601855,0.00307583190060413,11
"Early post-index","Control","Bacteria (kingdom)",3.65357909941897e-07,7.93168081120738e-07,11
