"BootstrapIteration","Outcome","WindowEnd","Window","Estimate"
1,"HRIC alpha diversity",30,"Day 1-30",0.0174727236946783
1,"HRIC distance to personal baseline",30,"Day 1-30",-0.331351436508139
1,"HRIC alpha diversity",60,"Day 1-60",0.0147035357491846
1,"HRIC distance to personal baseline",60,"Day 1-60",-0.2261452017176
2,"HRIC alpha diversity",30,"Day 1-30",0.00563757976886438
2,"HRIC distance to personal baseline",30,"Day 1-30",-0.315976995248075
2,"HRIC alpha diversity",60,"Day 1-60",0.00194674883951296
2,"HRIC distance to personal baseline",60,"Day 1-60",-0.281571447860182
3,"HRIC alpha diversity",30,"Day 1-30",0.0295978259451806
3,"HRIC distance to personal baseline",30,"Day 1-30",-0.518387970906693
3,"HRIC alpha diversity",60,"Day 1-60",0.0127369010858106
3,"HRIC distance to personal baseline",60,"Day 1-60",-0.366662975618623
4,"HRIC alpha diversity",30,"Day 1-30",0.0295409211768104
4,"HRIC distance to personal baseline",30,"Day 1-30",-0.581343257979505
4,"HRIC alpha diversity",60,"Day 1-60",0.0178824919924949
4,"HRIC distance to personal baseline",60,"Day 1-60",-0.44539204030483
5,"HRIC alpha diversity",30,"Day 1-30",0.0432190276797151
5,"HRIC distance to personal baseline",30,"Day 1-30",-0.556993817591425
5,"HRIC alpha diversity",60,"Day 1-60",0.0234964075824333
5,"HRIC distance to personal baseline",60,"Day 1-60",-0.419125588586737
6,"HRIC alpha diversity",30,"Day 1-30",0.0173570457264911
6,"HRIC distance to personal baseline",30,"Day 1-30",-0.340399861624468
6,"HRIC alpha diversity",60,"Day 1-60",-0.00272979929948327
6,"HRIC distance to personal baseline",60,"Day 1-60",-0.1299490530716
7,"HRIC alpha diversity",30,"Day 1-30",0.0178375795428535
7,"HRIC distance to personal baseline",30,"Day 1-30",-0.429071905690976
7,"HRIC alpha diversity",60,"Day 1-60",0.00924719586601245
7,"HRIC distance to personal baseline",60,"Day 1-60",-0.289576115910097
8,"HRIC alpha diversity",30,"Day 1-30",0.00864664983786661
8,"HRIC distance to personal baseline",30,"Day 1-30",-0.270314420948178
8,"HRIC alpha diversity",60,"Day 1-60",-0.000502744348948885
8,"HRIC distance to personal baseline",60,"Day 1-60",-0.163425231915423
9,"HRIC alpha diversity",30,"Day 1-30",0.0320620377182001
9,"HRIC distance to personal baseline",30,"Day 1-30",-0.48468702765477
9,"HRIC alpha diversity",60,"Day 1-60",0.0207698751190213
9,"HRIC distance to personal baseline",60,"Day 1-60",-0.349662726993411
10,"HRIC alpha diversity",30,"Day 1-30",0.036149770656585
10,"HRIC distance to personal baseline",30,"Day 1-30",-0.62467774296387
10,"HRIC alpha diversity",60,"Day 1-60",0.0177612490065775
10,"HRIC distance to personal baseline",60,"Day 1-60",-0.43938860821416
11,"HRIC alpha diversity",30,"Day 1-30",0.0153065520824847
11,"HRIC distance to personal baseline",30,"Day 1-30",-0.506159614653968
11,"HRIC alpha diversity",60,"Day 1-60",0.0245717660498635
11,"HRIC distance to personal baseline",60,"Day 1-60",-0.41723073992304
12,"HRIC alpha diversity",30,"Day 1-30",0.0266181397072871
12,"HRIC distance to personal baseline",30,"Day 1-30",-0.48532750781079
12,"HRIC alpha diversity",60,"Day 1-60",0.020311019074699
12,"HRIC distance to personal baseline",60,"Day 1-60",-0.422718994118921
13,"HRIC alpha diversity",30,"Day 1-30",0.0139504733148179
13,"HRIC distance to personal baseline",30,"Day 1-30",-0.507823017941683
13,"HRIC alpha diversity",60,"Day 1-60",-0.00989325490185233
13,"HRIC distance to personal baseline",60,"Day 1-60",-0.274171561642099
14,"HRIC alpha diversity",30,"Day 1-30",0.0324798002598374
14,"HRIC distance to personal baseline",30,"Day 1-30",-0.477436901288874
14,"HRIC alpha diversity",60,"Day 1-60",0.0328700181053129
14,"HRIC distance to personal baseline",60,"Day 1-60",-0.449854650780879
15,"HRIC alpha diversity",30,"Day 1-30",0.0263147500985722
15,"HRIC distance to personal baseline",30,"Day 1-30",-0.551506574013646
15,"HRIC alpha diversity",60,"Day 1-60",0.0111605538601367
15,"HRIC distance to personal baseline",60,"Day 1-60",-0.420320739621667
16,"HRIC alpha diversity",30,"Day 1-30",0.0263218594576749
16,"HRIC distance to personal baseline",30,"Day 1-30",-0.550962303913131
16,"HRIC alpha diversity",60,"Day 1-60",0.0146802718391536
16,"HRIC distance to personal baseline",60,"Day 1-60",-0.363079253403202
17,"HRIC alpha diversity",30,"Day 1-30",0.0226756356217096
17,"HRIC distance to personal baseline",30,"Day 1-30",-0.445007838077065
17,"HRIC alpha diversity",60,"Day 1-60",0.0153766622099614
17,"HRIC distance to personal baseline",60,"Day 1-60",-0.376824897821931
18,"HRIC alpha diversity",30,"Day 1-30",0.0323080091001668
18,"HRIC distance to personal baseline",30,"Day 1-30",-0.483364116392772
18,"HRIC alpha diversity",60,"Day 1-60",0.0157323860846953
18,"HRIC distance to personal baseline",60,"Day 1-60",-0.331237896121288
19,"HRIC alpha diversity",30,"Day 1-30",0.0123240000838117
19,"HRIC distance to personal baseline",30,"Day 1-30",-0.428189308965862
19,"HRIC alpha diversity",60,"Day 1-60",0.0195279011689613
19,"HRIC distance to personal baseline",60,"Day 1-60",-0.417976777484378
20,"HRIC alpha diversity",30,"Day 1-30",0.0292550650379203
20,"HRIC distance to personal baseline",30,"Day 1-30",-0.353812745616588
20,"HRIC alpha diversity",60,"Day 1-60",0.0159180079404623
20,"HRIC distance to personal baseline",60,"Day 1-60",-0.274067346688701
21,"HRIC alpha diversity",30,"Day 1-30",0.0207691757532862
21,"HRIC distance to personal baseline",30,"Day 1-30",-0.453368678642625
21,"HRIC alpha diversity",60,"Day 1-60",0.0173411364332538
21,"HRIC distance to personal baseline",60,"Day 1-60",-0.419854461869948
22,"HRIC alpha diversity",30,"Day 1-30",0.00817025616579913
22,"HRIC distance to personal baseline",30,"Day 1-30",-0.240736522815475
22,"HRIC alpha diversity",60,"Day 1-60",-0.00445173288892512
22,"HRIC distance to personal baseline",60,"Day 1-60",-0.145799290217122
23,"HRIC alpha diversity",30,"Day 1-30",0.0234797630761754
