"Outcome","Analysis","EventTime","Estimate","SE","Lower","Upper","P"
"HRIC alpha diversity","Primary: earliest pre-HSCT baseline; exclude day 0",14,0.0218797040431323,0.00994705564741027,0.00238347497420818,0.0413759331120564,0.0278341418288733
"HRIC alpha diversity","Sensitivity: mean pre-HSCT baseline; exclude day 0",14,0.0227053889593478,0.00995964372112641,0.00318448726594006,0.0422262906527556,0.022623168354623
"HRIC alpha diversity","Sensitivity: earliest pre-HSCT baseline; include day 0",14,0.0232888817126316,0.0101471895976563,0.00340039010122519,0.0431773733240381,0.0217270165321875
"HRIC distance to baseline","Primary: earliest pre-HSCT baseline; exclude day 0",14,-0.471038995431066,0.160534716126569,-0.785687039039141,-0.15639095182299,0.00334421864689993
"HRIC distance to baseline","Sensitivity: earliest pre-HSCT baseline; include day 0",14,-0.360942678729566,0.164546648810814,-0.683454110398762,-0.0384312470603698,0.0282671740072355
"HRIC alpha diversity","Primary: earliest pre-HSCT baseline; exclude day 0",30,0.0136367794141664,0.00671191209110032,0.000481431715609824,0.0267921271127231,0.0421812044322212
"HRIC alpha diversity","Sensitivity: mean pre-HSCT baseline; exclude day 0",30,0.013886950169537,0.00672726660557624,0.00070150762260761,0.0270723927164665,0.0389913415235563
"HRIC alpha diversity","Sensitivity: earliest pre-HSCT baseline; include day 0",30,0.01390455310822,0.00676810181631294,0.000639073548246685,0.0271700326681934,0.0399346392695777
"HRIC distance to baseline","Primary: earliest pre-HSCT baseline; exclude day 0",30,-0.348659653286193,0.0925483576061369,-0.530054434194221,-0.167264872378165,0.000165006759518513
"HRIC distance to baseline","Sensitivity: earliest pre-HSCT baseline; include day 0",30,-0.294734635979775,0.0861919061473975,-0.463670772028674,-0.125798499930876,0.000627325526488368
"HRIC alpha diversity","Primary: earliest pre-HSCT baseline; exclude day 0",60,-0.00181870426514453,0.0108703820763079,-0.023124653134708,0.019487244604419,0.867127537457532
"HRIC alpha diversity","Sensitivity: mean pre-HSCT baseline; exclude day 0",60,-0.00264762256135814,0.0108271595171082,-0.0238688552148903,0.018573610092174,0.806816276135538
"HRIC alpha diversity","Sensitivity: earliest pre-HSCT baseline; include day 0",60,-0.00369106302505168,0.0114323713540947,-0.0260985108790773,0.0187163848289739,0.746800766576118
"HRIC distance to baseline","Primary: earliest pre-HSCT baseline; exclude day 0",60,-0.119198386764556,0.2219721268356,-0.554263755362333,0.315866981833221,0.591269622296204
"HRIC distance to baseline","Sensitivity: earliest pre-HSCT baseline; include day 0",60,-0.170594555823916,0.224216257363283,-0.61005842025595,0.268869308608118,0.446747687888456
