"Taxon","TotalDivergenceScore","MeanDivergenceScore","DiscordantTransitions"
"Lactobacillus (genus)",227.315685613955,37.8859476023258,6
"[Coprobacillaceae] (family)",200.308835298695,33.3848058831158,6
"Streptococcus (genus)",139.146799415504,23.1911332359174,6
"Blautia (genus)",98.2791129152339,24.5697782288085,4
"[Eubacterium] (genus)",93.0372017313942,15.5062002885657,6
"Pediococcus (genus)",80.5892250148817,40.2946125074408,2
"Ruminococcaceae (family)",71.781021024792,17.945255256198,4
"[Ruminococcus] (genus)",67.2652610650316,22.4217536883439,3
"Bifidobacterium (genus)",64.2671518518606,32.1335759259303,2
"Ruminococcus (genus)",62.849450543613,20.949816847871,3
"Lachnospiraceae (family)",59.9065138458182,11.9813027691636,5
"Akkermansia (genus)",55.5496543078242,18.5165514359414,3
"Coprococcus (genus)",37.1198719048588,9.27996797621471,4
"Erysipelotrichaceae (family)",24.5404861377264,12.2702430688632,2
"Fusobacteriaceae (family)",17.2620973082681,8.63104865413405,2
"Veillonella (genus)",9.91038582514751,9.91038582514751,1
"Holdemania (genus)",6.06456915850864,6.06456915850864,1
"Clostridiaceae (family)",2.88290331639232,1.44145165819616,2
"Rothia (genus)",1.65842259338449,1.65842259338449,1
"Enterobacteriaceae (family)",1.42320539983657,1.42320539983657,1
