"Transition","TransitionOrder","ParticipantID","BeforeSampleID","AfterSampleID","BeforeDay","AfterDay","Taxon","BeforeRelativeAbundance","AfterRelativeAbundance","HRICContribution","SimpsonDirectionContribution","PielouEntropyContribution"
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"01D2Z36 (family)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"0319-7L14 (order)",0,0,2.50768320163059e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"258ds10 (order)",0,0,2.50768320163059e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"32-20 (order)",0,0,2.50768320163059e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"A17 (genus)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"A4b (family)",0,0,6.26920800407647e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Abiotrophia (genus)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Acetobacter (genus)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Acetobacteraceae (family)",0,0,3.76152480244588e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Acholeplasma (genus)",0,0,2.50768320163059e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Achromobacter (genus)",0,0,2.50768320163059e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Acidaminococcus (genus)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Acidimicrobiales (order)",0,0,2.50768320163059e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Acidobacteria (phylum)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Acidobacteriaceae (family)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Acinetobacter (genus)",0,0,1.25384160081529e-06,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Actinobacillus (genus)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Actinobaculum (genus)",0,0,2.50768320163059e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Actinomyces (genus)",0,0.00120993466352817,-0.00104021991609346,-8.02869287775753e-07,0.00196685947257071
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Actinomycetaceae (family)",0,0.00142992278416965,-0.0012624569680505,-1.86465061229655e-06,0.00211066092518487
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Actinomycetales (order)",0,0,1.12845744073376e-06,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Actinopolysporaceae (family)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Adlercreutzia (genus)",0,0,1.12845744073376e-06,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Aerococcaceae (family)",0,0,5.01536640326118e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Aerococcus (genus)",0,0,6.26920800407647e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Aeromicrobium (genus)",0,0,2.50768320163059e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Aeromonadaceae (family)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Afifella (genus)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Aggregatibacter (genus)",0,0,5.01536640326118e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Agrobacterium (genus)",0,0,5.01536640326118e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Agromyces (genus)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Akkermansia (genus)",0,0.000197989308577337,-0.00015634479419837,-3.91997663109319e-08,0.000369897854829132
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Alcaligenaceae (family)",0,0,1.25384160081529e-07,0,0
"0020: day -6 to -2",1,"0020","12277.FMT.0020A","12277.FMT.0020B",-6,-2,"Alicyclobacillus (genus)",0,0,1.25384160081529e-07,0,0
