"Transition","Taxon","HRIC alpha","Inverse Simpson","Pielou evenness","DivergenceScore"
"0020: day -6 to -2","Blautia (genus)",-7.87603382988936,51.0847419333009,20.0246474497932,58.9607757631902
"0020: day -6 to -2","Ruminococcus (genus)",18.4344398724256,10.9369359912059,-15.4014908036297,33.8359306760553
"0020: day -6 to -2","[Ruminococcus] (genus)",-20.3434131432118,-16.470571927087,13.4637565180992,33.807169661311
"0020: day -6 to -2","Bifidobacterium (genus)",12.9677305796058,9.85722345868914,-8.75679016587515,21.7245207454809
"0020: day -6 to -2","Ruminococcaceae (family)",8.28475773480802,1.33164370635115,-10.2219382525177,18.5066959873257
"0020: day -6 to -2","[Coprobacillaceae] (family)",-6.10080402610967,-3.29085458789585,4.1787272384881,10.2795312645978
"0020: day -6 to -2","Lachnospiraceae (family)",-5.34262739318998,-1.50829041148726,4.06623363604655,9.40886102923652
"0020: day -6 to -2","Streptococcus (genus)",-3.4154727725202,-0.655029118240942,3.8253124810869,7.2407852536071
"0020: day 12 to 19","Pediococcus (genus)",50.7435842885476,96.3899200331497,-8.28122279288579,59.0248070814334
"0020: day 12 to 19","Lactobacillus (genus)",-37.2091619332955,-3.4567603525817,13.5120722062906,50.7212341395862
"0020: day 12 to 19","Streptococcus (genus)",-6.41415223896334,-0.136485025384798,7.6062441281525,14.0203963671158
"0020: day 12 to 19","Clostridiaceae (family)",0.91858959361723,0.00337150385963744,-1.41680034025057,2.3353899338678
"0020: day 12 to 19","Rothia (genus)",-0.674839578729729,-0.00360986607635825,0.983583014654764,1.65842259338449
"0020: day 12 to 19","Enterobacteriaceae (family)",-0.534189134251321,-0.00115515714443464,0.889016265585249,1.42320539983657
"0020: day 12 to 19","Lachnospiraceae (family)",-0.50411052538095,-0.000721973215271649,0.858880471383443,1.36299099676439
"0020: day 12 to 19","[Eubacterium] (genus)",-0.54133943404379,-0.00231031428886928,0.811742884183864,1.35308231822765
"0020: day 40 to 61","Bifidobacterium (genus)",26.0823779275906,28.4092519726926,-16.4602531787891,42.5426311063797
"0020: day 40 to 61","Lactobacillus (genus)",-12.6318049202587,-47.3584671050475,0.816292826084241,34.7266621847888
"0020: day 40 to 61","Ruminococcaceae (family)",-15.6783057705424,-11.2095722533092,13.5280318693239,29.2063376398664
"0020: day 40 to 61","[Coprobacillaceae] (family)",9.82211849594554,6.68747817135074,-7.77360816659598,17.5957266625415
"0020: day 40 to 61","Lachnospiraceae (family)",5.89146422777149,0.403588047088124,-10.3953092153258,16.2867734430973
"0020: day 40 to 61","Erysipelotrichaceae (family)",-4.48528497880746,-0.601188352815198,7.05601793876331,11.5413029175708
"0020: day 40 to 61","Ruminococcus (genus)",-5.82198187488306,-2.56919535352864,5.44070196273391,11.262683837617
"0020: day 40 to 61","[Eubacterium] (genus)",-4.15016671143518,-1.15865432457334,4.60838543663564,8.75855214807082
"0020: day 5 to 12","Lactobacillus (genus)",-40.4228846880636,-31.3759435830325,37.7778504857814,78.2007351738449
"0020: day 5 to 12","[Coprobacillaceae] (family)",44.7859719772111,64.5689112872904,-10.9722281714701,55.7582001486812
"0020: day 5 to 12","Pediococcus (genus)",-9.5021581629062,-3.83897082861031,12.0622597705421,21.5644179334483
"0020: day 5 to 12","Veillonella (genus)",2.0353467229321,0.0818979413122858,-7.8750391022154,9.91038582514751
"0020: day 5 to 12","[Eubacterium] (genus)",1.68947575849184,0.0925163784829684,-5.68894022208051,7.37841598057235
"0020: day 5 to 12","Lachnospiraceae (family)",1.11995150323361,0.0407009475514886,-4.21208005198113,5.33203155521474
