"method","MethodLabel","arm","ArmLabel","n","mean","sd","median","q1","q3"
"AHC_D_norm","AHC (dominance)","control","Control",212,0.972135024069578,0.0143151020687422,0.974057294628753,0.962232045772301,0.983532098875406
"AHC_D_norm","AHC (dominance)","treatment","Treatment",277,0.973314540305137,0.0180748791778275,0.974530716055718,0.959989510914488,0.990490426158462
"AHC_E","AHC (evenness)","control","Control",212,0.0278649759304217,0.0143151020687422,0.025942705371247,0.0164679011245944,0.0377679542276993
"AHC_E","AHC (evenness)","treatment","Treatment",277,0.0266854596948627,0.0180748791778275,0.0254692839442816,0.0095095738415385,0.0400104890855117
"Shannon_drop0_evenness","Shannon (drop 0s)","control","Control",212,0.222741652624782,0.107205771675019,0.230038308267414,0.137414256254937,0.311512271504446
"Shannon_drop0_evenness","Shannon (drop 0s)","treatment","Treatment",277,0.211716572013797,0.129171237442361,0.221624310626815,0.092871073592921,0.320313215712602
"Shannon_pc0.01_evenness","Shannon (ps = 0.01)","control","Control",212,0.229302386289689,0.108775992116414,0.241345075442572,0.140090193551828,0.318075516036678
"Shannon_pc0.01_evenness","Shannon (ps = 0.01)","treatment","Treatment",277,0.217068439311715,0.12720056508125,0.227853883730617,0.101821168300591,0.325692301060514
"Shannon_pc0.5_evenness","Shannon (ps = 0.5)","control","Control",212,0.36635440222338,0.165500964581551,0.347081583817022,0.261357894314701,0.435717010653891
"Shannon_pc0.5_evenness","Shannon (ps = 0.5)","treatment","Treatment",277,0.351100422596994,0.137351365080152,0.352236152938507,0.250566020879159,0.443663038077696
"Shannon_pc1_evenness","Shannon (ps = 1)","control","Control",212,0.440593149598128,0.178965986467826,0.415593153982442,0.331283862037293,0.513566060830457
"Shannon_pc1_evenness","Shannon (ps = 1)","treatment","Treatment",277,0.431438216552472,0.149774673835568,0.437123022620795,0.329405931631099,0.524930305946837
