"method1","method2","procrustes_r","p_value","Method1","Method2","method1_index","method2_index","label"
"AHC_D_norm","AHC_D_norm",1,NA,"AHC (dominance)","AHC (dominance)",1,1,"1.00"
"AHC_D_norm","AHC_E",0.999999999999999,0.001,"AHC (dominance)","AHC (evenness)",1,2,"1.00"
"AHC_D_norm","Shannon_drop0_evenness",0.93786404755834,0.001,"AHC (dominance)","Shannon (drop 0s)",1,3,"0.94"
"AHC_D_norm","Shannon_pc0.01_evenness",0.931086001473251,0.001,"AHC (dominance)","Shannon (ps = 0.01)",1,4,"0.93"
"AHC_D_norm","Shannon_pc0.5_evenness",0.537596827812721,0.001,"AHC (dominance)","Shannon (ps = 0.5)",1,5,"0.54"
"AHC_D_norm","Shannon_pc1_evenness",0.398845871738589,0.001,"AHC (dominance)","Shannon (ps = 1)",1,6,"0.40"
"AHC_E","AHC_D_norm",0.999999999999999,0.001,"AHC (evenness)","AHC (dominance)",2,1,"1.00"
"AHC_E","AHC_E",1,NA,"AHC (evenness)","AHC (evenness)",2,2,"1.00"
"AHC_E","Shannon_drop0_evenness",0.937864047558339,0.001,"AHC (evenness)","Shannon (drop 0s)",2,3,"0.94"
"AHC_E","Shannon_pc0.01_evenness",0.93108600147325,0.001,"AHC (evenness)","Shannon (ps = 0.01)",2,4,"0.93"
"AHC_E","Shannon_pc0.5_evenness",0.53759682781272,0.001,"AHC (evenness)","Shannon (ps = 0.5)",2,5,"0.54"
"AHC_E","Shannon_pc1_evenness",0.398845871738588,0.001,"AHC (evenness)","Shannon (ps = 1)",2,6,"0.40"
"Shannon_drop0_evenness","AHC_D_norm",0.93786404755834,0.001,"Shannon (drop 0s)","AHC (dominance)",3,1,"0.94"
"Shannon_drop0_evenness","AHC_E",0.937864047558339,0.001,"Shannon (drop 0s)","AHC (evenness)",3,2,"0.94"
"Shannon_drop0_evenness","Shannon_drop0_evenness",1,NA,"Shannon (drop 0s)","Shannon (drop 0s)",3,3,"1.00"
"Shannon_drop0_evenness","Shannon_pc0.01_evenness",0.996478236061678,0.001,"Shannon (drop 0s)","Shannon (ps = 0.01)",3,4,"1.00"
"Shannon_drop0_evenness","Shannon_pc0.5_evenness",0.61491707901375,0.001,"Shannon (drop 0s)","Shannon (ps = 0.5)",3,5,"0.61"
"Shannon_drop0_evenness","Shannon_pc1_evenness",0.475189075138875,0.001,"Shannon (drop 0s)","Shannon (ps = 1)",3,6,"0.48"
"Shannon_pc0.01_evenness","AHC_D_norm",0.93108600147325,0.001,"Shannon (ps = 0.01)","AHC (dominance)",4,1,"0.93"
"Shannon_pc0.01_evenness","AHC_E",0.93108600147325,0.001,"Shannon (ps = 0.01)","AHC (evenness)",4,2,"0.93"
"Shannon_pc0.01_evenness","Shannon_drop0_evenness",0.996478236061678,0.001,"Shannon (ps = 0.01)","Shannon (drop 0s)",4,3,"1.00"
"Shannon_pc0.01_evenness","Shannon_pc0.01_evenness",1,NA,"Shannon (ps = 0.01)","Shannon (ps = 0.01)",4,4,"1.00"
"Shannon_pc0.01_evenness","Shannon_pc0.5_evenness",0.672114199747525,0.001,"Shannon (ps = 0.01)","Shannon (ps = 0.5)",4,5,"0.67"
"Shannon_pc0.01_evenness","Shannon_pc1_evenness",0.5336901085076,0.001,"Shannon (ps = 0.01)","Shannon (ps = 1)",4,6,"0.53"
"Shannon_pc0.5_evenness","AHC_D_norm",0.53759682781272,0.001,"Shannon (ps = 0.5)","AHC (dominance)",5,1,"0.54"
"Shannon_pc0.5_evenness","AHC_E",0.53759682781272,0.001,"Shannon (ps = 0.5)","AHC (evenness)",5,2,"0.54"
"Shannon_pc0.5_evenness","Shannon_drop0_evenness",0.61491707901375,0.001,"Shannon (ps = 0.5)","Shannon (drop 0s)",5,3,"0.61"
"Shannon_pc0.5_evenness","Shannon_pc0.01_evenness",0.672114199747525,0.001,"Shannon (ps = 0.5)","Shannon (ps = 0.01)",5,4,"0.67"
"Shannon_pc0.5_evenness","Shannon_pc0.5_evenness",1,NA,"Shannon (ps = 0.5)","Shannon (ps = 0.5)",5,5,"1.00"
"Shannon_pc0.5_evenness","Shannon_pc1_evenness",0.975218154685895,0.001,"Shannon (ps = 0.5)","Shannon (ps = 1)",5,6,"0.98"
"Shannon_pc1_evenness","AHC_D_norm",0.398845871738588,0.001,"Shannon (ps = 1)","AHC (dominance)",6,1,"0.40"
"Shannon_pc1_evenness","AHC_E",0.398845871738587,0.001,"Shannon (ps = 1)","AHC (evenness)",6,2,"0.40"
"Shannon_pc1_evenness","Shannon_drop0_evenness",0.475189075138876,0.001,"Shannon (ps = 1)","Shannon (drop 0s)",6,3,"0.48"
"Shannon_pc1_evenness","Shannon_pc0.01_evenness",0.533690108507601,0.001,"Shannon (ps = 1)","Shannon (ps = 0.01)",6,4,"0.53"
"Shannon_pc1_evenness","Shannon_pc0.5_evenness",0.975218154685895,0.001,"Shannon (ps = 1)","Shannon (ps = 0.5)",6,5,"0.98"
"Shannon_pc1_evenness","Shannon_pc1_evenness",1,NA,"Shannon (ps = 1)","Shannon (ps = 1)",6,6,"1.00"
