"method","MethodLabel","term","df","sumsq","r2","statistic","p_value","q_value"
"AHC_beta","AHC beta diversity","arm",1,17.627684984853,0.0198600480792321,10.0880094925659,0.001,0.001
"AHC_beta","AHC beta diversity","age",1,7.78698263308604,0.00877312305150226,4.45635117648847,0.001,0.001
"AHC_beta","AHC beta diversity","day",1,15.7039152709416,0.0176926529252751,8.98707042131945,0.001,0.001
"Aitchison_pc0.01","Aitchison (pc = 0.01)","arm",1,21415.9520675242,0.0096493669635701,4.83492685128906,0.001,0.001
"Aitchison_pc0.01","Aitchison (pc = 0.01)","age",1,20081.0846503517,0.00904791690823759,4.53356334908057,0.001,0.001
"Aitchison_pc0.01","Aitchison (pc = 0.01)","day",1,30677.0599191864,0.0138221363024314,6.92574116033799,0.001,0.001
"Aitchison_pc0.5","Aitchison (pc = 0.5)","arm",1,6745.37666386482,0.0107946299224519,5.4313944799588,0.001,0.001
"Aitchison_pc0.5","Aitchison (pc = 0.5)","age",1,6351.4394549561,0.0101642119940309,5.11419523541857,0.001,0.001
"Aitchison_pc0.5","Aitchison (pc = 0.5)","day",1,9541.17530160514,0.0152687479941342,7.68257866800363,0.001,0.001
"Aitchison_pc1","Aitchison (pc = 1)","arm",1,5208.79568961414,0.0110469686089798,5.56232387536287,0.001,0.001
"Aitchison_pc1","Aitchison (pc = 1)","age",1,4880.09240472945,0.0103498449193273,5.21131104276706,0.001,0.001
"Aitchison_pc1","Aitchison (pc = 1)","day",1,7266.82026844064,0.0154116882627256,7.7600294359237,0.001,0.001
