"Intersection","size","methods"
"1",25,"AHC + CLR pc = 0.01 + CLR pc = 0.5 + CLR pc = 1 + LEfSe"
"2",12,"AHC + CLR pc = 0.01 + CLR pc = 0.5 + CLR pc = 1"
"3",11,"CLR pc = 0.01 + CLR pc = 0.5 + CLR pc = 1"
"4",8,"LEfSe"
"5",6,"CLR pc = 0.5 + CLR pc = 1"
"6",6,"AHC"
"7",3,"AHC + CLR pc = 0.5 + CLR pc = 1"
"8",1,"CLR pc = 1"
"9",1,"CLR pc = 0.01"
"10",1,"CLR pc = 0.01 + LEfSe"
"11",1,"CLR pc = 0.01 + CLR pc = 0.5 + LEfSe"
"12",1,"AHC + LEfSe"
"13",1,"AHC + CLR pc = 1"
"14",1,"AHC + CLR pc = 0.5 + CLR pc = 1 + LEfSe"
