"Intersection","size","methods"
"1",26,"AHC + CLR pc = 0.01 + CLR pc = 0.5 + CLR pc = 1 + DESeq2"
"2",25,"DESeq2"
"3",11,"AHC + CLR pc = 0.01 + CLR pc = 0.5 + CLR pc = 1"
"4",8,"CLR pc = 0.01 + CLR pc = 0.5 + CLR pc = 1"
"5",5,"CLR pc = 0.5 + CLR pc = 1"
"6",5,"AHC + DESeq2"
"7",4,"AHC + CLR pc = 0.5 + CLR pc = 1 + DESeq2"
"8",3,"CLR pc = 0.01 + CLR pc = 0.5 + CLR pc = 1 + DESeq2"
"9",2,"CLR pc = 0.01"
"10",2,"AHC"
"11",1,"CLR pc = 1"
"12",1,"CLR pc = 0.5 + CLR pc = 1 + DESeq2"
"13",1,"CLR pc = 0.01 + CLR pc = 0.5"
"14",1,"AHC + CLR pc = 1 + DESeq2"
