"SampleID","PatientLabel","day","SampleOrder","Taxon","Contribution"
"12277.FMT.0009A","Patient 0009 (control)",-6,1,"[Eubacterium] (genus)",0.201608673498576
"12277.FMT.0009A","Patient 0009 (control)",-6,1,"Actinomyces (genus)",0.000221895114706708
"12277.FMT.0009A","Patient 0009 (control)",-6,1,"Blautia (genus)",0.0490773752913907
"12277.FMT.0009A","Patient 0009 (control)",-6,1,"Enterobacteriaceae (family)",0.000225557272997192
"12277.FMT.0009A","Patient 0009 (control)",-6,1,"Lactobacillus (genus)",0.000947299801891392
"12277.FMT.0009A","Patient 0009 (control)",-6,1,"Listeriaceae (family)",0.000611988967240977
"12277.FMT.0009A","Patient 0009 (control)",-6,1,"Other taxa",0.578046275625781
"12277.FMT.0009A","Patient 0009 (control)",-6,1,"Peptostreptococcaceae (family)",0.0505781935508121
"12277.FMT.0009A","Patient 0009 (control)",-6,1,"Streptococcus (genus)",0.00267616630085088
"12277.FMT.0009B","Patient 0009 (control)",-3,2,"[Eubacterium] (genus)",0.2787486853953
"12277.FMT.0009B","Patient 0009 (control)",-3,2,"Actinomyces (genus)",5.10968475988817e-05
"12277.FMT.0009B","Patient 0009 (control)",-3,2,"Blautia (genus)",0.0419142477489545
"12277.FMT.0009B","Patient 0009 (control)",-3,2,"Enterobacteriaceae (family)",0.000110536037662887
"12277.FMT.0009B","Patient 0009 (control)",-3,2,"Lactobacillus (genus)",0.000230457210599037
"12277.FMT.0009B","Patient 0009 (control)",-3,2,"Listeriaceae (family)",0.00299343232983916
"12277.FMT.0009B","Patient 0009 (control)",-3,2,"Other taxa",0.442703438490601
"12277.FMT.0009B","Patient 0009 (control)",-3,2,"Peptostreptococcaceae (family)",0.135029156450787
"12277.FMT.0009B","Patient 0009 (control)",-3,2,"Streptococcus (genus)",0.00432081884357897
"12277.FMT.0009C","Patient 0009 (control)",0,3,"[Eubacterium] (genus)",0.00159650281582946
"12277.FMT.0009C","Patient 0009 (control)",0,3,"Actinomyces (genus)",0.00301488478020309
"12277.FMT.0009C","Patient 0009 (control)",0,3,"Blautia (genus)",0.103301052650365
"12277.FMT.0009C","Patient 0009 (control)",0,3,"Enterobacteriaceae (family)",0.000167701094531168
"12277.FMT.0009C","Patient 0009 (control)",0,3,"Lactobacillus (genus)",0.000880802517867271
"12277.FMT.0009C","Patient 0009 (control)",0,3,"Listeriaceae (family)",0.002214533851426
"12277.FMT.0009C","Patient 0009 (control)",0,3,"Other taxa",0.745082565261995
"12277.FMT.0009C","Patient 0009 (control)",0,3,"Peptostreptococcaceae (family)",0.000158208579746385
"12277.FMT.0009C","Patient 0009 (control)",0,3,"Streptococcus (genus)",0.0234288227363572
"12277.FMT.0009D","Patient 0009 (control)",1,4,"[Eubacterium] (genus)",0.0660296620337516
"12277.FMT.0009D","Patient 0009 (control)",1,4,"Actinomyces (genus)",0.00354193458124336
"12277.FMT.0009D","Patient 0009 (control)",1,4,"Blautia (genus)",0.0470109382158113
"12277.FMT.0009D","Patient 0009 (control)",1,4,"Enterobacteriaceae (family)",0.00014906404830445
"12277.FMT.0009D","Patient 0009 (control)",1,4,"Lactobacillus (genus)",0.0047197466760858
"12277.FMT.0009D","Patient 0009 (control)",1,4,"Listeriaceae (family)",0.000409013942630957
"12277.FMT.0009D","Patient 0009 (control)",1,4,"Other taxa",0.722122449772967
"12277.FMT.0009D","Patient 0009 (control)",1,4,"Peptostreptococcaceae (family)",0.000140626460664575
"12277.FMT.0009D","Patient 0009 (control)",1,4,"Streptococcus (genus)",0.0437389995028536
"12277.FMT.0009E","Patient 0009 (control)",2,5,"[Eubacterium] (genus)",0.0729065999448818
"12277.FMT.0009E","Patient 0009 (control)",2,5,"Actinomyces (genus)",0.00530419130839956
"12277.FMT.0009E","Patient 0009 (control)",2,5,"Blautia (genus)",0.0606297552579844
"12277.FMT.0009E","Patient 0009 (control)",2,5,"Enterobacteriaceae (family)",0.00024542950803303
"12277.FMT.0009E","Patient 0009 (control)",2,5,"Lactobacillus (genus)",0.00391991951144129
"12277.FMT.0009E","Patient 0009 (control)",2,5,"Listeriaceae (family)",0.000569255239625208
"12277.FMT.0009E","Patient 0009 (control)",2,5,"Other taxa",0.704905369552971
"12277.FMT.0009E","Patient 0009 (control)",2,5,"Peptostreptococcaceae (family)",0.000289095304248308
"12277.FMT.0009E","Patient 0009 (control)",2,5,"Streptococcus (genus)",0.0341289671533656
