"Outcome","EventTime","Arm","Estimate","Lower","Upper"
"HRIC alpha diversity",1,"Control",0.0455571131192154,0.0311365372073605,0.0599776890310702
"HRIC alpha diversity",1,"Auto-FMT",0.0848590710851537,0.0740704384392832,0.0956477037310242
"HRIC alpha diversity",2,"Control",0.0463692591923425,0.0330772743663753,0.0596612440183096
"HRIC alpha diversity",2,"Auto-FMT",0.0843310437796034,0.0743569183809095,0.0943051691782973
"HRIC alpha diversity",3,"Control",0.0471814052654696,0.0349303898730085,0.0594324206579306
"HRIC alpha diversity",3,"Auto-FMT",0.0838030164740531,0.0744955945213657,0.0931104384267405
"HRIC alpha diversity",4,"Control",0.0479935513385967,0.0366716892025653,0.059315413474628
"HRIC alpha diversity",4,"Auto-FMT",0.0832749891685028,0.0744528934890719,0.0920970848479338
"HRIC alpha diversity",5,"Control",0.0488056974117238,0.0382715428250145,0.0593398519984331
"HRIC alpha diversity",5,"Auto-FMT",0.0827469618629525,0.0741978692921664,0.0912960544337386
"HRIC alpha diversity",6,"Control",0.0496178434848509,0.0396962040016565,0.0595394829680452
"HRIC alpha diversity",6,"Auto-FMT",0.0822189345574022,0.0737100604705518,0.0907278086442527
"HRIC alpha diversity",7,"Control",0.050429989557978,0.0409117904761832,0.0599481886397727
"HRIC alpha diversity",7,"Auto-FMT",0.081690907251852,0.0729862397967995,0.0903955747069044
"HRIC alpha diversity",8,"Control",0.051242135631105,0.041891201772111,0.0605930694900992
"HRIC alpha diversity",8,"Auto-FMT",0.0811628799463017,0.0720415929967866,0.0902841668958167
"HRIC alpha diversity",9,"Control",0.0520542817042321,0.0426218652133063,0.061486698195158
"HRIC alpha diversity",9,"Auto-FMT",0.0806348526407514,0.0709044436790012,0.0903652616025015
"HRIC alpha diversity",10,"Control",0.0528664277773592,0.0431100112103145,0.0626228443444039
"HRIC alpha diversity",10,"Auto-FMT",0.0801068253352011,0.0696082452242722,0.0906054054461299
"HRIC alpha diversity",11,"Control",0.0536785738504863,0.0433785003483446,0.0639786473526281
"HRIC alpha diversity",11,"Auto-FMT",0.0795787980296508,0.06818512202217,0.0909724740371315
