"method","MethodLabel","Layer","LayerLabel","n","mean","sd","median","q1","q3"
"AHC_D_norm","AHC (dominance)","SRF","Surface",83,0.891323951765738,0.0240621475652796,0.888154589472285,0.872989746942525,0.905799778644642
"AHC_D_norm","AHC (dominance)","DCM","DCM",52,0.88202733759006,0.0230998494523275,0.877850989522649,0.870316717252351,0.892873885617665
"AHC_D_norm","AHC (dominance)","MES","Mesopelagic",38,0.851352185155211,0.0203979399001231,0.847035414609394,0.838911322859102,0.861320381859868
"AHC_E","AHC (evenness)","SRF","Surface",83,0.108676048234262,0.0240621475652796,0.111845410527715,0.0942002213553582,0.127010253057475
"AHC_E","AHC (evenness)","DCM","DCM",52,0.11797266240994,0.0230998494523275,0.122149010477351,0.107126114382335,0.129683282747649
"AHC_E","AHC (evenness)","MES","Mesopelagic",38,0.148647814844789,0.0203979399001231,0.152964585390606,0.138679618140132,0.161088677140898
"Shannon_drop0_evenness","Shannon (drop 0s)","SRF","Surface",83,0.565717521277522,0.0670533953127127,0.587686804607965,0.540291308546998,0.615101193539157
"Shannon_drop0_evenness","Shannon (drop 0s)","DCM","DCM",52,0.583049843850011,0.0617737884047012,0.599855315226302,0.56599732074193,0.617844222536774
"Shannon_drop0_evenness","Shannon (drop 0s)","MES","Mesopelagic",38,0.63905883113884,0.040344652304202,0.647644198271318,0.626266927924581,0.664840867230173
"Shannon_pc0.01_evenness","Shannon (ps = 0.01)","SRF","Surface",83,0.575949562254149,0.066427053236529,0.596233118912939,0.549651679555311,0.623829566014558
"Shannon_pc0.01_evenness","Shannon (ps = 0.01)","DCM","DCM",52,0.592052345776946,0.061346739506346,0.608603912057394,0.576468420272088,0.624590917759325
"Shannon_pc0.01_evenness","Shannon (ps = 0.01)","MES","Mesopelagic",38,0.646701789702579,0.0397981971119024,0.655374410491547,0.636462393436129,0.672559324716096
"Shannon_pc0.5_evenness","Shannon (ps = 0.5)","SRF","Surface",83,0.772940593859255,0.0572691503197062,0.77515250452118,0.744914897113671,0.815627042930675
"Shannon_pc0.5_evenness","Shannon (ps = 0.5)","DCM","DCM",52,0.77201134926343,0.0534718145905912,0.779254751021586,0.751311022487864,0.80245245944349
"Shannon_pc0.5_evenness","Shannon (ps = 0.5)","MES","Mesopelagic",38,0.799700972060026,0.0379456973596441,0.803677742368434,0.786297310859619,0.820426487194662
"Shannon_pc1_evenness","Shannon (ps = 1)","SRF","Surface",83,0.847314814234452,0.0476708081275817,0.845037486443753,0.823125672387933,0.882206782442642
"Shannon_pc1_evenness","Shannon (ps = 1)","DCM","DCM",52,0.843892462496001,0.0450432681386424,0.850736231329865,0.820594415750596,0.868878615472882
"Shannon_pc1_evenness","Shannon (ps = 1)","MES","Mesopelagic",38,0.862186101105619,0.0336190962760199,0.862881249408723,0.849133961718776,0.882144778550564
