"method1","method2","procrustes_r","p_value","Method1","Method2","method1_index","method2_index","label"
"AHC_D_norm","AHC_D_norm",1,NA,"AHC (dominance)","AHC (dominance)",1,1,"1.00"
"AHC_D_norm","AHC_E",1,0.001,"AHC (dominance)","AHC (evenness)",1,2,"1.00"
"AHC_D_norm","Shannon_drop0_evenness",0.943602512987954,0.001,"AHC (dominance)","Shannon (drop 0s)",1,3,"0.94"
"AHC_D_norm","Shannon_pc0.01_evenness",0.934407412105756,0.001,"AHC (dominance)","Shannon (ps = 0.01)",1,4,"0.93"
"AHC_D_norm","Shannon_pc0.5_evenness",0.601611177579771,0.001,"AHC (dominance)","Shannon (ps = 0.5)",1,5,"0.60"
"AHC_D_norm","Shannon_pc1_evenness",0.489312401481622,0.001,"AHC (dominance)","Shannon (ps = 1)",1,6,"0.49"
"AHC_E","AHC_D_norm",1,0.001,"AHC (evenness)","AHC (dominance)",2,1,"1.00"
"AHC_E","AHC_E",1,NA,"AHC (evenness)","AHC (evenness)",2,2,"1.00"
"AHC_E","Shannon_drop0_evenness",0.943602512987953,0.001,"AHC (evenness)","Shannon (drop 0s)",2,3,"0.94"
"AHC_E","Shannon_pc0.01_evenness",0.934407412105757,0.001,"AHC (evenness)","Shannon (ps = 0.01)",2,4,"0.93"
"AHC_E","Shannon_pc0.5_evenness",0.601611177579771,0.001,"AHC (evenness)","Shannon (ps = 0.5)",2,5,"0.60"
"AHC_E","Shannon_pc1_evenness",0.489312401481622,0.001,"AHC (evenness)","Shannon (ps = 1)",2,6,"0.49"
"Shannon_drop0_evenness","AHC_D_norm",0.943602512987954,0.001,"Shannon (drop 0s)","AHC (dominance)",3,1,"0.94"
"Shannon_drop0_evenness","AHC_E",0.943602512987953,0.001,"Shannon (drop 0s)","AHC (evenness)",3,2,"0.94"
"Shannon_drop0_evenness","Shannon_drop0_evenness",1,NA,"Shannon (drop 0s)","Shannon (drop 0s)",3,3,"1.00"
"Shannon_drop0_evenness","Shannon_pc0.01_evenness",0.998985805898748,0.001,"Shannon (drop 0s)","Shannon (ps = 0.01)",3,4,"1.00"
"Shannon_drop0_evenness","Shannon_pc0.5_evenness",0.766091168130774,0.001,"Shannon (drop 0s)","Shannon (ps = 0.5)",3,5,"0.77"
"Shannon_drop0_evenness","Shannon_pc1_evenness",0.668625502550475,0.001,"Shannon (drop 0s)","Shannon (ps = 1)",3,6,"0.67"
"Shannon_pc0.01_evenness","AHC_D_norm",0.934407412105756,0.001,"Shannon (ps = 0.01)","AHC (dominance)",4,1,"0.93"
"Shannon_pc0.01_evenness","AHC_E",0.934407412105756,0.001,"Shannon (ps = 0.01)","AHC (evenness)",4,2,"0.93"
"Shannon_pc0.01_evenness","Shannon_drop0_evenness",0.998985805898748,0.001,"Shannon (ps = 0.01)","Shannon (drop 0s)",4,3,"1.00"
"Shannon_pc0.01_evenness","Shannon_pc0.01_evenness",1,NA,"Shannon (ps = 0.01)","Shannon (ps = 0.01)",4,4,"1.00"
"Shannon_pc0.01_evenness","Shannon_pc0.5_evenness",0.793876215837098,0.001,"Shannon (ps = 0.01)","Shannon (ps = 0.5)",4,5,"0.79"
"Shannon_pc0.01_evenness","Shannon_pc1_evenness",0.700540349840601,0.001,"Shannon (ps = 0.01)","Shannon (ps = 1)",4,6,"0.70"
"Shannon_pc0.5_evenness","AHC_D_norm",0.601611177579771,0.001,"Shannon (ps = 0.5)","AHC (dominance)",5,1,"0.60"
"Shannon_pc0.5_evenness","AHC_E",0.601611177579771,0.001,"Shannon (ps = 0.5)","AHC (evenness)",5,2,"0.60"
"Shannon_pc0.5_evenness","Shannon_drop0_evenness",0.766091168130774,0.001,"Shannon (ps = 0.5)","Shannon (drop 0s)",5,3,"0.77"
"Shannon_pc0.5_evenness","Shannon_pc0.01_evenness",0.793876215837098,0.001,"Shannon (ps = 0.5)","Shannon (ps = 0.01)",5,4,"0.79"
"Shannon_pc0.5_evenness","Shannon_pc0.5_evenness",1,NA,"Shannon (ps = 0.5)","Shannon (ps = 0.5)",5,5,"1.00"
"Shannon_pc0.5_evenness","Shannon_pc1_evenness",0.988988821992307,0.001,"Shannon (ps = 0.5)","Shannon (ps = 1)",5,6,"0.99"
"Shannon_pc1_evenness","AHC_D_norm",0.489312401481622,0.001,"Shannon (ps = 1)","AHC (dominance)",6,1,"0.49"
"Shannon_pc1_evenness","AHC_E",0.489312401481622,0.001,"Shannon (ps = 1)","AHC (evenness)",6,2,"0.49"
"Shannon_pc1_evenness","Shannon_drop0_evenness",0.668625502550475,0.001,"Shannon (ps = 1)","Shannon (drop 0s)",6,3,"0.67"
"Shannon_pc1_evenness","Shannon_pc0.01_evenness",0.7005403498406,0.001,"Shannon (ps = 1)","Shannon (ps = 0.01)",6,4,"0.70"
"Shannon_pc1_evenness","Shannon_pc0.5_evenness",0.988988821992307,0.001,"Shannon (ps = 1)","Shannon (ps = 0.5)",6,5,"0.99"
"Shannon_pc1_evenness","Shannon_pc1_evenness",1,NA,"Shannon (ps = 1)","Shannon (ps = 1)",6,6,"1.00"
