"method","MethodLabel","group1","group2","contrast","df","sumsq","r2","statistic","p_value","q_value"
"AHC_beta","AHC beta diversity","SRF","DCM","SRF_vs_DCM",1,4.81459998935261,0.0285566848683794,3.90968678082865,0.001,0.001
"AHC_beta","AHC beta diversity","SRF","MES","SRF_vs_MES",1,29.0844417699686,0.17331944056762,24.9491937269075,0.001,0.001
"AHC_beta","AHC beta diversity","DCM","MES","DCM_vs_MES",1,19.515222733109,0.16902563484146,17.8997770445189,0.001,0.001
"Aitchison_pc0.01","Aitchison (pc = 0.01)","SRF","DCM","SRF_vs_DCM",1,127080.565087943,0.0257706889331287,3.51816722117782,0.001,0.001
"Aitchison_pc0.01","Aitchison (pc = 0.01)","SRF","MES","SRF_vs_MES",1,963079.024566026,0.174331384759955,25.1256186846866,0.001,0.001
"Aitchison_pc0.01","Aitchison (pc = 0.01)","DCM","MES","DCM_vs_MES",1,618093.790366699,0.143350666003399,14.7258138279825,0.001,0.001
"Aitchison_pc0.5","Aitchison (pc = 0.5)","SRF","DCM","SRF_vs_DCM",1,25122.1319216787,0.0310919989072273,4.26793446849169,0.003,0.003
"Aitchison_pc0.5","Aitchison (pc = 0.5)","SRF","MES","SRF_vs_MES",1,194379.967432885,0.212848162510582,32.1779485639577,0.001,0.0015
"Aitchison_pc0.5","Aitchison (pc = 0.5)","DCM","MES","DCM_vs_MES",1,127703.756157591,0.182776255263478,19.6816484674852,0.001,0.0015
"Aitchison_pc1","Aitchison (pc = 1)","SRF","DCM","SRF_vs_DCM",1,16721.0206315308,0.0322220943002387,4.42822523297124,0.001,0.001
"Aitchison_pc1","Aitchison (pc = 1)","SRF","MES","SRF_vs_MES",1,128091.551238211,0.219037992415332,33.3761704721577,0.001,0.001
"Aitchison_pc1","Aitchison (pc = 1)","DCM","MES","DCM_vs_MES",1,85097.7011585795,0.190905398957016,20.7635486463033,0.001,0.001
