"method","MethodLabel","Taxon","baseMean","statistic","p_value","padj","significant","total_count","prevalence_n","prevalence_fraction","mean_relative_abundance","Kingdom","Phylum","Class","Order","Family","Genus"
"DESeq2_LRT","DESeq2","AACY020049127.555.2033",5.44894132684926,43.2101258923536,4.1403817087311e-10,2.14802450384003e-09,TRUE,881,94,0.543352601156069,0.000226132138103091,"Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Thiothrix"
"DESeq2_LRT","DESeq2","AACY020057074.347.1847",4.68617629108852,48.9538763656856,2.34315389462016e-11,1.45907473491434e-10,TRUE,757,80,0.46242774566474,0.000194361827769032,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","NS9",NA
"DESeq2_LRT","DESeq2","AACY020061762.7.1504",0.202169477153721,-0.64081607667012,1,1,FALSE,75,20,0.115606936416185,2.08474872708758e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Spongiibacteraceae","BD1-7"
"DESeq2_LRT","DESeq2","AACY020065672.95.1597",11.4623576432956,32.0103652954323,1.11953453283728e-07,4.07611948567764e-07,TRUE,1882,76,0.439306358381503,0.000488396225443943,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Formosa"
"DESeq2_LRT","DESeq2","AACY020075636.150.1670",50.6176414048824,22.5882226634747,1.24459992542347e-05,3.30758635451571e-05,TRUE,8087,113,0.653179190751445,0.0019423654124717,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","JTB255",NA
"DESeq2_LRT","DESeq2","AACY020080403.492.1950",5.22526206742778,70.5970307043841,4.67788523860982e-16,4.98120017188954e-15,TRUE,889,100,0.578034682080925,0.00022546714477035,"Bacteria","Cyanobacteria","Chloroplast","marine",NA,NA
"DESeq2_LRT","DESeq2","AACY020095396.2822.4287",7.5212739363013,28.2406345524043,7.37265860665872e-07,2.36168130092419e-06,TRUE,1267,80,0.46242774566474,0.000316679547064602,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA
"DESeq2_LRT","DESeq2","AACY020105546.1130.2631",1.50154944296188,26.1735818096435,2.07242548484087e-06,6.24002095629296e-06,TRUE,249,61,0.352601156069364,6.66286682270646e-05,"Bacteria","Actinobacteria","Actinobacteria","PeM15","marine",NA
"DESeq2_LRT","DESeq2","AACY020119224.701.2163",12.516835233897,40.2815274216828,1.79051291966557e-09,8.36768763258538e-09,TRUE,2096,86,0.497109826589595,0.000569891979092567,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SAR116",NA
"DESeq2_LRT","DESeq2","AACY020125801.1205.2714",12.2428975625134,44.7349724982311,1.93163091706554e-10,1.05213763679691e-09,TRUE,1932,95,0.549132947976879,0.000543016167871221,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","NS5"
"DESeq2_LRT","DESeq2","AACY020125842.55.1493",133.469265825793,26.397690956685,1.85273899057062e-06,5.63309951239985e-06,TRUE,22223,123,0.710982658959538,0.00504691485081046,"Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine",NA
"DESeq2_LRT","DESeq2","AACY020147130.655.2083",9.93282799469981,33.5842362286742,5.09654383003215e-08,1.95801321443739e-07,TRUE,1608,81,0.468208092485549,0.000363842998977858,"Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine",NA
"DESeq2_LRT","DESeq2","AACY020159143.753.2263",2.52092745609056,38.9275563793249,3.52361569073311e-09,1.57566093783118e-08,TRUE,412,78,0.450867052023121,0.000105860883399373,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","MWH-UniP1"
"DESeq2_LRT","DESeq2","AACY020187844.576.1995",17.445895488683,43.4062629105058,3.75361537181374e-10,1.96045488176252e-09,TRUE,2818,92,0.531791907514451,0.000725930911260009,"Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine",NA
"DESeq2_LRT","DESeq2","AACY020207233.1273.2814",102.660942176583,35.0565701127541,2.44097045471631e-08,9.79749242753604e-08,TRUE,16359,118,0.682080924855491,0.00431467301953575,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"DESeq2_LRT","DESeq2","AACY020239062.128.1636",4.94061258522009,9.37413571861839,0.00921366234219611,0.0152222887580597,TRUE,1289,34,0.196531791907514,0.000412974555980824,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","NS4"
"DESeq2_LRT","DESeq2","AACY020259437.2024.3522",16.9966640486437,15.9853496381015,0.000337928974543001,0.000719352230610935,TRUE,2615,77,0.445086705202312,0.000818479389563665,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","uncultured"
"DESeq2_LRT","DESeq2","AACY020273010.4139.5621",33.3419778709023,33.0751099945389,6.57402150648746e-08,2.46472960661234e-07,TRUE,5562,108,0.624277456647399,0.00121740529897786,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","uncultured"
"DESeq2_LRT","DESeq2","AACY020276549.377.1886",31.8026482153857,36.9099573034359,9.66283598367154e-09,4.08589909590608e-08,TRUE,5231,112,0.647398843930636,0.00110902875910389,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","NS5"
