"Taxon","total_count","prevalence_n","prevalence_fraction","mean_relative_abundance","Kingdom","Phylum","Class","Order","Family","Genus"
"AACY020049127.555.2033",881,94,0.543352601156069,0.000226132138103091,"Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Thiothrix"
"AACY020057074.347.1847",757,80,0.46242774566474,0.000194361827769032,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","NS9",NA
"AACY020061762.7.1504",75,20,0.115606936416185,2.08474872708758e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Spongiibacteraceae","BD1-7"
"AACY020065672.95.1597",1882,76,0.439306358381503,0.000488396225443943,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Formosa"
"AACY020075636.150.1670",8087,113,0.653179190751445,0.0019423654124717,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","JTB255",NA
"AACY020080403.492.1950",889,100,0.578034682080925,0.00022546714477035,"Bacteria","Cyanobacteria","Chloroplast","marine",NA,NA
"AACY020095396.2822.4287",1267,80,0.46242774566474,0.000316679547064602,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA
"AACY020105546.1130.2631",249,61,0.352601156069364,6.66286682270646e-05,"Bacteria","Actinobacteria","Actinobacteria","PeM15","marine",NA
"AACY020119224.701.2163",2096,86,0.497109826589595,0.000569891979092567,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SAR116",NA
"AACY020125801.1205.2714",1932,95,0.549132947976879,0.000543016167871221,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","NS5"
"AACY020125842.55.1493",22223,123,0.710982658959538,0.00504691485081046,"Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine",NA
"AACY020147130.655.2083",1608,81,0.468208092485549,0.000363842998977858,"Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine",NA
"AACY020159143.753.2263",412,78,0.450867052023121,0.000105860883399373,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","MWH-UniP1"
"AACY020187844.576.1995",2818,92,0.531791907514451,0.000725930911260009,"Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine",NA
"AACY020207233.1273.2814",16359,118,0.682080924855491,0.00431467301953575,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"AACY020239062.128.1636",1289,34,0.196531791907514,0.000412974555980824,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","NS4"
"AACY020259437.2024.3522",2615,77,0.445086705202312,0.000818479389563665,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","uncultured"
"AACY020273010.4139.5621",5562,108,0.624277456647399,0.00121740529897786,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","uncultured"
"AACY020276549.377.1886",5231,112,0.647398843930636,0.00110902875910389,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","NS5"
"AACY020281370.38.1481",6208,110,0.635838150289017,0.0015706116232374,"Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine",NA
"AACY020283857.132.1585",1029,92,0.531791907514451,0.000226200712944694,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA
"AACY020288370.770.2267",4641,77,0.445086705202312,0.00115185712312428,"Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Sva0996",NA
"AACY020302266.213.1678",796,72,0.416184971098266,0.00018827673314075,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Tistlia"
"AACY020311045.179.1696",143,18,0.104046242774566,4.32875530677339e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","OM182",NA
"AACY020324837.147.1652",1951,96,0.554913294797688,0.000518244705507031,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","NS4"
"AACY020371335.89.1595",4823,85,0.491329479768786,0.00130757199044772,"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria",NA,NA
"AACY020393406.361.1862",4591,75,0.433526011560694,0.00103096985841973,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86",NA
"AACY020398456.2130.3630",3516,87,0.502890173410405,0.000916530211856977,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86",NA
"AACY020403290.735.2190",1386,131,0.757225433526012,0.000297517992774681,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA
"AACY020430088.197.1720",2807,98,0.566473988439306,0.000546134618329199,"Bacteria","Proteobacteria","AEGEAN-245","marine",NA,NA
"AACY020443294.193.1674",1853,114,0.658959537572254,0.000449643447411567,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","uncultured"
"AACY020454769.289.1798",622,56,0.323699421965318,0.000171619063374335,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","NS5"
"AACY020458202.2977.4452",10589,97,0.560693641618497,0.0031783728750541,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","AEGEAN-169"
"AACY020458788.943.2444",4709,58,0.335260115606936,0.0013819710007423,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","NS2b"
"AACY020481938.3418.4929",12869,99,0.572254335260116,0.00342418849665111,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86",NA
"AACY020487638.121.1594",4064,89,0.514450867052023,0.00122089046836209,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","AEGEAN-169"
"AACY020490277.719.2228",4148,106,0.61271676300578,0.00106929443551527,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","NS5"
"AACY020495408.613.2120",3220,103,0.595375722543353,0.000770740984160038,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","NS4"
"AACY020518560.687.2227",3940,128,0.739884393063584,0.000905712341913818,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"AACY020544257.531.2038",2157,86,0.497109826589595,0.000530442353351335,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Fluviicola"
