"method","MethodLabel","Taxon","target_layer","lda_score","significant","total_count","prevalence_n","prevalence_fraction","mean_relative_abundance","Kingdom","Phylum","Class","Order","Family","Genus"
"LEfSe","LEfSe","JX441504.1.1446","SRF",-3.43552437383556,TRUE,19533,168,0.971098265895954,0.00450186661380351,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","AEGEAN-169"
"LEfSe","LEfSe","GU145495.1.1523","SRF",-3.40248150466276,TRUE,11762,24,0.138728323699422,0.0026274590853582,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"LEfSe","LEfSe","KF954270.1.1439","SRF",-3.30650461480207,TRUE,18605,114,0.658959537572254,0.00385709815765552,"Archaea","Thaumarchaeota","Marine",NA,NA,NA
"LEfSe","LEfSe","EU686618.3359.4826","SRF",-3.29557773563266,TRUE,11019,83,0.479768786127168,0.00214261801769978,"Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine",NA
"LEfSe","LEfSe","EU686643.5839.7313","SRF",-3.24446318031222,TRUE,9148,41,0.236994219653179,0.00182575356182064,"Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine",NA
"LEfSe","LEfSe","FAXC01000432.4183.5737","SRF",-3.22893089774145,TRUE,8582,40,0.23121387283237,0.00176335267010838,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"LEfSe","LEfSe","DQ810591.1.1204","SRF",-3.1658075477645,TRUE,8306,122,0.705202312138728,0.00186470501063122,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA
"LEfSe","LEfSe","AZYC01000011.26055.27510","SRF",-3.15544352326261,TRUE,7642,112,0.647398843930636,0.00156287989644182,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA
"LEfSe","LEfSe","JX441512.1.1477","SRF",-3.14453231012627,TRUE,7507,72,0.416184971098266,0.00146523656895104,"Bacteria","Proteobacteria","Deltaproteobacteria","SAR324",NA,NA
"LEfSe","LEfSe","HQ672443.1.1436","SRF",-3.13460841394474,TRUE,6653,118,0.682080924855491,0.0015044639887781,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA
"LEfSe","LEfSe","AANC01000011.208.1734","SRF",-3.1334952389395,TRUE,7222,95,0.549132947976879,0.00149235630554218,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Leeuwenhoekiella"
"LEfSe","LEfSe","KJ589824.1.1466","SRF",-3.12470825523598,TRUE,6399,95,0.549132947976879,0.00145251750407673,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA
"LEfSe","LEfSe","AB974096.1.1415","SRF",-3.11427539148894,TRUE,7812,92,0.531791907514451,0.00149819080118932,"Bacteria","Proteobacteria","Deltaproteobacteria","SAR324",NA,NA
"LEfSe","LEfSe","AB193901.1.1435","SRF",-3.08534470591124,TRUE,6742,95,0.549132947976879,0.00140010808870347,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","S25-593","uncultured"
"LEfSe","LEfSe","JX879045.1.1449","SRF",-3.066060923794,TRUE,7346,153,0.884393063583815,0.00155546167230085,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","AEGEAN-169"
"LEfSe","LEfSe","AB193975.1.1441","SRF",-3.03795477641049,TRUE,5473,57,0.329479768786127,0.00114870889310236,"Archaea","Thaumarchaeota","Marine",NA,NA,NA
"LEfSe","LEfSe","HQ672720.1.1447","SRF",-3.02679466911095,TRUE,9884,131,0.757225433526012,0.00213290125928455,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA
"LEfSe","LEfSe","GU145420.1.1491","SRF",-3.01853841435776,TRUE,7920,136,0.786127167630058,0.00164619410030531,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","NS5"
"LEfSe","LEfSe","CETO01007979.484.1945","SRF",-3.0174933801546,TRUE,5345,83,0.479768786127168,0.00109832118540013,"Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine",NA
"LEfSe","LEfSe","AB193958.1.1441","SRF",-3.00379945454402,TRUE,5097,40,0.23121387283237,0.00105168166983754,"Archaea","Thaumarchaeota","Marine",NA,NA,NA
"LEfSe","LEfSe","KR269646.1.1417","SRF",-2.99096938823257,TRUE,3911,37,0.213872832369942,0.0010206249204884,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"LEfSe","LEfSe","DQ513029.1.1499","SRF",-2.983825569048,TRUE,5035,39,0.225433526011561,0.00100318877879849,"Bacteria","Proteobacteria","Gammaproteobacteria","KI89A",NA,NA
