"Taxon","AHC","CLR_pc0.01","CLR_pc0.5","CLR_pc1","DESeq2","LEfSe"
"AACY020049127.555.2033",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020057074.347.1847",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020061762.7.1504",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"AACY020065672.95.1597",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020075636.150.1670",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020080403.492.1950",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020095396.2822.4287",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020105546.1130.2631",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AACY020119224.701.2163",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020125801.1205.2714",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020125842.55.1493",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020147130.655.2083",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020159143.753.2263",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AACY020187844.576.1995",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020207233.1273.2814",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020239062.128.1636",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"AACY020259437.2024.3522",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020273010.4139.5621",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020276549.377.1886",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020281370.38.1481",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020283857.132.1585",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020288370.770.2267",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020302266.213.1678",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AACY020311045.179.1696",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AACY020324837.147.1652",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020371335.89.1595",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020393406.361.1862",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020398456.2130.3630",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020403290.735.2190",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020430088.197.1720",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020443294.193.1674",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020454769.289.1798",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020458202.2977.4452",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020458788.943.2444",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AACY020481938.3418.4929",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020487638.121.1594",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020490277.719.2228",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020495408.613.2120",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020518560.687.2227",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020544257.531.2038",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020545456.443.1983",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020548802.136.1646",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020549891.3846.5359",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020551516.3485.4953",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020552977.734.2233",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020553637.768.2309",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020553861.2031.3562",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020555764.489.1966",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020555882.2572.4023",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020556376.977.2486",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020562322.3851.5364",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020563509.792.2305",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY020564058.27.1569",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY023372270.147.1550",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AACY023524552.82.1556",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY023843224.1.1440",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AACY023859826.38.1493",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AACY023937770.20.1486",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
