"method","MethodLabel","Taxon","df_layer","df_residual","statistic","p_value","mean_SRF","mean_DCM","mean_MES","padj","significant","total_count","prevalence_n","prevalence_fraction","mean_relative_abundance","Kingdom","Phylum","Class","Order","Family","Genus"
"AHC","AHC","HQ674497.1.1485",2,170,355.315382339164,1.90844996873931e-61,-0.00574077486155539,-0.00572321876828595,0.0358552006767683,8.90101065420012e-58,TRUE,1503,50,0.289017341040462,0.000329301024339274,"Bacteria","Nitrospinae","Nitrospinia","Nitrospinales","Nitrospinaceae","Nitrospina"
"AHC","AHC","HQ673846.1.1521",2,170,334.870414425659,1.08595146427923e-59,-0.00650515269793057,-0.00401100711431213,0.0335180947702114,2.53243881469916e-56,TRUE,1357,51,0.294797687861272,0.000292688979953877,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"AHC","AHC","FJ150826.1.1353",2,170,331.887555551759,1.9906711783088e-59,-0.00604936501409654,-0.00557851378898573,0.0456734093850417,3.09483012521075e-56,TRUE,2349,48,0.277456647398844,0.000500245811498664,"Archaea","Thaumarchaeota","Marine",NA,NA,NA
"AHC","AHC","DQ396141.1.1503",2,170,262.212327807864,1.12207552043346e-52,-0.00599641444024004,-0.00411863954014846,0.0436593251965146,1.30834005682542e-49,TRUE,2354,57,0.329479768786127,0.000484110675476502,"Bacteria","Proteobacteria","Deltaproteobacteria","SAR324",NA,NA
"AHC","AHC","HQ673984.1.1259",2,170,245.265083047754,7.89373460894141e-51,-0.00447723192814498,-0.00141731723202259,0.0207776238244725,7.36327564322054e-48,TRUE,662,82,0.473988439306358,0.000147439845756152,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA
"AHC","AHC","AB919432.1.1312",2,170,235.912122481936,9.07377984587782e-50,-0.00625699255340314,-0.00643731722971625,0.0335753176447044,7.05335153352902e-47,TRUE,1487,42,0.242774566473988,0.000322533861507929,"Archaea","Thaumarchaeota","Marine",NA,NA,NA
"AHC","AHC","HQ673644.1.1523",2,170,224.832170268455,1.79827211990428e-48,-0.00647539226542205,-0.00502237025913867,0.0151329649086537,1.19816302389051e-45,TRUE,432,48,0.277456647398844,9.53065274754145e-05,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"AHC","AHC","HQ673842.1.1462",2,170,223.291523580611,2.74709730009741e-48,-0.00667705129044423,-0.00698069105483115,0.00840091469738176,1.60155772595679e-45,TRUE,226,34,0.196531791907514,4.94058603225522e-05,"Bacteria","Nitrospinae","Nitrospinia","Nitrospinales","Nitrospinaceae","Nitrospina"
"AHC","AHC","AM997765.1.1455",2,170,216.34133558551,1.90817604084113e-47,-0.0064512114938166,-0.00645205936196914,0.0276639904771645,9.88859228275892e-45,TRUE,1195,40,0.23121387283237,0.000241627424110574,"Bacteria","Chloroflexi","SAR202",NA,NA,NA
"AHC","AHC","HQ163260.1.1400",2,170,215.39421898175,2.49359082894588e-47,-0.00607317565933792,-0.00673372948895234,0.0129730940710193,1.16301076262036e-44,TRUE,359,42,0.242774566473988,8.18333233970111e-05,"Bacteria","Verrucomicrobia","Arctic97B-4",NA,NA,NA
"AHC","AHC","GQ337156.1.1450",2,170,208.427233016718,1.83262298881075e-46,-0.00527862883651276,-0.00330728641634198,0.0226107127611473,7.7703214725576e-44,TRUE,762,68,0.393063583815029,0.000169932490277617,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA
"AHC","AHC","JQ222467.1.914",2,170,205.711215140563,4.03977185474784e-46,-0.00667705129044423,-0.00656688949447195,0.0268667470243406,1.57012466087866e-43,TRUE,1099,35,0.202312138728324,0.000231240633221369,"Archaea","Thaumarchaeota","Marine",NA,NA,NA
"AHC","AHC","JQ222470.1.914",2,170,201.755117095588,1.29466878988839e-45,-0.00533504307050198,-0.00521895747198678,0.0627127331690359,4.64487325849189e-43,TRUE,3826,52,0.300578034682081,0.000942242816594054,"Archaea","Thaumarchaeota","Marine",NA,NA,NA
"AHC","AHC","HQ672849.1.1437",2,170,199.463681966152,2.56052126416635e-45,-0.00442106321252131,-0.00109762384233858,0.0222909629941604,8.53019369719417e-43,TRUE,782,82,0.473988439306358,0.000170423873829696,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA
"AHC","AHC","AF121095.1.906",2,170,197.395165072072,4.76147880570076e-45,-0.00600995655144635,-0.00518258996984205,0.047531589229801,1.48050247665256e-42,TRUE,2838,48,0.277456647398844,0.000596828400917795,"Archaea","Thaumarchaeota","Marine",NA,NA,NA
"AHC","AHC","HQ674222.1.1525",2,170,194.927259764873,1.00407764094944e-44,-0.00623463688120668,-0.0042972049790307,0.0494990561144254,2.9004742825198e-42,TRUE,3148,45,0.260115606936416,0.000643013921038449,"Bacteria","Gemmatimonadetes","BD2-11",NA,NA,NA
"AHC","AHC","HQ672326.1.1437",2,170,194.706614211773,1.07368307080457e-44,-0.00568098508424701,-0.00411383050383355,0.038535844648879,2.9004742825198e-42,TRUE,1857,51,0.294797687861272,0.000402447746862906,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA
"AHC","AHC","AB194000.1.1442",2,170,194.569451348235,1.1193940198404e-44,-0.00667705129044423,-0.00652310997191204,0.0299687896491819,2.9004742825198e-42,TRUE,1282,38,0.219653179190751,0.00028026042300027,"Archaea","Thaumarchaeota","Marine",NA,NA,NA
"AHC","AHC","KT454291.1.914",2,170,193.136925793601,1.73230126646424e-44,-0.00565436733602102,-0.00581827169081675,0.0310022811443165,4.25234374041539e-42,TRUE,1386,44,0.254335260115607,0.000289705516625216,"Archaea","Thaumarchaeota","Marine",NA,NA,NA
"AHC","AHC","JQ221072.1.914",2,170,190.107463023518,4.39447573084904e-44,-0.00651430102027493,-0.00631434320487676,0.0301023264997917,9.8466221331269e-42,TRUE,1328,37,0.213872832369942,0.000283231299780677,"Archaea","Thaumarchaeota","Marine",NA,NA,NA
"AHC","AHC","HQ672847.1.1483",2,170,190.078839985626,4.43351339613347e-44,-0.0065840965329549,-0.00698069105483115,0.00723822610916187,9.8466221331269e-42,TRUE,206,34,0.196531791907514,4.38054038687253e-05,"Bacteria","Nitrospinae","Nitrospinia","Nitrospinales","Nitrospinaceae","Nitrospina"
"AHC","AHC","GQ375276.1.1509",2,170,189.578756833205,5.17510613795851e-44,-0.00642897080702299,-0.0063722089818622,0.0210133818037515,1.0971225012472e-41,TRUE,748,39,0.225433526011561,0.000158942336972667,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"AHC","AHC","HQ673190.1.1521",2,170,186.810259458277,1.22464961580122e-43,-0.0065840965329549,-0.00534483578090209,0.0222602244636723,2.48337643830299e-41,TRUE,815,40,0.23121387283237,0.000171672147819705,"Bacteria","PAUC34f","uncultured",NA,NA,NA
"AHC","AHC","KF954253.1.1443",2,170,184.700560235205,2.37493405715721e-43,-0.00667705129044423,-0.00712111334985243,0.01603239215927,4.61528851774218e-41,TRUE,536,34,0.196531791907514,0.000113454612179482,"Archaea","Thaumarchaeota","Marine",NA,NA,NA
"AHC","AHC","KJ589896.1.1506",2,170,182.920058326018,4.17027038680835e-43,-0.00654715093970132,-0.00664696042745363,0.0119240311923197,7.78005643362966e-41,TRUE,370,36,0.208092485549133,7.64977994111303e-05,"Bacteria","Acidobacteria","Subgroup",NA,NA,NA
"AHC","AHC","JQ220569.1.914",2,170,182.064727823705,5.47272189969156e-43,-0.00650279485212569,-0.0060259717537213,0.0439214723392617,9.81722113083132e-41,TRUE,2488,39,0.225433526011561,0.000532849415543802,"Archaea","Thaumarchaeota","Marine",NA,NA,NA
"AHC","AHC","HQ673241.1.1522",2,170,179.18522748061,1.3752564404341e-42,-0.00667705129044423,-0.00423511651665418,0.0431549156242724,2.37562816229061e-40,TRUE,2155,43,0.248554913294798,0.000492661473873533,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"AHC","AHC","HQ674182.1.1517",2,170,176.526451197216,3.24923355996979e-42,-0.00430074751228458,-0.00296879440916327,0.0286045243212142,5.41229475846397e-40,TRUE,1185,68,0.393063583815029,0.000259706821086035,"Bacteria","Proteobacteria","Gammaproteobacteria","E01-9C-26",NA,NA
"AHC","AHC","CETO01007979.484.1945",2,170,174.0470348688,7.30172564949301e-42,-0.00444966852290053,0.00430435156683693,0.0676345146681127,1.17431891135295e-39,TRUE,5345,83,0.479768786127168,0.00109832118540013,"Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Marine",NA
"AHC","AHC","KJ549334.1.915",2,170,172.781705651862,1.1070845397302e-41,-0.00656615413105689,-0.00608809630425987,0.0236997976282675,1.72114743110056e-39,TRUE,937,40,0.23121387283237,0.000201538948261249,"Archaea","Thaumarchaeota","Marine",NA,NA,NA
