"Intersection","size","methods"
"1",1972,"AHC + CLR pc = 0.01 + CLR pc = 0.5 + CLR pc = 1"
"2",1365,"AHC + CLR pc = 0.01 + CLR pc = 0.5 + CLR pc = 1 + LEfSe"
"3",137,"CLR pc = 0.01 + CLR pc = 0.5 + CLR pc = 1"
"4",68,"CLR pc = 0.5 + CLR pc = 1"
"5",68,"CLR pc = 0.01"
"6",63,"AHC + CLR pc = 0.5 + CLR pc = 1"
"7",26,"CLR pc = 1"
"8",25,"CLR pc = 0.01 + CLR pc = 0.5 + CLR pc = 1 + LEfSe"
"9",21,"AHC + CLR pc = 0.5 + CLR pc = 1 + LEfSe"
"10",20,"CLR pc = 0.01 + CLR pc = 0.5"
"11",18,"AHC"
"12",16,"AHC + CLR pc = 0.01 + CLR pc = 0.5"
"13",15,"AHC + CLR pc = 0.01"
"14",9,"LEfSe"
"15",8,"AHC + CLR pc = 1"
"16",7,"AHC + LEfSe"
"17",3,"CLR pc = 0.5 + CLR pc = 1 + LEfSe"
"18",2,"CLR pc = 0.5"
