"Intersection","size","methods"
"1",2931,"AHC + CLR pc = 0.01 + CLR pc = 0.5 + CLR pc = 1 + DESeq2"
"2",406,"AHC + CLR pc = 0.01 + CLR pc = 0.5 + CLR pc = 1"
"3",120,"CLR pc = 0.01 + CLR pc = 0.5 + CLR pc = 1"
"4",76,"DESeq2"
"5",60,"CLR pc = 0.5 + CLR pc = 1"
"6",56,"CLR pc = 0.01"
"7",49,"AHC + CLR pc = 0.5 + CLR pc = 1 + DESeq2"
"8",42,"CLR pc = 0.01 + CLR pc = 0.5 + CLR pc = 1 + DESeq2"
"9",35,"AHC + CLR pc = 0.5 + CLR pc = 1"
"10",23,"CLR pc = 1"
"11",19,"CLR pc = 0.01 + CLR pc = 0.5"
"12",19,"AHC + DESeq2"
"13",13,"CLR pc = 0.01 + DESeq2"
"14",11,"CLR pc = 0.5 + CLR pc = 1 + DESeq2"
"15",10,"AHC + CLR pc = 0.01 + CLR pc = 0.5 + DESeq2"
"16",8,"AHC + CLR pc = 1 + DESeq2"
"17",8,"AHC + CLR pc = 0.01 + DESeq2"
"18",7,"AHC + CLR pc = 0.01"
