"Current","CurrentType","Longitude","Latitude","PointOrder"
"Gulf Stream","Warm current",-81,25,1
"Gulf Stream","Warm current",-78,31,2
"Gulf Stream","Warm current",-73,35,3
"Gulf Stream","Warm current",-66,39,4
"Gulf Stream","Warm current",-59,42,5
"North Atlantic Current","Warm current",-59,42,1
"North Atlantic Current","Warm current",-47,46,2
"North Atlantic Current","Warm current",-34,51,3
"North Atlantic Current","Warm current",-20,55,4
"North Atlantic Current","Warm current",-12,58,5
"North Equatorial Current","Warm current",-18,16,1
"North Equatorial Current","Warm current",-40,16.5,2
"North Equatorial Current","Warm current",-62,17.5,3
"Labrador Current","Cold current",-56,62,1
"Labrador Current","Cold current",-54,56,2
"Labrador Current","Cold current",-52,50,3
"Labrador Current","Cold current",-49,44,4
"Canary Current","Cold current",-12,40,1
"Canary Current","Cold current",-15,32,2
"Canary Current","Cold current",-17,24,3
"Canary Current","Cold current",-16,15,4
