"Panel","PanelLabel","Taxon","Covariate","n","slope","std_error","statistic","p","r_squared","q","CovariateLabel","Significant"
"a","Arctic Ocean","Chloroplast (class)","Depth.nominal",36,-0.000760836138770626,0.000155093514154652,-4.9056605810863,2.27564429153105e-05,0.41445442404133,0.000108093103847725,"Depth (m)",TRUE
"a","Arctic Ocean","NS9 (family)","Depth.nominal",36,-0.000160676321694337,0.000111317836142099,-1.44340141043732,0.158058687261426,0.0577386607418108,0.187694691122944,"Depth (m)",FALSE
"a","Arctic Ocean","SAR11 (order)","Depth.nominal",36,0.00022671449334056,8.180389318567e-05,2.77143891948989,0.00898489029540662,0.184278135401139,0.0155193559647932,"Depth (m)",TRUE
"a","Arctic Ocean","Cryomorphaceae (family)","Depth.nominal",36,-0.000390559358871708,0.000105421800348162,-3.7047304976946,0.000748111252862654,0.287585541974655,0.00203058768634149,"Depth (m)",TRUE
"a","Arctic Ocean","NS5 (genus)","Depth.nominal",36,-0.000247979730300799,9.21977116244604e-05,-2.6896516836651,0.0110038810659402,0.175442268467963,0.0174228116877387,"Depth (m)",TRUE
"a","Arctic Ocean","OM182 (family)","Depth.nominal",36,-0.000150110165382747,8.12355337101523e-05,-1.84783872927257,0.0733407606523345,0.0912616029106223,0.0995338894567397,"Depth (m)",FALSE
"a","Arctic Ocean","Polaribacter (genus)","Depth.nominal",36,-0.000224399174409418,7.50965168190905e-05,-2.9881435772847,0.00518171938303007,0.207994633335914,0.0104774155745241,"Depth (m)",TRUE
"a","Arctic Ocean","Marinimicrobia (phylum)","Depth.nominal",36,0.000514017295000575,9.00626965141424e-05,5.70732739408773,2.06730434614805e-06,0.489286937186668,1.96393912884065e-05,"Depth (m)",TRUE
"a","Arctic Ocean","SAR92 (genus)","Depth.nominal",36,-0.000265025159418784,7.06900216891463e-05,-3.74911696284677,0.000660440663318065,0.292490296416643,0.00203058768634149,"Depth (m)",TRUE
"a","Arctic Ocean","AEGEAN-169 (genus)","Depth.nominal",36,5.24713239860247e-05,7.55756731929559e-05,0.694288542452776,0.492218398519999,0.0139793535413814,0.492218398519999,"Depth (m)",FALSE
"a","Arctic Ocean","Piscirickettsiaceae (family)","Depth.nominal",36,-0.000244633147678822,9.62554684170476e-05,-2.54149869822352,0.0157668209243708,0.159647574279517,0.0230438151971573,"Depth (m)",TRUE
"a","Arctic Ocean","Marine (family)","Depth.nominal",36,0.000453876384771367,7.66858423841666e-05,5.91864639756607,1.09829245548663e-06,0.507463201356965,1.96393912884065e-05,"Depth (m)",TRUE
"a","Arctic Ocean","Marinoscillum (genus)","Depth.nominal",36,-0.00012672475472943,7.48458754786542e-05,-1.6931427940284,0.0995730635466483,0.0777593327355399,0.126125880492421,"Depth (m)",FALSE
"a","Arctic Ocean","NS7 (family)","Depth.nominal",36,-0.000143865325484117,0.000113007302562071,-1.2730622023749,0.211632035824798,0.045498486714488,0.236529922392421,"Depth (m)",FALSE
"a","Arctic Ocean","SAR86 (family)","Depth.nominal",36,0.0003287425286475,6.02096134441543e-05,5.45996743447648,4.33808016360751e-06,0.467178546235926,2.74745077028476e-05,"Depth (m)",TRUE
"a","Arctic Ocean","Formosa (genus)","Depth.nominal",36,-0.000281046812383919,6.15424120407516e-05,-4.5667175377822,6.21697632833501e-05,0.380183094339241,0.00023624510047673,"Depth (m)",TRUE
"a","Arctic Ocean","NS11-12 (family)","Depth.nominal",36,-0.000263945199004091,7.94679363984935e-05,-3.32140497118904,0.00214858404520275,0.244976836153428,0.00510288710735652,"Depth (m)",TRUE
"a","Arctic Ocean","Flavobacteriaceae (family)","Depth.nominal",36,-0.000150710011748358,5.08467956059247e-05,-2.96400215495187,0.00551442924974951,0.205334705444107,0.0104774155745241,"Depth (m)",TRUE
"a","Arctic Ocean","Phaeocystis (family)","Depth.nominal",36,-6.91256905388774e-05,9.12882173981951e-05,-0.757224672679873,0.454131300615226,0.0165846975983952,0.479360817316072,"Depth (m)",FALSE
"a","Arctic Ocean","Chloroplast (class)","Temperature",38,-0.00863467051525853,0.0141760706514129,-0.609101825716277,0.546281884746086,0.0102005714096478,0.576630878343091,"Temperature (°C)",FALSE
"a","Arctic Ocean","NS9 (family)","Temperature",38,-0.0278769445159131,0.00719406360790958,-3.8749927767199,0.000433491588229321,0.294333069456762,0.00187064707851504,"Temperature (°C)",TRUE
"a","Arctic Ocean","SAR11 (order)","Temperature",38,0.0210131996012112,0.00531596333255371,3.95284886043726,0.000345883722574695,0.302663628897415,0.00187064707851504,"Temperature (°C)",TRUE
"a","Arctic Ocean","Cryomorphaceae (family)","Temperature",38,0.00561664066194429,0.00899574574621661,0.62436631941343,0.536324137837263,0.0107126981757598,0.576630878343091,"Temperature (°C)",FALSE
"a","Arctic Ocean","NS5 (genus)","Temperature",38,0.00577754912646406,0.00709032899929145,0.814849230133245,0.420516733607052,0.0181098528067028,0.532654529235599,"Temperature (°C)",FALSE
"a","Arctic Ocean","OM182 (family)","Temperature",38,-0.024376704941991,0.00440693685571224,-5.53143957812649,2.94009840515844e-06,0.459433679530739,5.58618696980103e-05,"Temperature (°C)",TRUE
"a","Arctic Ocean","Polaribacter (genus)","Temperature",38,-0.0181358017012052,0.00514155321260536,-3.52730020507078,0.00116647148659754,0.256840883963828,0.00369382637422553,"Temperature (°C)",TRUE
"a","Arctic Ocean","Marinimicrobia (phylum)","Temperature",38,0.0108678057331365,0.00864002497160851,1.2578442503174,0.216546133670184,0.0420990077796068,0.374034230884863,"Temperature (°C)",FALSE
"a","Arctic Ocean","SAR92 (genus)","Temperature",38,-0.0110282706825869,0.00571393049958986,-1.93006734740272,0.0615066118624276,0.0937733156705825,0.166946517912303,"Temperature (°C)",FALSE
"a","Arctic Ocean","AEGEAN-169 (genus)","Temperature",38,0.00253722477414942,0.00538140501428338,0.471479988481649,0.640142987307553,0.00613692173517168,0.640142987307553,"Temperature (°C)",FALSE
"a","Arctic Ocean","Piscirickettsiaceae (family)","Temperature",38,-0.0116804713223449,0.00754264315735879,-1.54859126683584,0.130227256213167,0.0624544634064568,0.27492420756113,"Temperature (°C)",FALSE
"a","Arctic Ocean","Marine (family)","Temperature",38,0.00809429023052848,0.00756932051969432,1.0693549321195,0.292027700962653,0.030786526741294,0.42982068758622,"Temperature (°C)",FALSE
"a","Arctic Ocean","Marinoscillum (genus)","Temperature",38,0.00940005808199176,0.00535917373327376,1.75401256795039,0.0879388197869094,0.078731599750796,0.20885469699391,"Temperature (°C)",FALSE
"a","Arctic Ocean","NS7 (family)","Temperature",38,0.0262280306121964,0.00684639458790188,3.83092593852878,0.000492275546977643,0.289604456063168,0.00187064707851504,"Temperature (°C)",TRUE
"a","Arctic Ocean","SAR86 (family)","Temperature",38,0.0060699065532789,0.0057008902268131,1.06472959691983,0.294087838874782,0.0305288906850969,0.42982068758622,"Temperature (°C)",FALSE
"a","Arctic Ocean","Formosa (genus)","Temperature",38,0.00374133981345318,0.00551570075581715,0.678307250353886,0.501914041814584,0.0126192938780345,0.576630878343091,"Temperature (°C)",FALSE
"a","Arctic Ocean","NS11-12 (family)","Temperature",38,-0.0236614270023268,0.00506281670091703,-4.67356975377779,4.0557219449407e-05,0.377617617589806,0.000385293584769366,"Temperature (°C)",TRUE
"a","Arctic Ocean","Flavobacteriaceae (family)","Temperature",38,-0.00422003507437985,0.00433950461170516,-0.97246931435375,0.33730629314441,0.0255969342907218,0.457772826410271,"Temperature (°C)",FALSE
"a","Arctic Ocean","Phaeocystis (family)","Temperature",38,-0.00834650130218972,0.00655560198302648,-1.27318609699005,0.211112386622438,0.0430877093991233,0.374034230884863,"Temperature (°C)",FALSE
"a","Arctic Ocean","Chloroplast (class)","Oxygen",38,0.00330256940257606,0.000626472090299819,5.27169438784656,6.53490503740625e-06,0.435654959590169,3.10407989276797e-05,"Oxygen (µmol kg-1)",TRUE
"a","Arctic Ocean","NS9 (family)","Oxygen",38,0.0010294532638866,0.000470930290608655,2.18599925385152,0.0354006396282382,0.117183855964829,0.0560510127447104,"Oxygen (µmol kg-1)",FALSE
"a","Arctic Ocean","SAR11 (order)","Oxygen",38,-0.00135761732586094,0.000295990739578408,-4.58668851530506,5.27313570528221e-05,0.36883863271748,0.00016698263066727,"Oxygen (µmol kg-1)",TRUE
"a","Arctic Ocean","Cryomorphaceae (family)","Oxygen",38,0.000895144590940904,0.000507866035805503,1.76256045459145,0.0864636423787834,0.0794397318725495,0.115875304882414,"Oxygen (µmol kg-1)",FALSE
"a","Arctic Ocean","NS5 (genus)","Oxygen",38,0.000192645629678738,0.000417543584274415,0.461378493010513,0.647302786799274,0.00587829998405612,0.683264052732567,"Oxygen (µmol kg-1)",FALSE
"a","Arctic Ocean","OM182 (family)","Oxygen",38,0.000996352000695398,0.000309006595106074,3.22437131270087,0.00268483525981668,0.224080579254316,0.00566798554850187,"Oxygen (µmol kg-1)",TRUE
"a","Arctic Ocean","Polaribacter (genus)","Oxygen",38,0.00121821997738515,0.000283935288793196,4.29048457683059,0.000128072792264493,0.338335734558791,0.000304172881628171,"Oxygen (µmol kg-1)",TRUE
"a","Arctic Ocean","Marinimicrobia (phylum)","Oxygen",38,-0.00207847124743406,0.00038331790624075,-5.42231712527575,4.11324889398257e-06,0.449554102950866,2.60505763285563e-05,"Oxygen (µmol kg-1)",TRUE
"a","Arctic Ocean","SAR92 (genus)","Oxygen",38,0.00124680139712167,0.000283235772346213,4.40199126965377,9.18392747220951e-05,0.3499168009034,0.000249278031388544,"Oxygen (µmol kg-1)",TRUE
"a","Arctic Ocean","AEGEAN-169 (genus)","Oxygen",38,-0.000267170806263556,0.000312767895694124,-0.854214290986053,0.398635043752184,0.0198662774655564,0.445533284193617,"Oxygen (µmol kg-1)",FALSE
"a","Arctic Ocean","Piscirickettsiaceae (family)","Oxygen",38,0.00111595671438193,0.000416240519790661,2.68103815299668,0.011004783059336,0.166434456489304,0.0209090878127385,"Oxygen (µmol kg-1)",TRUE
"a","Arctic Ocean","Marine (family)","Oxygen",38,-0.00196101430032206,0.000309291783570659,-6.3403375210388,2.44447832301573e-07,0.527558310375739,4.64450881372989e-06,"Oxygen (µmol kg-1)",TRUE
"a","Arctic Ocean","Marinoscillum (genus)","Oxygen",38,-1.02070132380173e-05,0.000326772849569643,-0.0312358057025236,0.97525402044632,2.7101364326308e-05,0.97525402044632,"Oxygen (µmol kg-1)",FALSE
"a","Arctic Ocean","NS7 (family)","Oxygen",38,-0.00043018551081857,0.000469962063728209,-0.915362204782889,0.366092511787782,0.0227452770017538,0.434734857747991,"Oxygen (µmol kg-1)",FALSE
"a","Arctic Ocean","SAR86 (family)","Oxygen",38,-0.0012982407156721,0.000260786706536325,-4.97817060123525,1.60600575021e-05,0.407721169287258,6.10282185079798e-05,"Oxygen (µmol kg-1)",TRUE
"a","Arctic Ocean","Formosa (genus)","Oxygen",38,0.000746397484233481,0.000300105405695226,2.4871177595231,0.0176494406394549,0.146631363749016,0.0304853974681495,"Oxygen (µmol kg-1)",TRUE
"a","Arctic Ocean","NS11-12 (family)","Oxygen",38,0.00151511032950311,0.000278029006913894,5.44946855121609,3.78365859047259e-06,0.452027333255629,2.60505763285563e-05,"Oxygen (µmol kg-1)",TRUE
"a","Arctic Ocean","Flavobacteriaceae (family)","Oxygen",38,0.000491343430378484,0.000243906872976496,2.01447144306521,0.0514774293240775,0.101305246172547,0.0752362428582671,"Oxygen (µmol kg-1)",FALSE
"a","Arctic Ocean","Phaeocystis (family)","Oxygen",38,0.000653352405078792,0.000376795314399412,1.7339716819998,0.0914805038545374,0.0770806309491468,0.115875304882414,"Oxygen (µmol kg-1)",FALSE
"a","Arctic Ocean","Chloroplast (class)","ChlorophyllA",38,0.16307069050397,0.054206084801353,3.00834659248255,0.00477163558228691,0.200890549245569,0.0129515822947787,"Chlorophyll a (mg m-3)",TRUE
"a","Arctic Ocean","NS9 (family)","ChlorophyllA",38,0.0709771916968076,0.0344716481929587,2.05900197459388,0.0467845749703371,0.105356435255418,0.0810124241616716,"Chlorophyll a (mg m-3)",FALSE
"a","Arctic Ocean","SAR11 (order)","ChlorophyllA",38,-0.0748281973143465,0.0240495729998748,-3.11141479787338,0.00363455764736155,0.211924493851076,0.0115094325499783,"Chlorophyll a (mg m-3)",TRUE
"a","Arctic Ocean","Cryomorphaceae (family)","ChlorophyllA",38,0.0453637618117137,0.0377392824689795,1.20203032076726,0.237199289743286,0.038586771061086,0.300452433674828,"Chlorophyll a (mg m-3)",FALSE
"a","Arctic Ocean","NS5 (genus)","ChlorophyllA",38,0.000168994256800651,0.0304507075039565,0.00554976454253792,0.995602591802509,8.55551670186697e-07,0.995602591802509,"Chlorophyll a (mg m-3)",FALSE
"a","Arctic Ocean","OM182 (family)","ChlorophyllA",38,0.0232198873354894,0.0252126358898834,0.920962307824644,0.363200868540861,0.0230180097475506,0.431301031392272,"Chlorophyll a (mg m-3)",FALSE
"a","Arctic Ocean","Polaribacter (genus)","ChlorophyllA",38,0.0669974730342273,0.0227932422492107,2.93935686295562,0.00571198027377752,0.193545113002018,0.0135659531502216,"Chlorophyll a (mg m-3)",TRUE
"a","Arctic Ocean","Marinimicrobia (phylum)","ChlorophyllA",38,-0.114860487770285,0.0323245945473478,-3.55334658883477,0.00108433828081226,0.259659469380611,0.0102978904833144,"Chlorophyll a (mg m-3)",TRUE
"a","Arctic Ocean","SAR92 (genus)","ChlorophyllA",38,0.0569382028995184,0.0237152326686158,2.40091268321686,0.0216452725507399,0.13802147849625,0.0456955753848953,"Chlorophyll a (mg m-3)",TRUE
"a","Arctic Ocean","AEGEAN-169 (genus)","ChlorophyllA",38,-0.0404438065762614,0.0219605890133748,-1.84165399897196,0.0737766435251454,0.0861016498433855,0.116813018914814,"Chlorophyll a (mg m-3)",FALSE
"a","Arctic Ocean","Piscirickettsiaceae (family)","ChlorophyllA",38,0.103305004318129,0.0283286598135677,3.64666048439934,0.000833435033589392,0.269749216922921,0.0102978904833144,"Chlorophyll a (mg m-3)",TRUE
"a","Arctic Ocean","Marine (family)","ChlorophyllA",38,-0.0962963342028132,0.0285131256871793,-3.37726334388208,0.00176928479621678,0.240600976729956,0.0102978904833144,"Chlorophyll a (mg m-3)",TRUE
"a","Arctic Ocean","Marinoscillum (genus)","ChlorophyllA",38,-0.00226980281685854,0.0237581345153414,-0.0955379226173188,0.92441741122296,0.000253477251271553,0.97577393406868,"Chlorophyll a (mg m-3)",FALSE
"a","Arctic Ocean","NS7 (family)","ChlorophyllA",38,0.00651148482326597,0.0345509759155446,0.188460228711989,0.851574270825206,0.000985618093173944,0.951759479157583,"Chlorophyll a (mg m-3)",FALSE
"a","Arctic Ocean","SAR86 (family)","ChlorophyllA",38,-0.0699246640761906,0.0217095234817195,-3.2209211839712,0.00270997117981958,0.223708515919845,0.0102978904833144,"Chlorophyll a (mg m-3)",TRUE
"a","Arctic Ocean","Formosa (genus)","ChlorophyllA",38,0.0459815674289707,0.0223445604155651,2.05784166588215,0.0469019297778099,0.105250219958498,0.0810124241616716,"Chlorophyll a (mg m-3)",FALSE
"a","Arctic Ocean","NS11-12 (family)","ChlorophyllA",38,0.0422675357817988,0.0263860816152499,1.60188755564866,0.117920149719681,0.0665363488715312,0.162090649150762,"Chlorophyll a (mg m-3)",FALSE
"a","Arctic Ocean","Flavobacteriaceae (family)","ChlorophyllA",38,0.0288396130894306,0.0180802568081177,1.5950886868201,0.119435215163719,0.0660099520837181,0.162090649150762,"Chlorophyll a (mg m-3)",FALSE
"a","Arctic Ocean","Phaeocystis (family)","ChlorophyllA",38,0.0816381714929057,0.0250642866043595,3.25715121206387,0.0024568368553106,0.227617547578765,0.0102978904833144,"Chlorophyll a (mg m-3)",TRUE
"a","Arctic Ocean","Chloroplast (class)","PO4",28,-0.0786918977728551,0.0968255671662085,-0.812718170168572,0.423759334568881,0.024774875038198,0.741715051004454,"Phosphate (µmol l-1)",FALSE
"a","Arctic Ocean","NS9 (family)","PO4",28,-0.0334001945380917,0.0759256078330317,-0.439906844230239,0.663639782477669,0.00738801223139029,0.741715051004454,"Phosphate (µmol l-1)",FALSE
"a","Arctic Ocean","SAR11 (order)","PO4",28,0.0189408289195835,0.0558226194405501,0.339303836140386,0.737106293937354,0.0044084446845167,0.750096584572891,"Phosphate (µmol l-1)",FALSE
"a","Arctic Ocean","Cryomorphaceae (family)","PO4",28,-0.107027567512154,0.0682916671334799,-1.56721269233276,0.129156440406508,0.086313683954656,0.429515336104912,"Phosphate (µmol l-1)",FALSE
"a","Arctic Ocean","NS5 (genus)","PO4",28,-0.0742417222272416,0.0609479119640947,-1.2181175668656,0.234118262758987,0.0539885257811443,0.556030874052594,"Phosphate (µmol l-1)",FALSE
"a","Arctic Ocean","OM182 (family)","PO4",28,0.0375393927433721,0.0526855158812883,0.712518272155792,0.482489747691703,0.0191522699961859,0.741715051004454,"Phosphate (µmol l-1)",FALSE
"a","Arctic Ocean","Polaribacter (genus)","PO4",28,-0.0640327095646143,0.0459721440085086,-1.39285889195777,0.175459195433128,0.0694363640624793,0.476246387604204,"Phosphate (µmol l-1)",FALSE
"a","Arctic Ocean","Marinimicrobia (phylum)","PO4",28,0.0286542172312413,0.0624623598741943,0.458743750459539,0.650230092489806,0.00802908237280598,0.741715051004454,"Phosphate (µmol l-1)",FALSE
"a","Arctic Ocean","SAR92 (genus)","PO4",28,-0.0710500375121004,0.0457271366979765,-1.55378277851463,0.132325518761863,0.084965877827505,0.429515336104912,"Phosphate (µmol l-1)",FALSE
"a","Arctic Ocean","AEGEAN-169 (genus)","PO4",28,0.0144634420586784,0.0449304082269357,0.321907648504462,0.750096584572891,0.00396973738378912,0.750096584572891,"Phosphate (µmol l-1)",FALSE
"a","Arctic Ocean","Piscirickettsiaceae (family)","PO4",28,-0.180694785217256,0.0577352828806995,-3.12971161136651,0.00428590785376487,0.273643493142626,0.0814322492215325,"Phosphate (µmol l-1)",FALSE
"a","Arctic Ocean","Marine (family)","PO4",28,0.0768509106624132,0.0499021979470617,1.54003057628724,0.135636421927867,0.0835936747800641,0.429515336104912,"Phosphate (µmol l-1)",FALSE
"a","Arctic Ocean","Marinoscillum (genus)","PO4",28,-0.0879413297619632,0.0467187021405253,-1.88235815064905,0.0710249610633734,0.119934995096366,0.429515336104912,"Phosphate (µmol l-1)",FALSE
"a","Arctic Ocean","NS7 (family)","PO4",28,0.0506795231625342,0.0734703355742366,0.689795721857376,0.496433922731987,0.0179718011135504,0.741715051004454,"Phosphate (µmol l-1)",FALSE
"a","Arctic Ocean","SAR86 (family)","PO4",28,0.023128260839987,0.0401334495123804,0.576283900860613,0.569378961560774,0.0126121006247078,0.741715051004454,"Phosphate (µmol l-1)",FALSE
"a","Arctic Ocean","Formosa (genus)","PO4",28,-0.0372661370306297,0.0423896768240446,-0.87913236954643,0.387382574893402,0.0288677910027656,0.741715051004454,"Phosphate (µmol l-1)",FALSE
"a","Arctic Ocean","NS11-12 (family)","PO4",28,-0.0281047717972394,0.0522507393081118,-0.537882758586656,0.595232731532846,0.0110051490686699,0.741715051004454,"Phosphate (µmol l-1)",FALSE
"a","Arctic Ocean","Flavobacteriaceae (family)","PO4",28,-0.087496433846374,0.0327211969561983,-2.67399856929133,0.0127824017841187,0.215692623461978,0.121432816949127,"Phosphate (µmol l-1)",FALSE
"a","Arctic Ocean","Phaeocystis (family)","PO4",28,-0.0269624518653629,0.0558852779479444,-0.482460727679975,0.633515814593143,0.00887319060705179,0.741715051004454,"Phosphate (µmol l-1)",FALSE
"a","Arctic Ocean","Chloroplast (class)","NO3",28,-0.0182701766060404,0.00460680748881643,-3.96590841931063,0.000510941010890764,0.376923592494669,0.00161797986782075,"Nitrate (µmol l-1)",TRUE
"a","Arctic Ocean","NS9 (family)","NO3",28,-0.00153992717919189,0.00419645078220564,-0.366959428124762,0.71661908178454,0.00515251493223471,0.756431252994792,"Nitrate (µmol l-1)",FALSE
"a","Arctic Ocean","SAR11 (order)","NO3",28,0.00748089518072931,0.00306894028002742,2.43761510428038,0.0219305361388153,0.186023838883681,0.0297628704741064,"Nitrate (µmol l-1)",TRUE
