"Panel","PanelLabel","SampleID","SamplePlotID","SampleIndex","Alpha","Gamma","Beta","Turnover","RegionShort","Ocean.region","Layer","Depth.nominal","Temperature","Oxygen","ChlorophyllA","PO4","NO3"
"a","Arctic Ocean","TARA_B110000263","S1",1,0.410326599068478,0.379148616749428,0.109210045195111,-0.0311779823190492,"Arctic Ocean","[AO] Arctic Ocean (MRGID:1906)","MES",299,1.59404,293.889,0,NA,NA
"a","Arctic Ocean","TARA_B110000116","S2",2,0.395626861150247,0.379148616749428,0.109210045195111,-0.0164782444008184,"Arctic Ocean","[AO] Arctic Ocean (MRGID:1906)","MIX",199,1.47689,296.228,0.008083,0.730535,11.691602
"a","Arctic Ocean","TARA_B110000196","S3",3,0.393123814798589,0.379148616749428,0.109210045195111,-0.0139751980491606,"Arctic Ocean","[AO] Arctic Ocean (MRGID:1906)","MES",499,0.099535,315.37205,0,NA,13.010683
"a","Arctic Ocean","TARA_B110000495","S4",4,0.385867118233798,0.379148616749428,0.109210045195111,-0.00671850148436937,"Arctic Ocean","[AO] Arctic Ocean (MRGID:1906)","MES",411,3.03554,230.0861,0,NA,13.409788
"a","Arctic Ocean","TARA_B110000438","S5",5,0.38351549248249,0.379148616749428,0.109210045195111,-0.00436687573306194,"Arctic Ocean","[AO] Arctic Ocean (MRGID:1906)","MES",391,4.791395,271.8744,0,0.851461,16.017641
"a","Arctic Ocean","TARA_B110001454","S6",6,0.380217395495195,0.379148616749428,0.109210045195111,-0.00106877874576672,"Arctic Ocean","[AO] Arctic Ocean (MRGID:1906)","MES",651,0.22498,295.31095,0,NA,14.950381
"a","Arctic Ocean","TARA_B110000467","S7",7,0.375772506560835,0.379148616749428,0.109210045195111,0.00337611018859352,"Arctic Ocean","[AO] Arctic Ocean (MRGID:1906)","MES",351,4.20173,273.02835,0,NA,10.622333
"a","Arctic Ocean","TARA_B110000914","S8",8,0.368288895883471,0.379148616749428,0.109210045195111,0.0108597208659575,"Arctic Ocean","[AO] Arctic Ocean (MRGID:1906)","MES",441,0.994025,233.314,0,NA,10.238791
"a","Arctic Ocean","TARA_B110000881","S9",9,0.368188171142746,0.379148616749428,0.109210045195111,0.0109604456066826,"Arctic Ocean","[AO] Arctic Ocean (MRGID:1906)","MES",491,1.230869,227.316,0,NA,22.810319
"a","Arctic Ocean","TARA_B110000285","S10",10,0.355604358912134,0.379148616749428,0.109210045195111,0.023544257837294,"Arctic Ocean","[AO] Arctic Ocean (MRGID:1906)","SRF",5,1.48885,340.44375,0.431723,1.195806,NA
"a","Arctic Ocean","TARA_B110000444","S11",11,0.318634470792895,0.379148616749428,0.109210045195111,0.0605141459565337,"Arctic Ocean","[AO] Arctic Ocean (MRGID:1906)","SRF",5,5.295265,293.84675,0.613636,0.511975,8.286479
"a","Arctic Ocean","TARA_B110000305","S12",12,0.293181365927729,0.379148616749428,0.109210045195111,0.0859672508216998,"Arctic Ocean","[AO] Arctic Ocean (MRGID:1906)","SRF",5,2.5694,336.04075,0.485962,0.430504,1.604622
"a","Arctic Ocean","TARA_B110000459","S13",13,0.289223762682457,0.379148616749428,0.109210045195111,0.0899248540669714,"Arctic Ocean","[AO] Arctic Ocean (MRGID:1906)","SRF",5,2.496125,323.901563,0.825917,NA,6.131005
"a","Arctic Ocean","TARA_B110000211","S14",14,0.287583864396014,0.379148616749428,0.109210045195111,0.0915647523534139,"Arctic Ocean","[AO] Arctic Ocean (MRGID:1906)","DCM",30,-1.533492,356.223917,0.509085,0.482771,NA
"a","Arctic Ocean","TARA_B110000908","S15",15,0.269262648772522,0.379148616749428,0.109210045195111,0.109885967976906,"Arctic Ocean","[AO] Arctic Ocean (MRGID:1906)","DCM",36,-0.409335,343.877833,0.879487,0.6443,5.355932
"a","Arctic Ocean","TARA_B110000037","S16",16,0.264395339123701,0.379148616749428,0.109210045195111,0.114753277625728,"Arctic Ocean","[AO] Arctic Ocean (MRGID:1906)","MIX",NA,3.1072,303.31905,0.321278,0.098435,0
"a","Arctic Ocean","TARA_B110000091","S17",17,0.261912672933521,0.379148616749428,0.109210045195111,0.117235943815907,"Arctic Ocean","[AO] Arctic Ocean (MRGID:1906)","DCM",35,-1.29785,348.000625,2.003142,0.209065,4.427788
"a","Arctic Ocean","TARA_B110000967","S18",18,0.259677861463925,0.379148616749428,0.109210045195111,0.119470755285503,"Arctic Ocean","[AO] Arctic Ocean (MRGID:1906)","DCM",35,-0.987833,396.848083,0.544297,0.866194,0
"a","Arctic Ocean","TARA_B110000483","S19",19,0.257818134931779,0.379148616749428,0.109210045195111,0.121330481817649,"Arctic Ocean","[AO] Arctic Ocean (MRGID:1906)","SRF",5,1.445315,328.54665,0.771475,0.220883,3.615087
"a","Arctic Ocean","TARA_B110000093","S20",20,0.247078336290335,0.379148616749428,0.109210045195111,0.132070280459093,"Arctic Ocean","[AO] Arctic Ocean (MRGID:1906)","MIX",NA,1.025705,314.71675,0.514823,0.35669,NA
"a","Arctic Ocean","TARA_B110000971","S21",21,0.242181951627112,0.379148616749428,0.109210045195111,0.136966665122316,"Arctic Ocean","[AO] Arctic Ocean (MRGID:1906)","SRF",5,-0.585333,368.662625,0.404899,0.361653,0
"a","Arctic Ocean","TARA_B110000977","S22",22,0.239226025228097,0.379148616749428,0.109210045195111,0.139922591521331,"Arctic Ocean","[AO] Arctic Ocean (MRGID:1906)","SRF",5,2.4534,339.4475,0.58652,1.614977,0
"a","Arctic Ocean","TARA_B110000240","S23",23,0.232737743709131,0.379148616749428,0.109210045195111,0.146410873040298,"Arctic Ocean","[AO] Arctic Ocean (MRGID:1906)","DCM",17,-1.647244,373.061,1.375654,0.307592,NA
"a","Arctic Ocean","TARA_B110000902","S24",24,0.229873832219579,0.379148616749428,0.109210045195111,0.149274784529849,"Arctic Ocean","[AO] Arctic Ocean (MRGID:1906)","SRF",5,-1.32986,368.52475,0.79676,0.526245,3.75923
"a","Arctic Ocean","TARA_B110000046","S25",25,0.229004914323172,0.379148616749428,0.109210045195111,0.150143702426256,"Arctic Ocean","[AO] Arctic Ocean (MRGID:1906)","DCM",40,3.824545,326.3609,1.1063,0.098435,0
"a","Arctic Ocean","TARA_B110000879","S26",26,0.228973695104692,0.379148616749428,0.109210045195111,0.150174921644737,"Arctic Ocean","[AO] Arctic Ocean (MRGID:1906)","SRF",5,-0.479225,353.1935,1.1319,0.560568,3.880872
"a","Arctic Ocean","TARA_B110001450","S27",27,0.214965743562611,0.379148616749428,0.109210045195111,0.164182873186817,"Arctic Ocean","[AO] Arctic Ocean (MRGID:1906)","SRF",5,8.47447,311.7827,1.174328,0.356899,5.218798
"a","Arctic Ocean","TARA_B110000503","S28",28,0.210722248287185,0.379148616749428,0.109210045195111,0.168426368462243,"Arctic Ocean","[AO] Arctic Ocean (MRGID:1906)","SRF",5,2.507887,357.164917,0.547446,0.238302,NA
"a","Arctic Ocean","TARA_B110000259","S29",29,0.205254910811902,0.379148616749428,0.109210045195111,0.173893705937526,"Arctic Ocean","[AO] Arctic Ocean (MRGID:1906)","SRF",5,0.10149,363.6485,0.815481,NA,NA
"a","Arctic Ocean","TARA_B110000090","S30",30,0.203384948929846,0.379148616749428,0.109210045195111,0.175763667819582,"Arctic Ocean","[AO] Arctic Ocean (MRGID:1906)","SRF",5,-0.160312,385.28075,0.417069,0.056871,2.099614
"a","Arctic Ocean","TARA_B110001469","S31",31,0.201954211150147,0.379148616749428,0.109210045195111,0.177194405599281,"Arctic Ocean","[AO] Arctic Ocean (MRGID:1906)","SRF",5,1.899612,363.000813,2.780097,0.290483,4.980653
"a","Arctic Ocean","TARA_B110001452","S32",32,0.193817966262532,0.379148616749428,0.109210045195111,0.185330650486897,"Arctic Ocean","[AO] Arctic Ocean (MRGID:1906)","DCM",25,6.73489,304.0473,0.764172,0.709183,8.063879
"a","Arctic Ocean","TARA_B110000261","S33",33,0.192324352878048,0.379148616749428,0.109210045195111,0.186824263871381,"Arctic Ocean","[AO] Arctic Ocean (MRGID:1906)","DCM",20,-0.607125,371.05845,0.892787,NA,NA
"a","Arctic Ocean","TARA_B110000858","S34",34,0.184501965326107,0.379148616749428,0.109210045195111,0.194646651423321,"Arctic Ocean","[AO] Arctic Ocean (MRGID:1906)","SRF",5,3.1965,303.326,0.39292,0.312072,1.791002
