"k","signal_mode","beta","signal_cluster","cluster_n_otus_template","cluster_ordered"
2,"abundance",0.05,1,308,1
2,"abundance",0.1,1,308,1
2,"abundance",0.15,1,308,1
2,"abundance",0.2,1,308,1
2,"abundance",0.25,1,308,1
2,"abundance",0.3,1,308,1
2,"abundance",0.35,1,308,1
2,"abundance",0.4,1,308,1
2,"abundance",0.45,1,308,1
2,"abundance",0.5,1,308,1
2,"abundance",0.55,1,308,1
2,"abundance",0.6,1,308,1
2,"abundance",0.65,1,308,1
2,"abundance",0.7,1,308,1
2,"abundance",0.75,1,308,1
2,"abundance",0.8,1,308,1
2,"abundance",0.85,1,308,1
2,"abundance",0.9,1,308,1
2,"abundance",0.95,1,308,1
2,"abundance",1,1,308,1
2,"both",0.05,1,308,1
2,"both",0.1,1,308,1
2,"both",0.15,1,308,1
2,"both",0.2,1,308,1
2,"both",0.25,1,308,1
2,"both",0.3,1,308,1
2,"both",0.35,1,308,1
2,"both",0.4,1,308,1
2,"both",0.45,1,308,1
2,"both",0.5,1,308,1
2,"both",0.55,1,308,1
2,"both",0.6,1,308,1
2,"both",0.65,1,308,1
2,"both",0.7,1,308,1
2,"both",0.75,1,308,1
2,"both",0.8,1,308,1
2,"both",0.85,1,308,1
2,"both",0.9,1,308,1
2,"both",0.95,1,308,1
2,"both",1,1,308,1
2,"prevalence",0.05,1,308,1
2,"prevalence",0.1,1,308,1
2,"prevalence",0.15,1,308,1
2,"prevalence",0.2,1,308,1
2,"prevalence",0.25,1,308,1
2,"prevalence",0.3,1,308,1
2,"prevalence",0.35,1,308,1
2,"prevalence",0.4,1,308,1
2,"prevalence",0.45,1,308,1
2,"prevalence",0.5,1,308,1
2,"prevalence",0.55,1,308,1
2,"prevalence",0.6,1,308,1
2,"prevalence",0.65,1,308,1
2,"prevalence",0.7,1,308,1
2,"prevalence",0.75,1,308,1
2,"prevalence",0.8,1,308,1
2,"prevalence",0.85,1,308,1
2,"prevalence",0.9,1,308,1
2,"prevalence",0.95,1,308,1
2,"prevalence",1,1,308,1
4,"abundance",0.05,2,154,1
4,"abundance",0.1,2,154,1
4,"abundance",0.15,2,154,1
4,"abundance",0.2,2,154,1
4,"abundance",0.25,2,154,1
4,"abundance",0.3,2,154,1
4,"abundance",0.35,2,154,1
4,"abundance",0.4,2,154,1
4,"abundance",0.45,2,154,1
4,"abundance",0.5,2,154,1
4,"abundance",0.55,2,154,1
4,"abundance",0.6,2,154,1
4,"abundance",0.65,2,154,1
4,"abundance",0.7,2,154,1
4,"abundance",0.75,2,154,1
4,"abundance",0.8,2,154,1
4,"abundance",0.85,2,154,1
4,"abundance",0.9,2,154,1
4,"abundance",0.95,2,154,1
4,"abundance",1,2,154,1
4,"both",0.05,2,154,1
4,"both",0.1,2,154,1
4,"both",0.15,2,154,1
4,"both",0.2,2,154,1
4,"both",0.25,2,154,1
4,"both",0.3,2,154,1
4,"both",0.35,2,154,1
4,"both",0.4,2,154,1
4,"both",0.45,2,154,1
4,"both",0.5,2,154,1
4,"both",0.55,2,154,1
4,"both",0.6,2,154,1
4,"both",0.65,2,154,1
4,"both",0.7,2,154,1
4,"both",0.75,2,154,1
4,"both",0.8,2,154,1
4,"both",0.85,2,154,1
4,"both",0.9,2,154,1
4,"both",0.95,2,154,1
4,"both",1,2,154,1
4,"prevalence",0.05,2,154,1
