"k","signal_mode","AHC","Aitchison(0.5)","Aitchison(1)","Aitchison(0.1)","Aitchison(0.01)","ILR Euclidean(0.01)","ILR Euclidean(0.1)","ILR Euclidean(0.5)","ILR Euclidean(1)","Bray-Curtis","Euclidean","Jaccard"
2,"abundance",0.0351,0.0604,0.0655,0.0553,0.0403,0.0503,0.0604,0.0604,0.0604,0.0549,0.0297,0.0501
2,"both",0.04,0.0449,0.0449,0.0451,0.0549,0.05,0.0449,0.05,0.0399,0.0649,0.0447,0.0349
2,"prevalence",0.0299,0.0399,0.0299,0.04,0.05,0.05,0.05,0.0349,0.0348,0.0249,0.0301,0.0651
4,"abundance",0.0382,0.0391,0.041,0.0338,0.0418,0.0399,0.0391,0.041,0.0449,0.0403,0.0289,0.0472
4,"both",0.0507,0.0652,0.0698,0.0585,0.0566,0.0585,0.0599,0.0651,0.0658,0.0524,0.0469,0.0396
4,"prevalence",0.0541,0.059,0.0571,0.0576,0.0544,0.0544,0.0597,0.0612,0.0536,0.0749,0.0561,0.0495
6,"abundance",0.0576,0.0567,0.0566,0.0574,0.0511,0.0508,0.0547,0.0561,0.0547,0.0461,0.0436,0.0489
6,"both",0.0453,0.0341,0.0332,0.0366,0.0334,0.0334,0.0384,0.0349,0.0332,0.0474,0.051,0.0434
6,"prevalence",0.0681,0.0603,0.0575,0.0604,0.0612,0.0584,0.0554,0.0553,0.0569,0.0602,0.0516,0.0645
8,"abundance",0.0426,0.0436,0.0388,0.0426,0.0403,0.0408,0.0445,0.0418,0.0389,0.0484,0.0527,0.0338
8,"both",0.0457,0.057,0.0569,0.0607,0.0523,0.0458,0.0529,0.0496,0.057,0.0249,0.0468,0.0503
8,"prevalence",0.0493,0.0443,0.0409,0.0488,0.0538,0.049,0.0475,0.047,0.0399,0.0442,0.0429,0.0661
