"k","signal_mode","method","way","type1_error","n_nonmissing","total_weight","signal_cluster","cluster_n_otus_template","method_label"
2,"abundance","AHC_euclidean","abund_sum",0.0351,200,87471.7473,NA,NA,"AHC"
2,"abundance","aitchison","abund_sum",0.0604,200,87471.7473,NA,NA,"Aitchison(0.5)"
2,"abundance","aitchison_pc1","abund_sum",0.0655,200,87471.7473,NA,NA,"Aitchison(1)"
2,"abundance","aitchison_pc0.1","abund_sum",0.0553,200,87471.7473,NA,NA,"Aitchison(0.1)"
2,"abundance","aitchison_pc0.01","abund_sum",0.0403,200,87471.7473,NA,NA,"Aitchison(0.01)"
2,"abundance","ILR_euclidean_pc0.01","abund_sum",0.0503,200,87471.7473,NA,NA,"ILR Euclidean(0.01)"
2,"abundance","ILR_euclidean_pc0.1","abund_sum",0.0604,200,87471.7473,NA,NA,"ILR Euclidean(0.1)"
2,"abundance","ILR_euclidean_pc0.5","abund_sum",0.0604,200,87471.7473,NA,NA,"ILR Euclidean(0.5)"
2,"abundance","ILR_euclidean_pc1","abund_sum",0.0604,200,87471.7473,NA,NA,"ILR Euclidean(1)"
2,"abundance","bray","abund_sum",0.0549,200,87471.7473,NA,NA,"Bray-Curtis"
2,"abundance","euclidean","abund_sum",0.0297,200,87471.7473,NA,NA,"Euclidean"
2,"abundance","jaccard","abund_sum",0.0501,200,87471.7473,NA,NA,"Jaccard"
2,"both","AHC_euclidean","abund_sum",0.04,200,87471.7473,NA,NA,"AHC"
2,"both","aitchison","abund_sum",0.0449,200,87471.7473,NA,NA,"Aitchison(0.5)"
2,"both","aitchison_pc1","abund_sum",0.0449,200,87471.7473,NA,NA,"Aitchison(1)"
2,"both","aitchison_pc0.1","abund_sum",0.0451,200,87471.7473,NA,NA,"Aitchison(0.1)"
2,"both","aitchison_pc0.01","abund_sum",0.0549,200,87471.7473,NA,NA,"Aitchison(0.01)"
2,"both","ILR_euclidean_pc0.01","abund_sum",0.05,200,87471.7473,NA,NA,"ILR Euclidean(0.01)"
2,"both","ILR_euclidean_pc0.1","abund_sum",0.0449,200,87471.7473,NA,NA,"ILR Euclidean(0.1)"
2,"both","ILR_euclidean_pc0.5","abund_sum",0.05,200,87471.7473,NA,NA,"ILR Euclidean(0.5)"
2,"both","ILR_euclidean_pc1","abund_sum",0.0399,200,87471.7473,NA,NA,"ILR Euclidean(1)"
2,"both","bray","abund_sum",0.0649,200,87471.7473,NA,NA,"Bray-Curtis"
2,"both","euclidean","abund_sum",0.0447,200,87471.7473,NA,NA,"Euclidean"
2,"both","jaccard","abund_sum",0.0349,200,87471.7473,NA,NA,"Jaccard"
2,"prevalence","AHC_euclidean","abund_sum",0.0299,200,87471.7473,NA,NA,"AHC"
2,"prevalence","aitchison","abund_sum",0.0399,200,87471.7473,NA,NA,"Aitchison(0.5)"
2,"prevalence","aitchison_pc1","abund_sum",0.0299,200,87471.7473,NA,NA,"Aitchison(1)"
2,"prevalence","aitchison_pc0.1","abund_sum",0.04,200,87471.7473,NA,NA,"Aitchison(0.1)"
2,"prevalence","aitchison_pc0.01","abund_sum",0.05,200,87471.7473,NA,NA,"Aitchison(0.01)"
2,"prevalence","ILR_euclidean_pc0.01","abund_sum",0.05,200,87471.7473,NA,NA,"ILR Euclidean(0.01)"
2,"prevalence","ILR_euclidean_pc0.1","abund_sum",0.05,200,87471.7473,NA,NA,"ILR Euclidean(0.1)"
2,"prevalence","ILR_euclidean_pc0.5","abund_sum",0.0349,200,87471.7473,NA,NA,"ILR Euclidean(0.5)"
2,"prevalence","ILR_euclidean_pc1","abund_sum",0.0348,200,87471.7473,NA,NA,"ILR Euclidean(1)"
2,"prevalence","bray","abund_sum",0.0249,200,87471.7473,NA,NA,"Bray-Curtis"
2,"prevalence","euclidean","abund_sum",0.0301,200,87471.7473,NA,NA,"Euclidean"
2,"prevalence","jaccard","abund_sum",0.0651,200,87471.7473,NA,NA,"Jaccard"
4,"abundance","AHC_euclidean","abund_sum",0.0382,400,87471.7473,NA,NA,"AHC"
4,"abundance","aitchison","abund_sum",0.0391,400,87471.7473,NA,NA,"Aitchison(0.5)"
4,"abundance","aitchison_pc1","abund_sum",0.041,400,87471.7473,NA,NA,"Aitchison(1)"
4,"abundance","aitchison_pc0.1","abund_sum",0.0338,400,87471.7473,NA,NA,"Aitchison(0.1)"
4,"abundance","aitchison_pc0.01","abund_sum",0.0418,400,87471.7473,NA,NA,"Aitchison(0.01)"
4,"abundance","ILR_euclidean_pc0.01","abund_sum",0.0399,400,87471.7473,NA,NA,"ILR Euclidean(0.01)"
4,"abundance","ILR_euclidean_pc0.1","abund_sum",0.0391,400,87471.7473,NA,NA,"ILR Euclidean(0.1)"
4,"abundance","ILR_euclidean_pc0.5","abund_sum",0.041,400,87471.7473,NA,NA,"ILR Euclidean(0.5)"
4,"abundance","ILR_euclidean_pc1","abund_sum",0.0449,400,87471.7473,NA,NA,"ILR Euclidean(1)"
4,"abundance","bray","abund_sum",0.0403,400,87471.7473,NA,NA,"Bray-Curtis"
4,"abundance","euclidean","abund_sum",0.0289,400,87471.7473,NA,NA,"Euclidean"
4,"abundance","jaccard","abund_sum",0.0472,400,87471.7473,NA,NA,"Jaccard"
4,"both","AHC_euclidean","abund_sum",0.0507,400,87471.7473,NA,NA,"AHC"
4,"both","aitchison","abund_sum",0.0652,400,87471.7473,NA,NA,"Aitchison(0.5)"
4,"both","aitchison_pc1","abund_sum",0.0698,400,87471.7473,NA,NA,"Aitchison(1)"
4,"both","aitchison_pc0.1","abund_sum",0.0585,400,87471.7473,NA,NA,"Aitchison(0.1)"
4,"both","aitchison_pc0.01","abund_sum",0.0566,400,87471.7473,NA,NA,"Aitchison(0.01)"
4,"both","ILR_euclidean_pc0.01","abund_sum",0.0585,400,87471.7473,NA,NA,"ILR Euclidean(0.01)"
4,"both","ILR_euclidean_pc0.1","abund_sum",0.0599,400,87471.7473,NA,NA,"ILR Euclidean(0.1)"
4,"both","ILR_euclidean_pc0.5","abund_sum",0.0651,400,87471.7473,NA,NA,"ILR Euclidean(0.5)"
4,"both","ILR_euclidean_pc1","abund_sum",0.0658,400,87471.7473,NA,NA,"ILR Euclidean(1)"
4,"both","bray","abund_sum",0.0524,400,87471.7473,NA,NA,"Bray-Curtis"
4,"both","euclidean","abund_sum",0.0469,400,87471.7473,NA,NA,"Euclidean"
4,"both","jaccard","abund_sum",0.0396,400,87471.7473,NA,NA,"Jaccard"
4,"prevalence","AHC_euclidean","abund_sum",0.0541,400,87471.7473,NA,NA,"AHC"
4,"prevalence","aitchison","abund_sum",0.059,400,87471.7473,NA,NA,"Aitchison(0.5)"
4,"prevalence","aitchison_pc1","abund_sum",0.0571,400,87471.7473,NA,NA,"Aitchison(1)"
4,"prevalence","aitchison_pc0.1","abund_sum",0.0576,400,87471.7473,NA,NA,"Aitchison(0.1)"
4,"prevalence","aitchison_pc0.01","abund_sum",0.0544,400,87471.7473,NA,NA,"Aitchison(0.01)"
4,"prevalence","ILR_euclidean_pc0.01","abund_sum",0.0544,400,87471.7473,NA,NA,"ILR Euclidean(0.01)"
4,"prevalence","ILR_euclidean_pc0.1","abund_sum",0.0597,400,87471.7473,NA,NA,"ILR Euclidean(0.1)"
4,"prevalence","ILR_euclidean_pc0.5","abund_sum",0.0612,400,87471.7473,NA,NA,"ILR Euclidean(0.5)"
4,"prevalence","ILR_euclidean_pc1","abund_sum",0.0536,400,87471.7473,NA,NA,"ILR Euclidean(1)"
