"k","signal_mode","way","AHC","Aitchison(0.5)","Aitchison(1)","Aitchison(0.1)","Aitchison(0.01)","ILR Euclidean(0.01)","ILR Euclidean(0.1)","ILR Euclidean(0.5)","ILR Euclidean(1)","Bray-Curtis","Euclidean","Jaccard"
2,"abundance","abund_sum",0.0351,0.0604,0.0655,0.0553,0.0403,0.0503,0.0604,0.0604,0.0604,0.0549,0.0297,0.0501
2,"both","abund_sum",0.04,0.0449,0.0449,0.0451,0.0549,0.05,0.0449,0.05,0.0399,0.0649,0.0447,0.0349
2,"prevalence","abund_sum",0.0299,0.0399,0.0299,0.04,0.05,0.05,0.05,0.0349,0.0348,0.0249,0.0301,0.0651
4,"abundance","abund_sum",0.0382,0.0391,0.041,0.0338,0.0418,0.0399,0.0391,0.041,0.0449,0.0403,0.0289,0.0472
4,"both","abund_sum",0.0507,0.0652,0.0698,0.0585,0.0566,0.0585,0.0599,0.0651,0.0658,0.0524,0.0469,0.0396
4,"prevalence","abund_sum",0.0541,0.059,0.0571,0.0576,0.0544,0.0544,0.0597,0.0612,0.0536,0.0749,0.0561,0.0495
6,"abundance","abund_sum",0.0576,0.0567,0.0566,0.0574,0.0511,0.0508,0.0547,0.0561,0.0547,0.0461,0.0436,0.0489
6,"both","abund_sum",0.0453,0.0341,0.0332,0.0366,0.0334,0.0334,0.0384,0.0349,0.0332,0.0474,0.051,0.0434
6,"prevalence","abund_sum",0.0681,0.0603,0.0575,0.0604,0.0612,0.0584,0.0554,0.0553,0.0569,0.0602,0.0516,0.0645
8,"abundance","abund_sum",0.0426,0.0436,0.0388,0.0426,0.0403,0.0408,0.0445,0.0418,0.0389,0.0484,0.0527,0.0338
8,"both","abund_sum",0.0457,0.057,0.0569,0.0607,0.0523,0.0458,0.0529,0.0496,0.057,0.0249,0.0468,0.0503
8,"prevalence","abund_sum",0.0493,0.0443,0.0409,0.0488,0.0538,0.049,0.0475,0.047,0.0399,0.0442,0.0429,0.0661
2,"abundance","abund_sum_x_mean_abund",0.0351,0.0605,0.0656,0.0554,0.0404,0.0504,0.0605,0.0605,0.0605,0.0549,0.0296,0.0502
2,"both","abund_sum_x_mean_abund",0.04,0.0449,0.0449,0.0451,0.0549,0.05,0.0449,0.05,0.0398,0.0649,0.0446,0.0349
2,"prevalence","abund_sum_x_mean_abund",0.0298,0.0398,0.0298,0.04,0.05,0.05,0.05,0.0349,0.0347,0.0249,0.0302,0.0651
4,"abundance","abund_sum_x_mean_abund",0.0357,0.0341,0.0369,0.0284,0.0371,0.0342,0.0341,0.0369,0.0396,0.0414,0.0321,0.043
4,"both","abund_sum_x_mean_abund",0.0513,0.0686,0.073,0.0607,0.0594,0.0607,0.0615,0.0701,0.0692,0.0513,0.0431,0.0401
4,"prevalence","abund_sum_x_mean_abund",0.057,0.0664,0.065,0.0656,0.0621,0.0621,0.0677,0.0706,0.0608,0.0808,0.0572,0.0552
6,"abundance","abund_sum_x_mean_abund",0.0643,0.0584,0.0613,0.0633,0.0543,0.055,0.058,0.0604,0.0574,0.0513,0.0456,0.0514
6,"both","abund_sum_x_mean_abund",0.045,0.0332,0.0336,0.0352,0.0317,0.0332,0.0381,0.0353,0.0315,0.0493,0.0515,0.0413
6,"prevalence","abund_sum_x_mean_abund",0.0716,0.0613,0.0571,0.0609,0.0607,0.0564,0.0545,0.0556,0.0569,0.0607,0.0495,0.0643
8,"abundance","abund_sum_x_mean_abund",0.0416,0.0446,0.036,0.0397,0.0395,0.0386,0.0423,0.0422,0.0378,0.0507,0.0559,0.0297
8,"both","abund_sum_x_mean_abund",0.0485,0.0591,0.0632,0.0628,0.0517,0.0474,0.0528,0.0508,0.0625,0.0235,0.0446,0.0538
8,"prevalence","abund_sum_x_mean_abund",0.0475,0.0451,0.0396,0.0486,0.0542,0.0478,0.0473,0.0484,0.0391,0.0396,0.0424,0.0671
2,"abundance","max_n_otu_cluster",0.04,0.09,0.1,0.08,0.06,0.07,0.09,0.09,0.09,0.05,0.01,0.06
2,"both","max_n_otu_cluster",0.04,0.04,0.04,0.05,0.05,0.05,0.04,0.05,0.03,0.06,0.02,0.03
2,"prevalence","max_n_otu_cluster",0.02,0.03,0.02,0.04,0.05,0.05,0.05,0.03,0.02,0.02,0.04,0.07
4,"abundance","max_n_otu_cluster",0.04,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.06,0.05,0.02
4,"both","max_n_otu_cluster",0.06,0.1,0.1,0.09,0.09,0.09,0.09,0.1,0.1,0.04,0.03,0.05
4,"prevalence","max_n_otu_cluster",0.07,0.1,0.1,0.1,0.1,0.1,0.11,0.12,0.09,0.1,0.03,0.07
6,"abundance","max_n_otu_cluster",0.09,0.05,0.07,0.08,0.06,0.07,0.07,0.07,0.06,0.07,0.05,0.06
6,"both","max_n_otu_cluster",0.04,0.03,0.04,0.03,0.03,0.04,0.04,0.04,0.03,0.06,0.05,0.03
6,"prevalence","max_n_otu_cluster",0.09,0.06,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.06,0.03,0.06
8,"abundance","max_n_otu_cluster",0.04,0.04,0.02,0.03,0.03,0.03,0.03,0.04,0.03,0.06,0.07,0.01
8,"both","max_n_otu_cluster",0.06,0.07,0.09,0.07,0.05,0.06,0.05,0.06,0.08,0.02,0.02,0.06
8,"prevalence","max_n_otu_cluster",0.05,0.05,0.03,0.05,0.06,0.05,0.05,0.05,0.04,0.02,0.04,0.08
