"panel","k","beta","method","empirical_power","n_replicates"
"Abundance",2,0.05,"HRIC distance",0.03,100
"Abundance",2,0.05,"ILR-Euclidean (0.01)",0.05,100
"Abundance",2,0.05,"ILR-Euclidean (0.1)",0.05,100
"Abundance",2,0.05,"ILR-Euclidean (0.5)",0.05,100
"Abundance",2,0.05,"ILR-Euclidean (1)",0.05,100
"Abundance",2,0.05,"Aitchison (0.5)",0.05,100
"Abundance",2,0.05,"Aitchison (0.01)",0.04,100
"Abundance",2,0.05,"Aitchison (0.1)",0.04,100
"Abundance",2,0.05,"Aitchison (1)",0.05,100
"Abundance",2,0.05,"Bray-Curtis",0.02,100
"Abundance",2,0.05,"Euclidean",0,100
"Abundance",2,0.05,"Jaccard",0.04,100
"Abundance",2,0.1,"HRIC distance",0.06,100
"Abundance",2,0.1,"ILR-Euclidean (0.01)",0.08,100
"Abundance",2,0.1,"ILR-Euclidean (0.1)",0.07,100
"Abundance",2,0.1,"ILR-Euclidean (0.5)",0.08,100
"Abundance",2,0.1,"ILR-Euclidean (1)",0.09,100
"Abundance",2,0.1,"Aitchison (0.5)",0.07,100
"Abundance",2,0.1,"Aitchison (0.01)",0.08,100
"Abundance",2,0.1,"Aitchison (0.1)",0.08,100
"Abundance",2,0.1,"Aitchison (1)",0.08,100
"Abundance",2,0.1,"Bray-Curtis",0.06,100
"Abundance",2,0.1,"Euclidean",0.1,100
"Abundance",2,0.1,"Jaccard",0.08,100
"Abundance",2,0.15,"HRIC distance",0.04,100
"Abundance",2,0.15,"ILR-Euclidean (0.01)",0.05,100
"Abundance",2,0.15,"ILR-Euclidean (0.1)",0.05,100
"Abundance",2,0.15,"ILR-Euclidean (0.5)",0.03,100
"Abundance",2,0.15,"ILR-Euclidean (1)",0.04,100
"Abundance",2,0.15,"Aitchison (0.5)",0.04,100
"Abundance",2,0.15,"Aitchison (0.01)",0.05,100
"Abundance",2,0.15,"Aitchison (0.1)",0.04,100
"Abundance",2,0.15,"Aitchison (1)",0.04,100
"Abundance",2,0.15,"Bray-Curtis",0.06,100
"Abundance",2,0.15,"Euclidean",0.04,100
"Abundance",2,0.15,"Jaccard",0.05,100
"Abundance",2,0.2,"HRIC distance",0.12,100
"Abundance",2,0.2,"ILR-Euclidean (0.01)",0.06,100
"Abundance",2,0.2,"ILR-Euclidean (0.1)",0.06,100
"Abundance",2,0.2,"ILR-Euclidean (0.5)",0.08,100
"Abundance",2,0.2,"ILR-Euclidean (1)",0.07,100
"Abundance",2,0.2,"Aitchison (0.5)",0.08,100
"Abundance",2,0.2,"Aitchison (0.01)",0.06,100
"Abundance",2,0.2,"Aitchison (0.1)",0.06,100
"Abundance",2,0.2,"Aitchison (1)",0.08,100
"Abundance",2,0.2,"Bray-Curtis",0.13,100
"Abundance",2,0.2,"Euclidean",0.09,100
"Abundance",2,0.2,"Jaccard",0.05,100
"Abundance",2,0.25,"HRIC distance",0.12,100
"Abundance",2,0.25,"ILR-Euclidean (0.01)",0.07,100
"Abundance",2,0.25,"ILR-Euclidean (0.1)",0.06,100
"Abundance",2,0.25,"ILR-Euclidean (0.5)",0.06,100
"Abundance",2,0.25,"ILR-Euclidean (1)",0.07,100
"Abundance",2,0.25,"Aitchison (0.5)",0.06,100
"Abundance",2,0.25,"Aitchison (0.01)",0.06,100
"Abundance",2,0.25,"Aitchison (0.1)",0.06,100
"Abundance",2,0.25,"Aitchison (1)",0.07,100
"Abundance",2,0.25,"Bray-Curtis",0.08,100
"Abundance",2,0.25,"Euclidean",0.07,100
"Abundance",2,0.25,"Jaccard",0.07,100
"Abundance",2,0.3,"HRIC distance",0.19,100
"Abundance",2,0.3,"ILR-Euclidean (0.01)",0.06,100
"Abundance",2,0.3,"ILR-Euclidean (0.1)",0.07,100
"Abundance",2,0.3,"ILR-Euclidean (0.5)",0.1,100
