"k","signal_mode","method","type1_error","n_replicates","method_label"
2,"Abundance","AHC_euclidean",0.04,100,"HRIC distance"
4,"Abundance","AHC_euclidean",0.04,100,"HRIC distance"
6,"Abundance","AHC_euclidean",0.09,100,"HRIC distance"
8,"Abundance","AHC_euclidean",0.04,100,"HRIC distance"
2,"Joint","AHC_euclidean",0.04,100,"HRIC distance"
4,"Joint","AHC_euclidean",0.06,100,"HRIC distance"
6,"Joint","AHC_euclidean",0.04,100,"HRIC distance"
8,"Joint","AHC_euclidean",0.06,100,"HRIC distance"
2,"Prevalence","AHC_euclidean",0.02,100,"HRIC distance"
4,"Prevalence","AHC_euclidean",0.07,100,"HRIC distance"
6,"Prevalence","AHC_euclidean",0.09,100,"HRIC distance"
8,"Prevalence","AHC_euclidean",0.05,100,"HRIC distance"
2,"Abundance","bray",0.05,100,"Bray--Curtis"
4,"Abundance","bray",0.06,100,"Bray--Curtis"
6,"Abundance","bray",0.07,100,"Bray--Curtis"
8,"Abundance","bray",0.06,100,"Bray--Curtis"
2,"Joint","bray",0.06,100,"Bray--Curtis"
4,"Joint","bray",0.04,100,"Bray--Curtis"
6,"Joint","bray",0.06,100,"Bray--Curtis"
8,"Joint","bray",0.02,100,"Bray--Curtis"
2,"Prevalence","bray",0.02,100,"Bray--Curtis"
4,"Prevalence","bray",0.1,100,"Bray--Curtis"
6,"Prevalence","bray",0.06,100,"Bray--Curtis"
8,"Prevalence","bray",0.02,100,"Bray--Curtis"
2,"Abundance","euclidean",0.01,100,"Euclidean"
4,"Abundance","euclidean",0.05,100,"Euclidean"
6,"Abundance","euclidean",0.05,100,"Euclidean"
8,"Abundance","euclidean",0.07,100,"Euclidean"
2,"Joint","euclidean",0.02,100,"Euclidean"
4,"Joint","euclidean",0.03,100,"Euclidean"
6,"Joint","euclidean",0.05,100,"Euclidean"
8,"Joint","euclidean",0.02,100,"Euclidean"
2,"Prevalence","euclidean",0.04,100,"Euclidean"
4,"Prevalence","euclidean",0.03,100,"Euclidean"
6,"Prevalence","euclidean",0.03,100,"Euclidean"
8,"Prevalence","euclidean",0.04,100,"Euclidean"
2,"Abundance","jaccard",0.06,100,"Jaccard"
4,"Abundance","jaccard",0.02,100,"Jaccard"
6,"Abundance","jaccard",0.06,100,"Jaccard"
8,"Abundance","jaccard",0.01,100,"Jaccard"
2,"Joint","jaccard",0.03,100,"Jaccard"
4,"Joint","jaccard",0.05,100,"Jaccard"
6,"Joint","jaccard",0.03,100,"Jaccard"
8,"Joint","jaccard",0.06,100,"Jaccard"
2,"Prevalence","jaccard",0.07,100,"Jaccard"
4,"Prevalence","jaccard",0.07,100,"Jaccard"
6,"Prevalence","jaccard",0.06,100,"Jaccard"
8,"Prevalence","jaccard",0.08,100,"Jaccard"
2,"Abundance","aitchison_pc0.01",0.06,100,"Aitchison (0.01)"
4,"Abundance","aitchison_pc0.01",0.02,100,"Aitchison (0.01)"
6,"Abundance","aitchison_pc0.01",0.06,100,"Aitchison (0.01)"
8,"Abundance","aitchison_pc0.01",0.03,100,"Aitchison (0.01)"
2,"Joint","aitchison_pc0.01",0.05,100,"Aitchison (0.01)"
4,"Joint","aitchison_pc0.01",0.09,100,"Aitchison (0.01)"
6,"Joint","aitchison_pc0.01",0.03,100,"Aitchison (0.01)"
8,"Joint","aitchison_pc0.01",0.05,100,"Aitchison (0.01)"
2,"Prevalence","aitchison_pc0.01",0.05,100,"Aitchison (0.01)"
4,"Prevalence","aitchison_pc0.01",0.1,100,"Aitchison (0.01)"
6,"Prevalence","aitchison_pc0.01",0.06,100,"Aitchison (0.01)"
8,"Prevalence","aitchison_pc0.01",0.06,100,"Aitchison (0.01)"
2,"Abundance","aitchison_pc0.1",0.08,100,"Aitchison (0.1)"
4,"Abundance","aitchison_pc0.1",0.01,100,"Aitchison (0.1)"
6,"Abundance","aitchison_pc0.1",0.08,100,"Aitchison (0.1)"
8,"Abundance","aitchison_pc0.1",0.03,100,"Aitchison (0.1)"
2,"Joint","aitchison_pc0.1",0.05,100,"Aitchison (0.1)"
4,"Joint","aitchison_pc0.1",0.09,100,"Aitchison (0.1)"
6,"Joint","aitchison_pc0.1",0.03,100,"Aitchison (0.1)"
8,"Joint","aitchison_pc0.1",0.07,100,"Aitchison (0.1)"
2,"Prevalence","aitchison_pc0.1",0.04,100,"Aitchison (0.1)"
4,"Prevalence","aitchison_pc0.1",0.1,100,"Aitchison (0.1)"
6,"Prevalence","aitchison_pc0.1",0.06,100,"Aitchison (0.1)"
8,"Prevalence","aitchison_pc0.1",0.05,100,"Aitchison (0.1)"
2,"Abundance","aitchison",0.09,100,"Aitchison (0.5)"
4,"Abundance","aitchison",0.02,100,"Aitchison (0.5)"
6,"Abundance","aitchison",0.05,100,"Aitchison (0.5)"
8,"Abundance","aitchison",0.04,100,"Aitchison (0.5)"
2,"Joint","aitchison",0.04,100,"Aitchison (0.5)"
4,"Joint","aitchison",0.1,100,"Aitchison (0.5)"
6,"Joint","aitchison",0.03,100,"Aitchison (0.5)"
8,"Joint","aitchison",0.07,100,"Aitchison (0.5)"
2,"Prevalence","aitchison",0.03,100,"Aitchison (0.5)"
4,"Prevalence","aitchison",0.1,100,"Aitchison (0.5)"
6,"Prevalence","aitchison",0.06,100,"Aitchison (0.5)"
8,"Prevalence","aitchison",0.05,100,"Aitchison (0.5)"
2,"Abundance","aitchison_pc1",0.1,100,"Aitchison (1)"
4,"Abundance","aitchison_pc1",0.02,100,"Aitchison (1)"
6,"Abundance","aitchison_pc1",0.07,100,"Aitchison (1)"
8,"Abundance","aitchison_pc1",0.02,100,"Aitchison (1)"
2,"Joint","aitchison_pc1",0.04,100,"Aitchison (1)"
4,"Joint","aitchison_pc1",0.1,100,"Aitchison (1)"
6,"Joint","aitchison_pc1",0.04,100,"Aitchison (1)"
8,"Joint","aitchison_pc1",0.09,100,"Aitchison (1)"
2,"Prevalence","aitchison_pc1",0.02,100,"Aitchison (1)"
4,"Prevalence","aitchison_pc1",0.1,100,"Aitchison (1)"
6,"Prevalence","aitchison_pc1",0.05,100,"Aitchison (1)"
8,"Prevalence","aitchison_pc1",0.03,100,"Aitchison (1)"
2,"Abundance","ILR_euclidean_pc0.01",0.07,100,"\(\operatorname{ILR}\)--Euclidean (0.01)"
4,"Abundance","ILR_euclidean_pc0.01",0.02,100,"\(\operatorname{ILR}\)--Euclidean (0.01)"
6,"Abundance","ILR_euclidean_pc0.01",0.07,100,"\(\operatorname{ILR}\)--Euclidean (0.01)"
8,"Abundance","ILR_euclidean_pc0.01",0.03,100,"\(\operatorname{ILR}\)--Euclidean (0.01)"
2,"Joint","ILR_euclidean_pc0.01",0.05,100,"\(\operatorname{ILR}\)--Euclidean (0.01)"
4,"Joint","ILR_euclidean_pc0.01",0.09,100,"\(\operatorname{ILR}\)--Euclidean (0.01)"
6,"Joint","ILR_euclidean_pc0.01",0.04,100,"\(\operatorname{ILR}\)--Euclidean (0.01)"
8,"Joint","ILR_euclidean_pc0.01",0.06,100,"\(\operatorname{ILR}\)--Euclidean (0.01)"
2,"Prevalence","ILR_euclidean_pc0.01",0.05,100,"\(\operatorname{ILR}\)--Euclidean (0.01)"
4,"Prevalence","ILR_euclidean_pc0.01",0.1,100,"\(\operatorname{ILR}\)--Euclidean (0.01)"
6,"Prevalence","ILR_euclidean_pc0.01",0.05,100,"\(\operatorname{ILR}\)--Euclidean (0.01)"
8,"Prevalence","ILR_euclidean_pc0.01",0.05,100,"\(\operatorname{ILR}\)--Euclidean (0.01)"
2,"Abundance","ILR_euclidean_pc0.1",0.09,100,"\(\operatorname{ILR}\)--Euclidean (0.1)"
4,"Abundance","ILR_euclidean_pc0.1",0.02,100,"\(\operatorname{ILR}\)--Euclidean (0.1)"
6,"Abundance","ILR_euclidean_pc0.1",0.07,100,"\(\operatorname{ILR}\)--Euclidean (0.1)"
8,"Abundance","ILR_euclidean_pc0.1",0.03,100,"\(\operatorname{ILR}\)--Euclidean (0.1)"
2,"Joint","ILR_euclidean_pc0.1",0.04,100,"\(\operatorname{ILR}\)--Euclidean (0.1)"
4,"Joint","ILR_euclidean_pc0.1",0.09,100,"\(\operatorname{ILR}\)--Euclidean (0.1)"
6,"Joint","ILR_euclidean_pc0.1",0.04,100,"\(\operatorname{ILR}\)--Euclidean (0.1)"
8,"Joint","ILR_euclidean_pc0.1",0.05,100,"\(\operatorname{ILR}\)--Euclidean (0.1)"
2,"Prevalence","ILR_euclidean_pc0.1",0.05,100,"\(\operatorname{ILR}\)--Euclidean (0.1)"
4,"Prevalence","ILR_euclidean_pc0.1",0.11,100,"\(\operatorname{ILR}\)--Euclidean (0.1)"
6,"Prevalence","ILR_euclidean_pc0.1",0.05,100,"\(\operatorname{ILR}\)--Euclidean (0.1)"
8,"Prevalence","ILR_euclidean_pc0.1",0.05,100,"\(\operatorname{ILR}\)--Euclidean (0.1)"
