"k","signal_mode","AHC","Aitchison(0.5)","Aitchison(1)","Aitchison(0.1)","Aitchison(0.01)","ILR Euclidean(0.01)","ILR Euclidean(0.1)","ILR Euclidean(0.5)","ILR Euclidean(1)","Bray-Curtis","Euclidean","Jaccard"
2,"abundance",0.0351,0.0605,0.0656,0.0554,0.0404,0.0504,0.0605,0.0605,0.0605,0.0549,0.0296,0.0502
2,"both",0.04,0.0449,0.0449,0.0451,0.0549,0.05,0.0449,0.05,0.0398,0.0649,0.0446,0.0349
2,"prevalence",0.0298,0.0398,0.0298,0.04,0.05,0.05,0.05,0.0349,0.0347,0.0249,0.0302,0.0651
4,"abundance",0.0357,0.0341,0.0369,0.0284,0.0371,0.0342,0.0341,0.0369,0.0396,0.0414,0.0321,0.043
4,"both",0.0513,0.0686,0.073,0.0607,0.0594,0.0607,0.0615,0.0701,0.0692,0.0513,0.0431,0.0401
4,"prevalence",0.057,0.0664,0.065,0.0656,0.0621,0.0621,0.0677,0.0706,0.0608,0.0808,0.0572,0.0552
6,"abundance",0.0643,0.0584,0.0613,0.0633,0.0543,0.055,0.058,0.0604,0.0574,0.0513,0.0456,0.0514
6,"both",0.045,0.0332,0.0336,0.0352,0.0317,0.0332,0.0381,0.0353,0.0315,0.0493,0.0515,0.0413
6,"prevalence",0.0716,0.0613,0.0571,0.0609,0.0607,0.0564,0.0545,0.0556,0.0569,0.0607,0.0495,0.0643
8,"abundance",0.0416,0.0446,0.036,0.0397,0.0395,0.0386,0.0423,0.0422,0.0378,0.0507,0.0559,0.0297
8,"both",0.0485,0.0591,0.0632,0.0628,0.0517,0.0474,0.0528,0.0508,0.0625,0.0235,0.0446,0.0538
8,"prevalence",0.0475,0.0451,0.0396,0.0486,0.0542,0.0478,0.0473,0.0484,0.0391,0.0396,0.0424,0.0671
