"k","signal_mode","AHC","Aitchison(0.5)","Aitchison(1)","Aitchison(0.1)","Aitchison(0.01)","ILR Euclidean(0.01)","ILR Euclidean(0.1)","ILR Euclidean(0.5)","ILR Euclidean(1)","Bray-Curtis","Euclidean","Jaccard"
2,"abundance",0.04,0.09,0.1,0.08,0.06,0.07,0.09,0.09,0.09,0.05,0.01,0.06
2,"both",0.04,0.04,0.04,0.05,0.05,0.05,0.04,0.05,0.03,0.06,0.02,0.03
2,"prevalence",0.02,0.03,0.02,0.04,0.05,0.05,0.05,0.03,0.02,0.02,0.04,0.07
4,"abundance",0.04,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.06,0.05,0.02
4,"both",0.06,0.1,0.1,0.09,0.09,0.09,0.09,0.1,0.1,0.04,0.03,0.05
4,"prevalence",0.07,0.1,0.1,0.1,0.1,0.1,0.11,0.12,0.09,0.1,0.03,0.07
6,"abundance",0.09,0.05,0.07,0.08,0.06,0.07,0.07,0.07,0.06,0.07,0.05,0.06
6,"both",0.04,0.03,0.04,0.03,0.03,0.04,0.04,0.04,0.03,0.06,0.05,0.03
6,"prevalence",0.09,0.06,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.06,0.03,0.06
8,"abundance",0.04,0.04,0.02,0.03,0.03,0.03,0.03,0.04,0.03,0.06,0.07,0.01
8,"both",0.06,0.07,0.09,0.07,0.05,0.06,0.05,0.06,0.08,0.02,0.02,0.06
8,"prevalence",0.05,0.05,0.03,0.05,0.06,0.05,0.05,0.05,0.04,0.02,0.04,0.08
