"k","signal_mode","signal_cluster","cluster_n_otus_template","cluster_abund_sum_template","cluster_ordered"
2,"abundance",1,308,443.243751729926,1
2,"both",1,308,443.243751729926,1
2,"prevalence",1,308,443.243751729926,1
4,"abundance",2,154,298.467884720017,1
4,"both",2,154,298.467884720017,1
4,"prevalence",2,154,298.467884720017,1
6,"abundance",2,103,251.936289768867,1
6,"both",2,103,251.936289768867,1
6,"prevalence",2,103,251.936289768867,1
8,"abundance",2,77,220.27027301356,1
8,"both",2,77,220.27027301356,1
8,"prevalence",2,77,220.27027301356,1
