"method","method_label","Abundance","Joint","Prevalence","Overall","Minimum","Maximum","overall_range"
"AHC_euclidean","HRIC distance",0.0525,0.05,0.0575,0.0533333333333333,0.02,0.09,"0.0533 (0.0200--0.0900)"
"bray","Bray--Curtis",0.06,0.045,0.05,0.0516666666666667,0.02,0.1,"0.0517 (0.0200--0.1000)"
"euclidean","Euclidean",0.045,0.03,0.035,0.0366666666666667,0.01,0.07,"0.0367 (0.0100--0.0700)"
"jaccard","Jaccard",0.0375,0.0425,0.07,0.05,0.01,0.08,"0.0500 (0.0100--0.0800)"
"aitchison_pc0.01","Aitchison (0.01)",0.0425,0.055,0.0675,0.055,0.02,0.1,"0.0550 (0.0200--0.1000)"
"aitchison_pc0.1","Aitchison (0.1)",0.05,0.06,0.0625,0.0575,0.01,0.1,"0.0575 (0.0100--0.1000)"
"aitchison","Aitchison (0.5)",0.05,0.06,0.06,0.0566666666666667,0.02,0.1,"0.0567 (0.0200--0.1000)"
"aitchison_pc1","Aitchison (1)",0.0525,0.0675,0.05,0.0566666666666667,0.02,0.1,"0.0567 (0.0200--0.1000)"
"ILR_euclidean_pc0.01","\(\operatorname{ILR}\)--Euclidean (0.01)",0.0475,0.06,0.0625,0.0566666666666667,0.02,0.1,"0.0567 (0.0200--0.1000)"
"ILR_euclidean_pc0.1","\(\operatorname{ILR}\)--Euclidean (0.1)",0.0525,0.055,0.065,0.0575,0.02,0.11,"0.0575 (0.0200--0.1100)"
"ILR_euclidean_pc0.5","\(\operatorname{ILR}\)--Euclidean (0.5)",0.055,0.0625,0.0625,0.06,0.02,0.12,"0.0600 (0.0200--0.1200)"
"ILR_euclidean_pc1","\(\operatorname{ILR}\)--Euclidean (1)",0.05,0.06,0.05,0.0533333333333333,0.02,0.1,"0.0533 (0.0200--0.1000)"
