k,signal_mode,beta,n_rep,mean_hric_manova_F,mean_hric_r2_between,mean_hric_ss_between,mean_shbeta_between,mcse_hric_manova_F,mcse_hric_r2_between,mcse_hric_ss_between,mcse_shbeta_between,lower_hric_manova_F,lower_hric_r2_between,lower_hric_ss_between,lower_shbeta_between,upper_hric_manova_F,upper_hric_r2_between,upper_hric_ss_between,upper_shbeta_between
12,Abundance,0,125,0.998984274303871,0.0100852674326564,0.874733271451331,0.00373432601473839,0.00629427224963251,6.27629697612954e-05,0.00540763373686624,2.30857428210674e-05,0.986647500694591,0.00996225201192426,0.864134309327073,0.0036890779588091,1.01132104791315,0.0102082828533885,0.885332233575588,0.00377957407066768
12,Abundance,0.05,125,1.00583577576161,0.0101537885556958,0.880423533461357,0.00375861832663304,0.00613091288918847,6.11075334797815e-05,0.00541605687822975,2.31217020751009e-05,0.993819186498796,0.0100340177900755,0.869808061980027,0.00371329979056584,1.01785236502441,0.0102735593213162,0.891039004942688,0.00380393686270023
12,Abundance,0.1,125,1.0007273770658,0.0101023974787808,0.876586238064614,0.0037422365191793,0.0060275082869172,6.0131555695406e-05,0.00514807016252814,2.19776393113875e-05,0.988913460823439,0.00998453962961777,0.866496020546059,0.00369916034612898,1.01254129330815,0.0102202553279438,0.886676455583169,0.00378531269222962
12,Abundance,0.15,125,1.00674998147909,0.0101629479758681,0.8820702175898,0.00376564818999778,0.00603706125812055,6.02415213276396e-05,0.00537479813861253,2.294556428577e-05,0.99491734141317,0.0100448745940659,0.871535613238119,0.00372067488399767,1.018582621545,0.0102810213576703,0.89260482194148,0.00381062149599789
12,Abundance,0.2,125,1.01841082132584,0.0102796693637942,0.892983992764174,0.00381224021511311,0.006911312244359,6.89405676412651e-05,0.00602964814081537,2.57411860813376e-05,1.0048646493269,0.0101445458512173,0.881165882408176,0.00376178749039369,1.03195699332479,0.010414792876371,0.904802103120172,0.00386269293983253
12,Abundance,0.25,125,1.02752297272724,0.0103700834617114,0.901624352060379,0.00384912679477067,0.00631682096207009,6.30060204143821e-05,0.00552535288091091,2.358829791573e-05,1.01514200364159,0.0102465916616992,0.890794660413794,0.00380289373085584,1.0399039418129,0.0104935752617236,0.912454043706965,0.0038953598586855
12,Abundance,0.3,125,1.04523376552985,0.0105464607205848,0.917053369577254,0.00391499485235527,0.00665176284812906,6.62067711279346e-05,0.00580620765882117,2.47872957562646e-05,1.03219631034752,0.010416695449174,0.905673202565965,0.00386641175267299,1.05827122071219,0.0106762259919955,0.928433536588544,0.00396357795203755
12,Abundance,0.35,125,1.06253051201405,0.0107193435805306,0.930543156094655,0.00397258413399036,0.00702411623473982,6.99916591889648e-05,0.00618318731265436,2.6396660546975e-05,1.04876324419396,0.0105821599285203,0.918424108961852,0.00392084667931829,1.07629777983414,0.010856527232541,0.942662203227457,0.00402432158866243
12,Abundance,0.4,125,1.08937126807337,0.0109871250471357,0.954532096888692,0.00407499538162081,0.00671965280116474,6.69212703500697e-05,0.00583676893180607,2.4917764963823e-05,1.07620074858309,0.0108559593572495,0.943092029782352,0.00402615656229171,1.10254178756365,0.0111182907370218,0.965972163995032,0.0041238342009499
12,Abundance,0.45,125,1.10292918047802,0.0111216968881779,0.967211207130025,0.00412912380312167,0.00686005356599149,6.82839684652444e-05,0.00593229397061288,2.53255711478534e-05,1.08948347548868,0.010987860309986,0.955583910947624,0.00407948568367188,1.11637488546736,0.0112555334663697,0.978838503312427,0.00417876192257146
12,Abundance,0.5,125,1.14502156850033,0.0115399237765276,1.00263300246109,0.00428034307888338,0.00731899858130981,7.27598512378207e-05,0.00628883017853641,2.68476607720839e-05,1.13067633128096,0.0113973144681015,0.990306895311161,0.00422772166377009,1.15936680571969,0.0116825330849537,1.01495910961102,0.00433296449399666
12,Abundance,0.55,125,1.15227348974774,0.011613040026876,1.0107286290891,0.00431490413893364,0.00732502807405284,7.28243017104493e-05,0.00645807254161385,2.75701737710316e-05,1.1379164347226,0.0114703043955236,0.99807080690754,0.00426086659834242,1.16663054477288,0.0117557756582285,1.02338645127067,0.00436894167952486
12,Abundance,0.6,125,1.19649419136774,0.0120512692394687,1.04832748680138,0.0044754175171963,0.00833731274772241,8.24790695313532e-05,0.00721995797567393,3.08227407986244e-05,1.1801530583822,0.0118896102631873,1.03417636916906,0.00441500494523099,1.21283532435327,0.0122129282157502,1.0624786044337,0.0045358300891616
12,Abundance,0.65,125,1.22776647712063,0.0123621899778187,1.07624083961778,0.00459458248208658,0.00739240066291053,7.32816512940655e-05,0.00643921926145501,2.74896871851681e-05,1.21327737182132,0.0122185579412823,1.06361996986533,0.00454070269520365,1.24225558241993,0.0125058220143551,1.08886170937023,0.00464846226896951
12,Abundance,0.7,125,1.2844648791992,0.0129240476455693,1.12546609761876,0.00480473015513699,0.00758718502267554,7.50919289511368e-05,0.00637778171234424,2.72274039893488e-05,1.26959399655476,0.012776867464825,1.11296564546257,0.00475136444331787,1.29933576184365,0.0130712278263135,1.13796654977496,0.00485809586695611
12,Abundance,0.75,125,1.32952843528193,0.0133699877118266,1.16511997355482,0.00497401661688039,0.00800372183093749,7.92050750805949e-05,0.0070308839785032,3.00155645205648e-05,1.31384114049329,0.0132147457646687,1.15133944095695,0.00491518611042009,1.34521573007057,0.0135252296589846,1.17890050615268,0.0050328471233407
12,Abundance,0.8,125,1.37812223257415,0.0138509023511127,1.20750113398708,0.00515494613574322,0.00852257644328103,8.41871845596191e-05,0.00740257622331775,3.16023568201012e-05,1.36141798274532,0.0136858954693759,1.19299208458938,0.00509300551637582,1.39482648240298,0.0140159092328496,1.22201018338478,0.00521688675511062
12,Abundance,0.85,125,1.44379528958946,0.0144976279287539,1.26380207830487,0.00539530063908963,0.00928455452008556,9.15836280058484e-05,0.00807562801233829,3.4475683909667e-05,1.42559756273009,0.0143181240178625,1.24797384740069,0.00532772829862669,1.46199301644882,0.0146771318396454,1.27963030920906,0.00546287297955258
12,Abundance,0.9,125,1.48937388613944,0.014946903753399,1.3054426673971,0.00557306858297743,0.0101532493435253,0.000100046666369404,0.0088638895811584,3.78408533606692e-05,1.46947351742613,0.0147508122873149,1.28806944381803,0.00549890051039052,1.50927425485275,0.015142995219483,1.32281589097617,0.00564723665556434
12,Abundance,0.95,125,1.56855160183568,0.0157251926615379,1.37407204634428,0.00586605443768553,0.010060670468247,9.86580338624506e-05,0.00864176102955727,3.68925638009456e-05,1.54883268771792,0.0155318229151675,1.35713419472635,0.00579374501263567,1.58827051595345,0.0159185624079083,1.39100989796221,0.00593836386273538
12,Abundance,1,125,1.62113292030541,0.0162426481691659,1.42002771534498,0.00606224390009076,0.0104745093302777,0.000102730287233075,0.0090528145918623,3.86473936002281e-05,1.60060288201807,0.016041296806189,1.40228419874492,0.00598649500863432,1.64166295859275,0.0164439995321427,1.43777123194503,0.00613799279154721
12,Prevalence,0,125,1.00155767656141,0.0101104264088374,0.877374901114876,0.00374560340259574,0.00582385118116551,5.80415852928573e-05,0.00510926177376118,2.18119623210495e-05,0.990142928246324,0.00999666490166344,0.867360748038304,0.00370285195644648,1.01297242487649,0.0102241879160114,0.887389054191448,0.00378835484874499
12,Prevalence,0.05,125,0.985326727337819,0.00994929682411972,0.863058474830518,0.00368448511104721,0.00479561255090004,4.78660647594866e-05,0.00417251617340575,1.78128993166264e-05,0.975927326738055,0.00985547933719113,0.854880343130643,0.00364957182838662,0.994726127937583,0.0100431143110483,0.871236606530394,0.0037193983937078
12,Prevalence,0.1,125,0.996197308831269,0.0100580545075495,0.87261832886894,0.00372529710802721,0.00585208525485095,5.84166588689191e-05,0.00508335890557411,2.17013803211598e-05,0.984727221731761,0.00994355785616638,0.862654945414015,0.00368276240259774,1.00766739593078,0.0101725511589325,0.882581712323865,0.00376783181345668
12,Prevalence,0.15,125,1.00314525035885,0.0101264557148944,0.878878856049101,0.00375202394039757,0.00621980236445799,6.20051705560847e-05,0.00538127188259555,2.29732013625308e-05,0.990954437724516,0.0100049255806045,0.868331563159214,0.00370699646572701,1.01533606299319,0.0102479858491844,0.889426148938988,0.00379705141506813
12,Prevalence,0.2,125,1.01135523845587,0.010209449529931,0.886552569202532,0.00378478380856967,0.00589173946903054,5.88363076813333e-05,0.00506391601183343,2.16183766144673e-05,0.999807429096569,0.0100941303668756,0.876627293819339,0.00374241179040532,1.02290304781517,0.0103247686929864,0.896477844585726,0.00382715582673403
12,Prevalence,0.25,125,1.01549578460303,0.0102500497374805,0.889262809190506,0.00379635410093603,0.00662110957668837,6.60437450624091e-05,0.00576803066936608,2.46243142743213e-05,1.00251840983272,0.0101206039971582,0.877957469078548,0.00374809044495836,1.02847315937334,0.0103794954778029,0.900568149302463,0.0038446177569137
12,Prevalence,0.3,125,1.01786234825602,0.0102737574947995,0.891189955330902,0.00380458128538317,0.00609891545505573,6.08092869109065e-05,0.00526444104184053,2.24744385256821e-05,1.00590847396411,0.0101545712924541,0.880871650888894,0.00376053138587284,1.02981622254793,0.0103929436971449,0.901508259772909,0.00384863118489351
12,Prevalence,0.35,125,1.00947788343501,0.0101906059571637,0.882844561156657,0.00376895394207151,0.00620325505711319,6.1883266310086e-05,0.00538551847873413,2.29913305168136e-05,0.997319503523067,0.0100693147551959,0.872288944938338,0.00372389093425855,1.02163626334695,0.0103118971591315,0.893400177374975,0.00381401694988446
12,Prevalence,0.4,125,1.02498888511848,0.0103449094506151,0.896653641540287,0.003827906321956,0.00696208085833227,6.94072943421934e-05,0.00610796626026076,2.6075534162536e-05,1.01134320663615,0.0102088711537044,0.884682027670176,0.00377679827499743,1.03863456360081,0.0104809477475258,0.908625255410398,0.00387901436891457
12,Prevalence,0.45,125,1.03182025552256,0.0104133104619855,0.901692130436756,0.00384941614760815,0.00590044499831894,5.881721155662e-05,0.00511183093542302,2.18229303355784e-05,1.02025538332585,0.0102980287273345,0.891672941803327,0.00380664320415042,1.04338512771926,0.0105285921966364,0.911711319070185,0.00389218909106589
12,Prevalence,0.5,125,1.03709756222181,0.0104659630368369,0.90648260645021,0.00386986718083608,0.00615419150891127,6.13617722757877e-05,0.00534226910712557,2.28066945154289e-05,1.02503534686434,0.0103456939631763,0.896011759000244,0.00382516605958584,1.04915977757927,0.0105862321104974,0.916953453900176,0.00391456830208632
12,Prevalence,0.55,125,1.03674618802729,0.0104627671304717,0.906631737338628,0.00387050383588785,0.00655051446683558,6.52730299118503e-05,0.00572118207100866,2.44243128049475e-05,1.02390717967229,0.0103348319918445,0.895418220479451,0.00382263218279015,1.04958519638229,0.0105907022690989,0.917845254197805,0.00391837548898554
12,Prevalence,0.6,125,1.04098847949804,0.0105049023131172,0.909988362080086,0.00388483361103513,0.00623156690103201,6.21319768716906e-05,0.00543941444842636,2.32214179369219e-05,1.02877460837201,0.0103831236384487,0.89932710976117,0.00383931963187876,1.05320235062406,0.0106266809877858,0.920649614399002,0.0039303475901915
12,Prevalence,0.65,125,1.04928978977071,0.0105875936567636,0.915961309644372,0.00391033273654224,0.00637451422658564,6.35105985753404e-05,0.00560027579767762,2.39081515286123e-05,1.0367957418866,0.0104631128835559,0.904984769080924,0.00386347275954616,1.06178383765481,0.0107120744299712,0.92693785020782,0.00395719271353832
12,Prevalence,0.7,125,1.05335432460908,0.0106285786039122,0.919295414961063,0.00392456637395646,0.00607115297523104,6.05702049102488e-05,0.00526520278161998,2.24776904708949e-05,1.04145486477763,0.0105098610022882,0.908975617509088,0.00388051010063351,1.06525378444053,0.0107472962055363,0.929615212413039,0.00396862264727942
12,Prevalence,0.75,125,1.07933958212196,0.0108869619605616,0.94243478887951,0.0040233507334962,0.00742432399566634,7.39271383935657e-05,0.0064119811765957,2.73734050084163e-05,1.06478790709045,0.0107420647693102,0.929867305773382,0.0039696988596797,1.09389125715346,0.011031859151813,0.955002271985637,0.00407700260731269
12,Prevalence,0.8,125,1.08012163683556,0.0108959244270898,0.942764126904058,0.0040247567112872,0.00617033467740805,6.14684258691483e-05,0.00535417623679685,2.28575272727316e-05,1.06802778086784,0.0107754463123863,0.932269941479936,0.00397995595783264,1.09221549280328,0.0110164025417933,0.953258312328179,0.00406955746474175
12,Prevalence,0.85,125,1.08204732720129,0.0109148602467762,0.943856002366557,0.00402941803957725,0.00543944706786444,5.41726181335716e-05,0.00469774373243349,2.00551496132e-05,1.07138601094828,0.0108086819152344,0.934648424650987,0.00399010994633538,1.09270864345431,0.011021038578318,0.953063580082127,0.00406872613281912
12,Prevalence,0.9,125,1.09982646443542,0.0110923543447663,0.959163049522464,0.0040947653931863,0.00614744829234552,6.11810348221818e-05,0.00536467520988037,2.29023484651949e-05,1.08777746578242,0.0109724395165149,0.948648286111098,0.00404987679019451,1.11187546308842,0.0112122691730178,0.969677812933829,0.00413965399617808
12,Prevalence,0.95,125,1.10699583112586,0.0111637836999131,0.964646961146552,0.00411817677412803,0.00664669383309022,6.61481750707827e-05,0.00569601713896696,2.43168811301167e-05,1.09396831121301,0.0110341332767743,0.953482767554177,0.00407051568711301,1.12002335103872,0.0112934341230518,0.975811154738927,0.00416583786114306
12,Prevalence,1,125,1.12331454055674,0.0113259797718282,0.979876210865881,0.00418319200250443,0.00730148731778508,7.26123421475336e-05,0.00621710356260119,2.65414524951404e-05,1.10900362541388,0.011183659581219,0.967690687883183,0.00413117075561395,1.1376254556996,0.0114682999624373,0.992061733848579,0.0042352132493949
12,Both,0,125,1.00987609011988,0.0101943728372957,0.884806445363629,0.00377732942688627,0.0053720792964639,5.3595476228116e-05,0.00469066865101941,2.00249453652963e-05,0.999346814698815,0.0100893257038886,0.875612734807631,0.00373808053397029,1.02040536554095,0.0102994199707029,0.894000155919627,0.00381657831980225
