diff_otu_direct,diff_otu_mode,depth_mu,depth_theta,covariate_eff_sd,confounder_eff_sd,depth_conf_factor,diff_otu_pct,transformation,mean_power,mean_fdp,sd_power,n_rep
balanced,rare,1000,2,0,0,0,0.05,AHC,0.018000000000000002,0.049999999999999996,0.05752469825293224,100
balanced,rare,1000,2,0,0,0,0.05,ALR_last_ref,0.008499999999999995,0.03500000000000001,0.04207676966515545,100
balanced,rare,1000,2,0,0,0,0.05,ALR_minvar_ref,0.007999999999999997,0.039999999999999994,0.03938927711338647,100
balanced,rare,1000,2,0,0,0,0.05,ALR_nondiff_ref,0.009999999999999997,0.024999999999999994,0.04380858271151805,100
balanced,rare,1000,2,0,0,0,0.05,ALR_random_ref,0.010499999999999997,0.060999999999999985,0.04621808207954019,100
balanced,rare,1000,2,0,0,0,0.05,ALR_signal_ref,0.04250000000000001,0.23375000000000004,0.11267522829223413,100
balanced,rare,1000,2,0,0,0,0.05,CLR,0.020000000000000004,0.04999999999999998,0.06030226891555277,100
balanced,rare,1000,2,0,0,0,0.05,ILR,0.0019999999999999983,0.13999999999999999,0.019999999999999938,100
balanced,rare,1000,2,0,0,0,0.05,RAHC_last_ref,0.0024999999999999988,0.029999999999999985,0.024999999999999998,100
balanced,rare,1000,2,0,0,0,0.05,RAHC_minvar_ref,0.005999999999999998,0.029999999999999985,0.03428932159955302,100
balanced,rare,1000,2,0,0,0,0.05,RAHC_nondiff_ref,0,0.019999999999999993,0,100
balanced,rare,1000,2,0,0,0,0.05,RAHC_random_ref,0,0.049999999999999975,0,100
balanced,rare,1000,2,0,0,0,0.05,RAHC_signal_ref,0.032500000000000015,0.15654761904761902,0.10453721970202907,100
balanced,rare,1000,2,0,0,0,0.1,AHC,0.022,0.01999999999999999,0.043992653197477624,100
balanced,rare,1000,2,0,0,0,0.1,ALR_last_ref,0.017111111111111108,0.0633333333333333,0.04250598719591965,100
balanced,rare,1000,2,0,0,0,0.1,ALR_minvar_ref,0.016444444444444446,0.02833333333333334,0.04107545394542276,100
balanced,rare,1000,2,0,0,0,0.1,ALR_nondiff_ref,0.009999999999999997,0.03499999999999999,0.03015113445777638,100
balanced,rare,1000,2,0,0,0,0.1,ALR_random_ref,0.01244444444444444,0.059999999999999956,0.03741490740562625,100
balanced,rare,1000,2,0,0,0,0.1,ALR_signal_ref,0.06444444444444439,0.14740259740259742,0.11941997243629451,100
balanced,rare,1000,2,0,0,0,0.1,CLR,0.028,0.035,0.0514045157785213,100
balanced,rare,1000,2,0,0,0,0.1,ILR,0.013,0.16499999999999998,0.03666666666666668,100
balanced,rare,1000,2,0,0,0,0.1,RAHC_last_ref,0.015222222222222212,0.06500000000000003,0.04111111111111107,100
balanced,rare,1000,2,0,0,0,0.1,RAHC_minvar_ref,0.006222222222222224,0.025,0.024785902046664837,100
balanced,rare,1000,2,0,0,0,0.1,RAHC_nondiff_ref,0.0039999999999999975,0.035,0.019694638556693223,100
balanced,rare,1000,2,0,0,0,0.1,RAHC_random_ref,0.011333333333333334,0.02666666666666668,0.04905847538126314,100
balanced,rare,1000,2,0,0,0,0.1,RAHC_signal_ref,0.04333333333333328,0.15279487179487178,0.07556578791212912,100
balanced,rare,1000,2,0,0,0,0.2,AHC,0.022000000000000002,0.029999999999999978,0.031237118557216132,100
balanced,rare,1000,2,0,0,0,0.2,ALR_last_ref,0.044605263157894724,0.05866666666666667,0.06991316119104796,100
balanced,rare,1000,2,0,0,0,0.2,ALR_minvar_ref,0.021631578947368425,0.0685,0.039717623005569865,100
balanced,rare,1000,2,0,0,0,0.2,ALR_nondiff_ref,0.0075,0.013333333333333338,0.020566472667421568,100
balanced,rare,1000,2,0,0,0,0.2,ALR_random_ref,0.023210526315789477,0.04782051282051282,0.08689354557228408,100
balanced,rare,1000,2,0,0,0,0.2,ALR_signal_ref,0.05368421052631578,0.06676190476190474,0.07328821975663397,100
balanced,rare,1000,2,0,0,0,0.2,CLR,0.027500000000000004,0.051666666666666625,0.037183003611539506,100
balanced,rare,1000,2,0,0,0,0.2,ILR,0.02,0.1350000000000001,0.030977345909486153,100
balanced,rare,1000,2,0,0,0,0.2,RAHC_last_ref,0.027263157894736833,0.06488095238095237,0.045741938209497374,100
