term,estimate,std.error,statistic,p.value
(Intercept),0.20184771957001724,0.004217183282942881,47.86316031992843,0
methodRAHC (min-var),-0.017206485542560563,0.0016575808099875632,-10.380480661265416,4.315115790734332e-25
methodALR (min-var),-0.06998438283207656,0.0016575808099875608,-42.22079696530859,0
methodCLR,-0.02495208333333604,0.001657580809987666,-15.05331334857919,1.4964258022994574e-50
methodILR,-0.13113273809524495,0.0016575808099877232,-79.11091713001683,0
diff_otu_directunbalanced,-0.03780297735078283,0.0010483461530695498,-36.05963282270459,7.541991267684771e-265
diff_otu_modemix,0.09956870161513864,0.0012839565744149945,77.5483404962546,0
diff_otu_modeabundant,0.20342500417710618,0.0012839565744150482,158.43604700554894,0
log10_depth,-0.03214692877690101,9.949197572381963e-4,-32.311076891404646,5.644842213136317e-216
depth_theta,2.352298895672764e-5,5.1533624610332195e-5,0.45645904270454546,0.6480717352652788
covariate_eff_sd,0.03271432655713347,0.0020966923061391507,15.602826633810487,3.9965591900309257e-54
confounder_eff_sd,NA,NA,NA,NA
depth_conf_factor,0.022206413255360765,0.002096692306139146,10.591164564461872,4.780853175751627e-26
