term,estimate,std.error,statistic,p.value
(Intercept),0.008972974440660987,3.789208625269568e-4,23.680338899320017,4.689418426351361e-120
methodRAHC (min-var),1.050805702742104e-4,1.4893636536240774e-4,0.7055400473787394,0.48049381139983494
methodALR (min-var),3.547922587108494e-4,1.4893636536240752e-4,2.3821734728622643,0.017232942548227888
methodCLR,0.0020881832764785033,0.00014893636536241695,14.02064077095735,3.664971939687134e-44
methodILR,0.013391935965739689,1.489363653624221e-4,89.91716652378162,0
diff_otu_directunbalanced,-4.0529684731311976e-4,9.419562819444838e-5,-4.3027139908920615,1.7063284941859024e-5
diff_otu_modemix,0.002827112422391597,1.1536561253865615e-4,24.505676866616575,3.8058357045216634e-128
diff_otu_modeabundant,0.0032203545858587993,1.1536561253866099e-4,27.914336993439907,4.736738872047984e-164
log10_depth,-0.002949673480928652,8.939517855024986e-5,-32.99589003304706,1.3410621937434412e-224
depth_theta,3.329144356389712e-6,4.630381033110048e-6,0.7189784885054382,0.4721742022566714
covariate_eff_sd,0.0010898733007816558,1.8839125638890137e-4,5.785158619738698,7.504409078504104e-9
confounder_eff_sd,NA,NA,NA,NA
depth_conf_factor,0.0056862816298678,1.8839125638890093e-4,30.183362746567504,4.354524383336967e-190
