"k","signal_mode","beta","signal_cluster","cluster_n_otus_template","method","power","n_nonmissing"
2,"abundance",0.05,1,308,"AHC_euclidean",0.03,100
2,"abundance",0.05,1,308,"ILR_euclidean_pc0.01",0.05,100
2,"abundance",0.05,1,308,"ILR_euclidean_pc0.1",0.05,100
2,"abundance",0.05,1,308,"ILR_euclidean_pc0.5",0.05,100
2,"abundance",0.05,1,308,"ILR_euclidean_pc1",0.05,100
2,"abundance",0.05,1,308,"aitchison",0.05,100
2,"abundance",0.05,1,308,"aitchison_pc0.01",0.04,100
2,"abundance",0.05,1,308,"aitchison_pc0.1",0.04,100
2,"abundance",0.05,1,308,"aitchison_pc1",0.05,100
2,"abundance",0.05,1,308,"bray",0.02,100
2,"abundance",0.05,1,308,"euclidean",0,100
2,"abundance",0.05,1,308,"jaccard",0.04,100
2,"abundance",0.1,1,308,"AHC_euclidean",0.06,100
2,"abundance",0.1,1,308,"ILR_euclidean_pc0.01",0.08,100
2,"abundance",0.1,1,308,"ILR_euclidean_pc0.1",0.07,100
2,"abundance",0.1,1,308,"ILR_euclidean_pc0.5",0.08,100
2,"abundance",0.1,1,308,"ILR_euclidean_pc1",0.09,100
2,"abundance",0.1,1,308,"aitchison",0.07,100
2,"abundance",0.1,1,308,"aitchison_pc0.01",0.08,100
2,"abundance",0.1,1,308,"aitchison_pc0.1",0.08,100
2,"abundance",0.1,1,308,"aitchison_pc1",0.08,100
2,"abundance",0.1,1,308,"bray",0.06,100
2,"abundance",0.1,1,308,"euclidean",0.1,100
2,"abundance",0.1,1,308,"jaccard",0.08,100
2,"abundance",0.15,1,308,"AHC_euclidean",0.04,100
2,"abundance",0.15,1,308,"ILR_euclidean_pc0.01",0.05,100
2,"abundance",0.15,1,308,"ILR_euclidean_pc0.1",0.05,100
2,"abundance",0.15,1,308,"ILR_euclidean_pc0.5",0.03,100
2,"abundance",0.15,1,308,"ILR_euclidean_pc1",0.04,100
2,"abundance",0.15,1,308,"aitchison",0.04,100
