"rep_id","transformation","power","fdr","TP","FP","FN","rejections","alpha","beta0","beta","q"
1,"AHC",0.08,0,2,0,23,2,1,1,1,0
1,"ALR",0.08,0,2,0,23,2,1,1,1,0
1,"CLR",0.08,0,2,0,23,2,1,1,1,0
1,"ILR",0.04,0.666666666666667,1,2,24,3,1,1,1,0
2,"AHC",0.04,0.75,1,3,24,4,1,1,1,0
2,"ALR",0.44,0,11,0,14,11,1,1,1,0
2,"CLR",0.04,0.5,1,1,24,2,1,1,1,0
2,"ILR",0,1,0,3,25,3,1,1,1,0
3,"AHC",0.08,0.5,2,2,23,4,1,1,1,0
3,"ALR",0.44,0,11,0,14,11,1,1,1,0
3,"CLR",0.12,0.25,3,1,22,4,1,1,1,0
3,"ILR",0,1,0,5,25,5,1,1,1,0
4,"AHC",0,1,0,3,25,3,1,1,1,0
4,"ALR",0.76,0,19,0,6,19,1,1,1,0
4,"CLR",0.04,0.5,1,1,24,2,1,1,1,0
4,"ILR",0,1,0,5,25,5,1,1,1,0
5,"AHC",0,NA,0,0,25,0,1,1,1,0
5,"ALR",0.04,0,1,0,24,1,1,1,1,0
5,"CLR",0.04,0,1,0,24,1,1,1,1,0
5,"ILR",0.04,0.5,1,1,24,2,1,1,1,0
6,"AHC",0.16,0.5,4,4,21,8,1,1,1,0
6,"ALR",0.16,0,4,0,21,4,1,1,1,0
6,"CLR",0.16,0.333333333333333,4,2,21,6,1,1,1,0
6,"ILR",0.04,0.888888888888889,1,8,24,9,1,1,1,0
7,"AHC",0.08,0.5,2,2,23,4,1,1,1,0
7,"ALR",0.32,0,8,0,17,8,1,1,1,0
7,"CLR",0.04,0,1,0,24,1,1,1,1,0
7,"ILR",0,1,0,5,25,5,1,1,1,0
8,"AHC",0.12,0.5,3,3,22,6,1,1,1,0
8,"ALR",0.04,0,1,0,24,1,1,1,1,0
8,"CLR",0.12,0.4,3,2,22,5,1,1,1,0
8,"ILR",0.04,0.857142857142857,1,6,24,7,1,1,1,0
9,"AHC",0,1,0,1,25,1,1,1,1,0
9,"ALR",0.16,0,4,0,21,4,1,1,1,0
9,"CLR",0,NA,0,0,25,0,1,1,1,0
9,"ILR",0,1,0,2,25,2,1,1,1,0
10,"AHC",0.08,0.666666666666667,2,4,23,6,1,1,1,0
10,"ALR",0.32,0,8,0,17,8,1,1,1,0
10,"CLR",0.12,0.5,3,3,22,6,1,1,1,0
10,"ILR",0.04,0.8,1,4,24,5,1,1,1,0
11,"AHC",0,1,0,3,25,3,1,1,1,0
11,"ALR",0.68,0,17,0,8,17,1,1,1,0
11,"CLR",0,1,0,2,25,2,1,1,1,0
11,"ILR",0.04,0.888888888888889,1,8,24,9,1,1,1,0
12,"AHC",0,1,0,1,25,1,1,1,1,0
12,"ALR",0,NA,0,0,25,0,1,1,1,0
12,"CLR",0.04,0.5,1,1,24,2,1,1,1,0
12,"ILR",0,1,0,3,25,3,1,1,1,0
13,"AHC",0.08,0.5,2,2,23,4,1,1,1,0
13,"ALR",0.08,0,2,0,23,2,1,1,1,0
13,"CLR",0.08,0.333333333333333,2,1,23,3,1,1,1,0
13,"ILR",0,1,0,4,25,4,1,1,1,0
14,"AHC",0.04,0.75,1,3,24,4,1,1,1,0
14,"ALR",0.24,0,6,0,19,6,1,1,1,0
14,"CLR",0.04,0.5,1,1,24,2,1,1,1,0
14,"ILR",0,1,0,4,25,4,1,1,1,0
15,"AHC",0.08,0.666666666666667,2,4,23,6,1,1,1,0
15,"ALR",0.04,0,1,0,24,1,1,1,1,0
15,"CLR",0.08,0.6,2,3,23,5,1,1,1,0
15,"ILR",0,1,0,5,25,5,1,1,1,0
16,"AHC",0.12,0.4,3,2,22,5,1,1,1,0
16,"ALR",0,NA,0,0,25,0,1,1,1,0
16,"CLR",0.04,0.666666666666667,1,2,24,3,1,1,1,0
16,"ILR",0.04,0.8,1,4,24,5,1,1,1,0
17,"AHC",0,NA,0,0,25,0,1,1,1,0
17,"ALR",0.04,0,1,0,24,1,1,1,1,0
17,"CLR",0.08,0.333333333333333,2,1,23,3,1,1,1,0
17,"ILR",0,1,0,4,25,4,1,1,1,0
18,"AHC",0.04,0.8,1,4,24,5,1,1,1,0
18,"ALR",0,NA,0,0,25,0,1,1,1,0
18,"CLR",0.04,0.666666666666667,1,2,24,3,1,1,1,0
18,"ILR",0,1,0,6,25,6,1,1,1,0
19,"AHC",0,1,0,3,25,3,1,1,1,0
19,"ALR",0.08,0,2,0,23,2,1,1,1,0
19,"CLR",0,1,0,2,25,2,1,1,1,0
19,"ILR",0,1,0,3,25,3,1,1,1,0
20,"AHC",0.04,0.8,1,4,24,5,1,1,1,0
20,"ALR",0.04,0,1,0,24,1,1,1,1,0
20,"CLR",0.08,0.5,2,2,23,4,1,1,1,0
20,"ILR",0.08,0.75,2,6,23,8,1,1,1,0
21,"AHC",0.16,0.333333333333333,4,2,21,6,1,1,1,0
21,"ALR",0.2,0,5,0,20,5,1,1,1,0
21,"CLR",0.16,0.2,4,1,21,5,1,1,1,0
21,"ILR",0,1,0,6,25,6,1,1,1,0
22,"AHC",0.08,0.6,2,3,23,5,1,1,1,0
22,"ALR",0.92,0.0416666666666667,23,1,2,24,1,1,1,0
22,"CLR",0.12,0.25,3,1,22,4,1,1,1,0
22,"ILR",0.04,0.875,1,7,24,8,1,1,1,0
23,"AHC",0.08,0.5,2,2,23,4,1,1,1,0
23,"ALR",0,NA,0,0,25,0,1,1,1,0
23,"CLR",0.04,0.5,1,1,24,2,1,1,1,0
23,"ILR",0,1,0,2,25,2,1,1,1,0
24,"AHC",0.04,0.833333333333333,1,5,24,6,1,1,1,0
24,"ALR",0.08,0,2,0,23,2,1,1,1,0
24,"CLR",0.12,0.5,3,3,22,6,1,1,1,0
24,"ILR",0,1,0,6,25,6,1,1,1,0
25,"AHC",0.12,0.571428571428571,3,4,22,7,1,1,1,0
25,"ALR",0.08,0,2,0,23,2,1,1,1,0
25,"CLR",0.08,0.6,2,3,23,5,1,1,1,0
25,"ILR",0.04,0.833333333333333,1,5,24,6,1,1,1,0
26,"AHC",0,1,0,2,25,2,1,1,1,0
26,"ALR",0,NA,0,0,25,0,1,1,1,0
26,"CLR",0.04,0.5,1,1,24,2,1,1,1,0
26,"ILR",0.04,0.833333333333333,1,5,24,6,1,1,1,0
27,"AHC",0.12,0.5,3,3,22,6,1,1,1,0
27,"ALR",0.28,0,7,0,18,7,1,1,1,0
27,"CLR",0.08,0.333333333333333,2,1,23,3,1,1,1,0
27,"ILR",0,1,0,6,25,6,1,1,1,0
