"replicate","k","signal_mode","beta","normalized_between_group_turnover","manova_pseudo_F","ss_between"
1,12,"Abundance",0,0.00375907560764812,1.01049903907944,0.880530647547463
2,12,"Abundance",0,0.00375366797145555,1.01950217786799,0.879263955973438
3,12,"Abundance",0,0.00364049926866449,0.96774117859918,0.852755175211485
4,12,"Abundance",0,0.00393286888442881,1.04953270070429,0.921240205565332
5,12,"Abundance",0,0.00345997807583055,0.913409026501736,0.810469661587157
6,12,"Abundance",0,0.00331402802743901,0.897999997944184,0.776282136771659
7,12,"Abundance",0,0.00386148141060925,1.05049006126017,0.904518312975246
8,12,"Abundance",0,0.00381709282837618,1.02012001071299,0.894120675061851
9,12,"Abundance",0,0.00378841062461947,1.00675265373214,0.887402119203173
10,12,"Abundance",0,0.00368448615757551,0.977147771820439,0.863058719970644
11,12,"Abundance",0,0.00376534635425516,1.01122618357345,0.881999515201851
12,12,"Abundance",0,0.00362544700064202,0.974954153663109,0.849229312820764
13,12,"Abundance",0,0.00366814560457998,0.986711199488641,0.859231088070614
14,12,"Abundance",0,0.00366811896542481,0.97420052234309,0.859224848081052
15,12,"Abundance",0,0.00370318179250163,0.984606994766417,0.867438009255034
16,12,"Abundance",0,0.00400491452676264,1.0600184144215,0.938116268384634
17,12,"Abundance",0,0.0038429485992107,1.02272379796265,0.900177163680868
18,12,"Abundance",0,0.00385478673825518,1.03211071967179,0.902950144415126
19,12,"Abundance",0,0.00358834173545327,0.955185036408281,0.840537728347829
20,12,"Abundance",0,0.00374610137502,1.00328380468915,0.877491546808377
21,12,"Abundance",0,0.00329666439733388,0.876813169390852,0.772214857989318
22,12,"Abundance",0,0.00344769030842851,0.912771751848866,0.807591359335022
23,12,"Abundance",0,0.0037010737419017,0.997602966394952,0.866944216803504
24,12,"Abundance",0,0.00365789177143289,0.974808419126918,0.856829217163185
25,12,"Abundance",0,0.00329775036848214,0.86922674738673,0.772469237251182
26,12,"Abundance",0,0.00368250208348534,0.968144146355125,0.862593967934299
27,12,"Abundance",0,0.00367406143488016,0.979807146481152,0.860616819678246
28,12,"Abundance",0,0.00384761943931563,1.03221252093559,0.901271267202969
29,12,"Abundance",0,0.00361006736115901,0.961342753448047,0.845626766523093
30,12,"Abundance",0,0.00362786002949567,0.966067712609392,0.849794543766037
31,12,"Abundance",0,0.00387613002662677,1.03473531133879,0.907949623407348
32,12,"Abundance",0,0.00429570499719805,1.14879233404756,1.00623139772978
33,12,"Abundance",0,0.00358574271081486,0.953654108004347,0.839928929513559
34,12,"Abundance",0,0.00366975951574078,0.987409071863027,0.85960913267195
35,12,"Abundance",0,0.00346967599669336,0.927558661964562,0.812741314894642
36,12,"Abundance",0,0.00378714273603821,1.00595992415824,0.887105127370608
37,12,"Abundance",0,0.00361328714884413,0.971861362216701,0.846380973682304
38,12,"Abundance",0,0.00364179477561135,0.989641883689164,0.853058636405114
39,12,"Abundance",0,0.00409112205274262,1.08805622231654,0.958309628826807
40,12,"Abundance",0,0.00368271558086869,0.996974974733921,0.862643977832696
41,12,"Abundance",0,0.00354582509563998,0.948243218769807,0.830578576605786
42,12,"Abundance",0,0.00384779290212812,1.03546492517157,0.901311899352616
43,12,"Abundance",0,0.00393793744576721,1.04742592940906,0.922427471814614
44,12,"Abundance",0,0.00379340633928264,1.02223045798374,0.888572321754656
45,12,"Abundance",0,0.00385570613396343,1.02389469236581,0.903165504834231
46,12,"Abundance",0,0.00376323348727605,1.00893910520842,0.881504594555537
47,12,"Abundance",0,0.0034881241863176,0.930843004364761,0.817062642277055
48,12,"Abundance",0,0.00364638094340946,0.977129276859064,0.854132906178472
49,12,"Abundance",0,0.00422743424960987,1.12965878974876,0.990239571053016
50,12,"Abundance",0,0.00377255046113481,1.01165574756377,0.883687014352668
51,12,"Abundance",0,0.00367189881837197,0.984381242535122,0.860110245639011
52,12,"Abundance",0,0.00345125381089856,0.915240644052355,0.808426078682273
53,12,"Abundance",0,0.00394743714681437,1.05655271910032,0.924652693860574
54,12,"Abundance",0,0.00363271164993567,0.97540385330582,0.850930993503571
55,12,"Abundance",0,0.00390768549836222,1.03597293771901,0.91534121720884
56,12,"Abundance",0,0.00368717676575463,0.990497616476702,0.863688971449862
57,12,"Abundance",0,0.003699318013532,0.989057207723213,0.866532952758911
58,12,"Abundance",0,0.00356757934290718,0.955066267329613,0.835674319131993
59,12,"Abundance",0,0.00398909171050871,1.06304770874001,0.934409911796923
60,12,"Abundance",0,0.00336774017188793,0.904333952655583,0.788863737747325
61,12,"Abundance",0,0.00357138431287116,0.966109146879295,0.836565600131891
62,12,"Abundance",0,0.00418185929407525,1.12635246752526,0.979564035549763
63,12,"Abundance",0,0.00366905973086797,0.986328449629589,0.85944521417403
64,12,"Abundance",0,0.00374979310135094,1.00146184520754,0.878356301475765
65,12,"Abundance",0,0.00445710709582624,1.20650327983447,1.0440384304299
66,12,"Abundance",0,0.0037483747461096,0.997996714553098,0.878024064141522
67,12,"Abundance",0,0.00342413305518695,0.912352421737799,0.802073278398047
68,12,"Abundance",0,0.00358455979317584,0.9510355895578,0.839651841382484
69,12,"Abundance",0,0.00425959167002001,1.13535943452333,0.997772166077067
70,12,"Abundance",0,0.00324469707016739,0.870941910610551,0.76004196523128
71,12,"Abundance",0,0.00372280391994757,0.994991302143988,0.872034321324704
72,12,"Abundance",0,0.00376129980041303,1.00856699713379,0.881051645287331
73,12,"Abundance",0,0.00395525679385658,1.0527325428946,0.926484377921316
74,12,"Abundance",0,0.00357576905507796,0.950953204583091,0.837592687718751
75,12,"Abundance",0,0.00336212316224601,0.893209544855978,0.78754800227044
76,12,"Abundance",0,0.00369338299291704,1.00051045800786,0.865142725987559
77,12,"Abundance",0,0.00375384262184946,1.01285997972845,0.879304866303662
78,12,"Abundance",0,0.00453049616945164,1.21616254240387,1.06122918030224
79,12,"Abundance",0,0.00377606781441054,1.01354948532144,0.884510923654007
80,12,"Abundance",0,0.0035570209547178,0.947650583225123,0.833201108864406
81,12,"Abundance",0,0.00377717685199431,1.00611936364714,0.88477070602703
82,12,"Abundance",0,0.00380786444880924,1.02147452615284,0.891959007704225
83,12,"Abundance",0,0.00330683085041796,0.883594517857002,0.774596260879732
84,12,"Abundance",0,0.00354737593780359,0.950509492284441,0.830941847845068
85,12,"Abundance",0,0.00382023002278464,1.01533871983055,0.894855535466974
86,12,"Abundance",0,0.00336438605400733,0.904629374965043,0.788078064912391
87,12,"Abundance",0,0.00365598983037113,0.977166347202021,0.856383704071801
88,12,"Abundance",0,0.00347029299400702,0.935315069427203,0.812885841129498
89,12,"Abundance",0,0.00384682981299266,1.03687659208572,0.901086304129585
90,12,"Abundance",0,0.00351158353929981,0.936430079301037,0.822557790932868
91,12,"Abundance",0,0.00402288894051818,1.06692783197745,0.942326617905472
92,12,"Abundance",0,0.00407772735226464,1.09524054021314,0.955172037164215
93,12,"Abundance",0,0.00374765965366687,1.00132947863225,0.877856559978962
94,12,"Abundance",0,0.00377433957327176,1.00927250368908,0.884106098253326
95,12,"Abundance",0,0.00372895091039928,0.997239705413135,0.87347420018
96,12,"Abundance",0,0.00439183515296255,1.16967675355556,1.02874904758282
97,12,"Abundance",0,0.00384912125591554,1.03359839218991,0.901623054631914
98,12,"Abundance",0,0.00393173259965543,1.05664905446599,0.920974040775965
